7.26c,"['Level 10 left talent: -5.5s  Unstable Concoction cooldown increased to -6s.', 'Level 10 right talent: +20 attack speed reduced to +15.', 'Level 15 left talent: +25 attack damage reduced to +20.', 'Level 15 right talent: +325 health increased to +350.', 'Level 20 left talent: +325  Unstable Concoction maximum damage increased to +350.', 'Talents:']"
7.26b,"['Level 10 left talent: -7s  Unstable Concoction cooldown reduced to -5.5s.', 'Level 10 right talent: +25 attack speed reduced to +20.', 'Level 15 left talent: +30 attack damage reduced to +25.', 'Level 15 right talent: +400 health reduced to +325.', 'Level 20 left talent: +400  Unstable Concoction maximum damage reduced to +325.', 'Level 20 right talent: 40% cleave reduced to 30%.', 'Level 25 left talent: +50  Chemical Rage health regen reduced to +40.', 'Level 25 right talent: +60  Chemical Rage movement speed reduced to +50.', 'Talents:']"
7.26a,"['Reduced gold bonus cap from 20/24/28/32 to 18/22/26/30.', 'Reduced base gold bonus from 4 to 3.', 'Reduced  Bounty Rune gold multiplier from 2/2.5/3/3.5 to 1.5/2/2.5/3.', "" Greevil's Greed\nReduced gold bonus cap from 20/24/28/32 to 18/22/26/30.\nReduced base gold bonus from 4 to 3.\nReduced  Bounty Rune gold multiplier from 2/2.5/3/3.5 to 1.5/2/2.5/3.""]"
7.25,['Increased  agility gain from 1.2 to 1.5.']
7.24,['Increased  strength gain from 2.4 to 2.7.']
7.23,"['Level 25 left talent: +30  Chemical Rage health regen increased to +50.', 'Level 25 right talent changed: -0.15  Chemical Rage base attack time -> +60  Chemical Rage movement speed.', 'Talents:']"
7.22g,"['Level 15 left talent: +50 attack damage reduced to +30.', 'Level 25 right talent: -0.2  Chemical Rage base attack time reduced to -0.15.', ""Reduced  Greevil's Greed extra bonus gold per stack from 4 to 3."", ' Chemical Rage no longer grants 4/10/16 mana regeneration.', 'Talents:']"
7.22,"[""Added  Aghanim's Scepter upgrade for Alchemist: For every Aghanim's Scepter infused into an ally or himself, Alchemist permanently gains 30 attack damage and 6% spell damage amplification. The bonuses require Alchemist to have Aghanim's Scepter equipped or infused."", ""The infused Aghanim's Scepter buff no longer grants Aghanim's Scepter's attributes, health, and mana bonus to the hero. It now only grants the upgrades.""]"
7.21c,['Increased  Acid Spray radius from 400/475/550/625 to 475/525/575/625.']
7.21,"['Level 10 left talent: -8s  Unstable Concoction cooldown reduced to -7s.', 'Level 20 left talent changed: +400  Unstable Concoction minimum damage -> +400  Unstable Concoction maximum damage.', 'Increased  strength gain from 2.1 to 2.4.', 'Increased base  agility from 16 to 22.', 'Increased movement speed from 295 to 305.', 'Reduced  Chemical Rage base attack time from 1.3/1.15/1 to 1.2/1.1/1.', 'Talents:']"
7.20d,['Increased movement speed from 290 to 295.']
7.20,"['Level 20 right talent: 30% cleave increased to 40%.', 'Cleave damage is now affected by armor value as well. [?]', 'Increased cleave distance from 625 to 650.', 'Increased cleave end radius from 330 to 360.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Acid Spray no longer pierces spell immunity.', ' Chemical Rage\nIncreased health regen bonus from 40/55/70 to 50/75/100.\nIncreased mana regen bonus from 3/7.5/12 to 4/10/16.', 'Increased health regen bonus from 40/55/70 to 50/75/100.', 'Increased mana regen bonus from 3/7.5/12 to 4/10/16.', 'Talents:']"
7.19b,"[""Reduced  Greevil's Greed  Bounty Rune gold multiplier from 3.5 on each level to 2/2.5/3/3.5.""]"
