7.26c,"['Level 10 left talent changed: +30 attack speed -> + 20 movement speed.', 'Level 10 right talent: +6  strength increased to +8.', 'Level 15 left talent changed: +25 movement speed -> +35 attack speed.', 'Level 15 right talent: +2.5 mana regen reduced to +2.', ""Level 25 right talent: +80  Berserker's Call radius increased to +100."", 'Reduced  strength gain from 3.6 to 3.4.', 'Talents:']"
7.26b,"['Level 10 left talent: +40 attack speed reduced to +30.', 'Level 10 right talent: +8  strength reduced to +6.', 'Level 15 left talent: +30 movement speed reduced to +25.', 'Level 15 right talent: +3 mana regen reduced to +2.5.', 'Level 20 right talent: +25 health regen reduced to +20.', 'Level 25 left talent: +120  Battle Hunger damage per second reduced to +100.', ""Level 25 right talent: +100  Berserker's Call radius reduced to +80."", 'Talents:']"
7.24,"['Increased  strength gain from 3.4 to 3.6.', 'Increased movement speed from 305 to 310.']"
7.23,"['Reduced cooldown from 0.45/0.4/0.35/0.3 to 0.3 on each level.', 'Reduced proc chance from 20% on each level to 17%/18%/19%/20%.', ' Counter Helix\nReduced cooldown from 0.45/0.4/0.35/0.3 to 0.3 on each level.\nReduced proc chance from 20% on each level to 17%/18%/19%/20%.']"
7.22c,['Increased movement speed from 295 to 305.']
7.22,"['Increased base attack damage from 24-28 to 27-31.', 'Increased base armor from -2 to -1.', ' Battle Hunger now grants half the movement speed when cast on non-hero units, instead of always granting the full value.', "" Aghanim's Scepter\nNo longer causes  Culling Blade to apply  Battle Hunger on enemies within a 700 radius upon successfully culling an enemy.\nNow turns  Battle Hunger into a ground-targeting ability with a 400 radius.\nAghanim's Scepter still makes Battle hunger apply 30% damage reduction on enemies."", 'No longer causes  Culling Blade to apply  Battle Hunger on enemies within a 700 radius upon successfully culling an enemy.', 'Now turns  Battle Hunger into a ground-targeting ability with a 400 radius.', ""Aghanim's Scepter still makes Battle hunger apply 30% damage reduction on enemies.""]"
7.21d,['Increased  strength gain from 3.2 to 3.4.']
7.21,['Increased  strength gain from 2.8 to 3.2.']
7.20d,"['Level 15 right talent: +4 mana regen reduced to +3.', 'Increased movement speed from 290 to 295.', 'Reduced  Counter Helix damage from 75/110/145/180 to 60/100/140/180.', 'Talents:']"
7.20,"['Level 15 left talent: +40 movement speed reduced to +30.', 'Level 15 right talent: +3 mana regen increased to +4.', 'Level 20 right talent: +20 health regen increased to +25.', 'Reduced base health regeneration from 4.25 to 2.75.', 'Reduced base mana regeneration from 0.9 to 0.', ""Reduced  Berserker's Call armor bonus from 40 to 30."", 'Talents:']"
7.14,"['Increased movement speed from 285 to 290.', 'Rescaled  Battle Hunger mana cost from 75 on each level to 50/60/70/80.']"
7.13b,"['Reduced base armor from -1 to -2.', 'Reduced movement speed from 290 to 285.']"
7.12,['Increased  Battle Hunger duration from 10 to 12.']
7.10,"['Level 15 left talent: +30 movement speed increased to +40.', 'Talents:']"
7.07,"['Level 10: +3 mana regen or +6  strength', 'Level 15: +250 health or +75 attack damage', 'Level 20: +35 movement speed or +25 health regen', 'Level 25: +100  Battle Hunger damage per second or +15 armor', 'Increased base health regeneration from 2.75 to 4.25.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06,"['Increased  strength gain from 2.5 to 2.8.', 'Reduced base health regeneration from 3 to 2.75.', "" Aghanim's Scepter\nNow causes  Battle Hunger to reduce 30% of any damage the affect targeted deals.\nNow causes  Culling Blade to apply Battle Hunger on all enemies within 700 range upon successfully culling a unit.\nNo longer upgrades  Culling Blade cooldown from 75/65/55 to 6, kill threshold from 250/325/400 to 300/425/550 and speed duration from 6 to 10."", 'Now causes  Battle Hunger to reduce 30% of any damage the affect targeted deals.', 'Now causes  Culling Blade to apply Battle Hunger on all enemies within 700 range upon successfully culling a unit.', 'No longer upgrades  Culling Blade cooldown from 75/65/55 to 6, kill threshold from 250/325/400 to 300/425/550 and speed duration from 6 to 10.']"
7.02,"['Level 20 left talent: +30 movement speed increased to +35.', 'Talents:']"
7.00,"['Level 10: +3 mana regen or +6  strength', 'Level 15: +250 health or +75 attack damage', 'Level 20: +30 movement speed or +25 health regen', 'Level 25: +100  Battle Hunger damage per second or +15 armor', 'Added talents:']"
6.88e,['Reduced  Counter Helix damage from 90/120/150/180 to 75/110/145/180.']
6.87,"['Increased attack range from 128 to 150.', ' Counter Helix\nChanged damage type from physical to pure.\nReduced damage from 100/135/170/205 to 90/120/150/180.', 'Changed damage type from physical to pure.', 'Reduced damage from 100/135/170/205 to 90/120/150/180.']"
