7.26c,"['Level 15 left talent changed: +24  Boar attack damage -> -14s  Call of the Wild Hawk cooldown.', 'Level 20 right talent changed: +60  Wild Axes damage -> +30  Boar attack damage.', 'Level 25 left talent changed: -16s  Call of the Wild Hawk cooldown -> +80  Wild Axes damage.', 'Reduced base attack damage from 41-45 to 37-41.', 'Talents:']"
7.26b,"['Level 10 left talent: +25 movement speed reduced to +20.', 'Level 10 right talent: +30 attack damage reduced to +25.', 'Level 15 left talent: +30  Boar attack damage reduced to +24.', 'Level 15 right talent: +7 armor reduced to +6.', 'Level 20 left talent: +500 health reduced to +400.', 'Level 20 right talent: +75  Wild Axes damage reduced to +60.', 'Level 25 left talent: -20s  Call of the Wild Hawk cooldown reduced to -16s.', 'Level 25 right talent: +25  Inner Beast attack speed reduced to +20.', 'Talents:']"
7.25c,"['Level 15 left talent: +35  Boar attack damage reduced to +30.', ' Hawks no longer blocks neutral creep camps.', 'Talents:']"
7.25,"['Increased base attack speed from 100 to 110.', ' Wild Axes\nNo longer pierces spell immunity.\nChanged damage type from physical to magical.\nIncreased debuff duration from 10 to 12.', 'No longer pierces spell immunity.', 'Changed damage type from physical to magical.', 'Increased debuff duration from 10 to 12.']"
7.23e,"['Level 10 right talent changed: +20% experience gain -> +30 attack damage.', 'Talents:']"
7.23c,"['Level 10 right talent: +25% experience gain reduced to +20%.', 'Talents:']"
7.23,"['Level 10 left talent: +20 movement speed increased to +25.', 'Level 15 right talent: +6 armor increased to +7.', ' Wild Axes now pierces spell immunity.', 'Talents:']"
7.22f,['Units knocked back by  Primal Roar now destroy trees.']
7.22e,"['Level 15 left talent: +40  Boar attack damage reduced to +35.', 'Talents:']"
7.22,"['Level 15 left talent changed: +65  Wild Axes damage -> +40  Boar attack damage.', 'Level 20 right talent changed: +50  Boar attack damage -> +75  Wild Axes damage.', ""No longer increases  Primal Roar's cast range from 600 to 950."", ""No longer reduces  Primal Roar's cooldown from 90/80/70 to 45."", ""Now removes  Wild Axes' cooldown, and makes it so that it can only be cast when the axes from the previous cast have fully returned."", "" Aghanim's Scepter\nNo longer increases  Primal Roar's cast range from 600 to 950.\nNo longer reduces  Primal Roar's cooldown from 90/80/70 to 45.\nNow removes  Wild Axes' cooldown, and makes it so that it can only be cast when the axes from the previous cast have fully returned."", 'Talents:']"
7.21,"['Level 15 left talent changed: +40  Boar attack damage -> +65  Wild Axes damage.', 'Level 20 right talent changed: +80  Wild Axes damage -> +50  Boar attack damage.', 'Level 25 left talent: -15s  Call of the Wild Hawk cooldown increased to -20s.', 'Level 25 right talent: +30  Inner Beast attack speed increased to +25.', 'Increased  strength gain from 2.5 to 2.9.', 'Reduced  Inner Beast attack speed bonus from 15/25/35/45 to 10/20/30/40.', 'Reduced  Hawk health from 300/450/600/750 to 150/200/250/300.', 'Talents:']"
7.20e,"['Level 25 right talent: +40  Inner Beast attack speed reduced to +30.', 'Talents:']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Wild Axes no longer pierces spell immunity.', 'Split  Call of the Wild up into 2 separate spells.']"
7.18,"['Level 10 left talent: +25 movement speed reduced to +20.', 'Level 15 right talent: +7 armor reduced to +6.', 'Level 20 right talent: +100  Wild Axes damage reduced to +80.', 'Increased  Wild Axes mana cost from 80 on each level to 80/85/90/95.', 'Increased  Primal Roar cooldown from 80/75/70 to 90/80/70.', 'Talents:']"
7.17,['Reduced base armor from 1 to -1.']
7.16,"['Level 10 left talent: +30 movement speed reduced to +25.', 'Talents:']"
7.13b,"['Reduced base armor from 2 to 1.', 'Reduced movement speed from 310 to 305.']"
7.07c,"['Reduced  Wild Axes damage from 40/70/100/130 to 30/60/90/120.', 'Reduced  Hawk movement speed from 450 to 430.']"
7.07b,"['Level 20 right talent: +120  Wild Axes damage reduced to +100.', 'Increased  Wild Axes mana cost from 60/65/70/75 to 80 on each level.', 'Reduced  Boar attack damage from 20/30/40/50 to 16/24/32/40.', 'Talents:']"
