7.26b,"['Level 10 left talent: +6 armor reduced to +5.', 'Level 10 right talent: +25 attack speed reduced to +20.', 'Level 15 left talent: +75  Blood Rite damage reduced to +60.', 'Level 15 right talent: +275 health reduced to +225.', 'Level 20 left talent: 25% lifesteal reduced to 20%.', 'Level 20 right talent: +600  Rupture cast range reduced to +475.', 'Level 25 left talent: +18%  Thirst max movement speed reduced to +14%.', 'Level 25 right talent: -6s  Blood Rite cooldown reduced to -5s.', 'Talents:']"
7.26a,['Rescaled  Thirst max movement speed bonus from 12%/24%/36%/48% to 14%/24%/34%/44%.']
7.25,['Rescaled  Bloodrage max health as heal from 13%/17%/21%/25% to 10%/15%/20%/25%.']
7.23d,['Increased  Rupture cooldown from 60 to 70.']
7.23c,['Reduced  Bloodrage max health as heal from 16%/19%/22%/25% to 13%/17%/21%/25%.']
7.23,"['Rescaled base  agility and gain from 24 + 3.1 to 22 + 3.4.', ' Bloodrage\nIncreased outgoing damage amplification from 10%/15%/20%/25% to 12%/18%/24%/30%.\nReduced incoming damage amplification from 10%/15%/20%/25% to 10%/14%/18%/22%.', 'Increased outgoing damage amplification from 10%/15%/20%/25% to 12%/18%/24%/30%.', 'Reduced incoming damage amplification from 10%/15%/20%/25% to 10%/14%/18%/22%.', 'Reduced  Rupture duration from 12 on each level to 10/11/12.']"
7.22f,['Increased movement speed from 295 to 300.']
7.22e,['Reduced  Blood Rite cooldown from 18/16/14/12 to 12 on each level.']
7.22d,"['Increased base armor from 1 to 2.', ""Increased  Aghanim's Scepter upgraded  Rupture cooldown from 0 to 0.25. [?]""]"
7.22c,['Increased base armor from 0 to 1.']
7.22,"['Reduced  agility gain from 3.5 to 3.1.', 'Reduced  Blood Rite mana cost from 100 on each level to 70/80/90/100.', ' Rupture\nRupture damage is now lethal again.\n[U] Now has a max distance cap of 1300 again.\nNow deals 30%/45%/60% of moved distance as damage, instead of dealing 8% of current health as damage for each 100 range moved.\n[U] Increased duration from 8/10/12 to 12 on each level.\n[U] Rescaled cast range from 700/800/900 to 800 on each level.\n[U] Rescaled cooldown from 70/60/50 to 60 on each level.', 'Rupture damage is now lethal again.', '[U] Now has a max distance cap of 1300 again.', 'Now deals 30%/45%/60% of moved distance as damage, instead of dealing 8% of current health as damage for each 100 range moved.', '[U] Increased duration from 8/10/12 to 12 on each level.', '[U] Rescaled cast range from 700/800/900 to 800 on each level.', '[U] Rescaled cooldown from 70/60/50 to 60 on each level.']"
7.21,"['Increased  agility gain from 3.0 to 3.5.', 'Increased movement speed from 290 to 295.']"
