7.26c,"['Level 10 left talent changed: +200 health -> +10  agility.', 'Level 15 left talent changed: +15  agility -> +30 attack speed.', 'Level 20 left talent changed: +40 attack speed -> +400 health.', 'Talents:']"
7.26b,"['Level 10 left talent: +250 health reduced to +200.', 'Level 10 right talent: +125  Spawn Spiderlings damage reduced to +100.', 'Level 15 left talent: +20  agility reduced to +15.', 'Level 15 right talent: 20% cooldown reduction reduced to 15%.', 'Level 20 left talent: +50 attack speed reduced to +40.', 'Level 20 right talent: +30  spiders attack damage reduced to +25.', 'Level 25 left talent: +450  spiders health reduced to +350.', 'Level 25 right talent: +60/+60%  Insatiable Hunger damage/lifesteal reduced to +50/+50%', 'Talents:']"
7.26a,['Reduced  Spin Web movement speed bonus from 25%/40%/55%/70% to 20%/35%/50%/65%.']
7.25,"['Level 10 left talent: +200 health increased to +250.', 'Talents:']"
7.22g,"['Reduced max amount of webs from 8/12/16/20 to 6/10/14/18.', 'Reduced max charges from 8/12/16/20 to 6/10/14/18.', 'Reduced movement speed bonus from 40%/60%/80%/100% to 30%/50%/70%/90%.', "" Aghanim's Scepter upgraded  Spin Web\nReduced max amount of webs from 8/12/16/20 to 6/10/14/18.\nReduced max charges from 8/12/16/20 to 6/10/14/18.\nReduced movement speed bonus from 40%/60%/80%/100% to 30%/50%/70%/90%.""]"
7.22e,"["" Incapacitating Bite's blind now uses pseudo-random distribution.""]"
7.22,"['Increased base attack speed from 100 to 125.', ""Added  Aghanim's Scepter upgrade for Broodmother: Increases  Spin Web max amount of webs from 2/4/6/8 to 8/12/16/20, max web charges from 2/4/6/8 to 8/12/16/20, movement speed bonus from 25%/40%/55%/70% to 40%/60%/80%/100%, and causes Spin Web to remove the movement speed limit for affected units.""]"
7.21d,['Increased base attack damage from 26-32 to 29-35.']
7.21c,"['Increased  agility gain from 2.5 to 2.8.', 'Talents:', 'Level 15 left talent: +15  agility increased to +20.']"
7.21,"['Level 10 right talent: +75  Spawn Spiderlings damage increased to +125.', 'Level 15 left talent changed: +35% experience gain -> +15  agility.', 'Level 20 right talent: +20  spiders attack damage increased to +30.', 'Level 25 left talent: +350  spiders health increased to +450.', 'Increased  agility gain from 2.2 to 2.5.', 'Talents:']"
7.20d,['Increased movement speed from 270 to 275.']
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reduced  Spiderling and  Spiderite magic resistance from 50% to 40%.', ' Poison Sting no longer pierces spell immunity.']"
7.19b,['Reduced base  agility from 18 to 15.']
7.19,"['Reduced movement speed bonus from 40%/50%/60%/70% to 25%/40%/55%/70%.', 'Increased charge replenish time from 40 to 45.', ' Spin Web\nReduced movement speed bonus from 40%/50%/60%/70% to 25%/40%/55%/70%.\nIncreased charge replenish time from 40 to 45.']"
7.16,['Increased  Spiderling health from 250 to 280.']
7.15,['Increased base  strength from 17 to 18.']
7.14,"['Reduced mana cost from 120 to 100.', 'Rescaled cooldown from 10 on each level to 11/10/9/8.', ' Spawn Spiderlings\nReduced mana cost from 120 to 100.\nRescaled cooldown from 10 on each level to 11/10/9/8.', ' Spiderling\nReduced attack damage from 18-19 to 14-16.\nReduced armor from 8 to 0.\nReduced gold bounty from 11-13 to 9.\nReduced experience bounty from 31 to 9.', 'Reduced attack damage from 18-19 to 14-16.', 'Reduced armor from 8 to 0.', 'Reduced gold bounty from 11-13 to 9.', 'Reduced experience bounty from 31 to 9.', ' Spiderite\nReduced armor from 8 to 0.\nReduced gold bounty from 16-21 to 3.\nReduced experience bounty from 20 to 3.', 'Reduced gold bounty from 16-21 to 3.', 'Reduced experience bounty from 20 to 3.']"
7.07d,['Reduced  Spiderling and  Spiderite vision range from 1100/800 to 700/700.']
7.07c,"['Level 10 right talent: +60  Spawn Spiderlings damage increased to +75.', 'Level 20 left talent: +60 attack speed reduced to +50.', 'Level 25 right talent: +75/+75%  Insatiable Hunger damage/lifesteal reduced to +60/+60%.', 'Talents:']"
