7.26c,"['Level 10 left talent: +8  strength increased to +9.', 'Level 10 right talent: +6  agility increased to +7.', 'Level 15 right talent: -24s  Burning Army cooldown increased to -30s.', 'Level 20 left talent: +275  Death Pact max health increased to +325.', 'Reduced  Searing Arrows damage from 30/40/50/60 to 25/35/45/55.', 'Talents:']"
7.26b,"['Level 10 left talent: +10  strength reduced to +8.', 'Level 10 right talent: +8  agility reduced to +6.', 'Level 15 left talent: +15  Searing Arrows damage reduced to +12.', 'Level 15 right talent: -30s  Burning Army cooldown reduced to -24s.', 'Level 20 left talent: +350  Death Pact max health reduced to +275.', 'Level 20 right talent: +125 attack range reduced to +100.', 'Level 25 right talent: +4s  Skeleton Walk attack speed duration reduced to +3s.', 'Talents:']"
7.26a,"['Increased damage from 20/30/40/50 to 30/40/50/60.', 'Increased mana cost from 6/8/10/12 to 9/10/11/12.', ' Searing Arrows\nIncreased damage from 20/30/40/50 to 30/40/50/60.\nIncreased mana cost from 6/8/10/12 to 9/10/11/12.']"
7.25,"[' Death Pact no longer has creep level restriction of 2/3/4/5.', 'Increased  Burning Army total attack damage as damage from 28% to 30%.']"
7.24,['Increased  Burning Army total attack damage as damage from 24%/26%/28% to 28% on each level.']
7.23c,['Increased  Death Pact max health bonus from 200/300/400/500 to 250/350/450/550.']
7.23,"['Cast range: 900', 'Creep max level: 3/4/5/6', 'Max health bonus: 200/300/400/500', 'Attack armor reduction: 2/3/4/5', 'Armor reduction duration: 3', 'Permanent attack damage bonus per kill: 5', 'Death Pact buff duration: 55', 'Mana cost: 60', 'Cooldown: 90', 'Notes: Takes the first ability slot. Can only target enemy creeps, or  Skeleton Archers. Instantly kills the target. The damage bonus is granted when an enemy hero dies with the debuff, no matter who kills it. The buff is undispellable.', 'Reduced attack range from 650 to 625.', 'Reduced  Searing Arrows cast range from 650 to 625.', 'Removed  Strafe.', 'Added new ability:  Death Pact:']"
7.22d,"['Increased  strength gain from 1.9 to 2.2.', 'Reduced  agility gain from 3 to 2.7.', 'Reduced  Burning Army spawn interval from 0.8 to 0.7.']"
7.22c,"['Level 10 left talent changed: +5 armor -> +8  agility.', 'Level 10 right talent changed: +12% magic resistance -> +10  strength.', 'Level 15 right talent changed: +15  strength -> -30s  Burning Army cooldown.', 'Level 25 right talent: +3s/+3  Strafe duration/disjoint instances increased to +4s/+4.', 'Talents:']"
7.22b,"['Level 15 left talent: +20  Searing Arrows damage reduced to +15.', 'Increased base  strength from 12 to 14.', ' Searing Arrows\nReduced damage from 30/40/50/60 to 20/30/40/50.\nReduced mana cost from 12 on each level to 6/8/10/12.', 'Reduced damage from 30/40/50/60 to 20/30/40/50.', 'Reduced mana cost from 12 on each level to 6/8/10/12.', 'Talents:']"
7.22,"['Level 15 left talent: +30  Searing Arrows damage reduced to +20.', 'Increased base mana regeneration from 0 to 0.25.', ""Added  Aghanim's Scepter upgrade for Clinkz: Increases  Skeleton Walk movement speed bonus from 15%/25%/35%/45% to 45%/55%/65%/75%, makes it remove the movement speed limit while active, and causes it to create 2 skeleton archers next to Clinkz upon exiting the Skeleton Walk."", ' Burning Army\nRescaled attack interval from 1.75/1.6/1.45 to 1.6 on each level.\nRescaled attack damage from 100% on each level to 80%/100%/120% of Clinkz main attack damage.', 'Rescaled attack interval from 1.75/1.6/1.45 to 1.6 on each level.', 'Rescaled attack damage from 100% on each level to 80%/100%/120% of Clinkz main attack damage.', 'Talents:']"
