7.26c,"['Level 15 left talent: -1.5s  Crystal Nova cooldown increased to -2s.', 'Talents:']"
7.26b,"['Level 10 left talent: +100 cast range reduced to +75.', 'Level 10 right talent: +250 health reduced to +200.', 'Level 15 left talent: -2s  Crystal Nova cooldown reduced to -1.5s.', 'Level 15 right talent: 10%  Arcane Aura magic resistance reduced to 8%.', 'Level 20 left talent: +60  Freezing Field damage per explosion reduced to +50.', 'Level 20 right talent: +250 attack speed reduced to +200.', 'Level 25 left talent: +300  Crystal Nova damage reduced to +240.', 'Level 25 right talent: +1.5s  Frostbite duration reduced to +1.25s.', 'Talents:']"
7.25,"[""Reduced  Aghanim's Scepter upgraded  Freezing Field  Frostbite timer from 2.5 to 2.""]"
7.24,"['Level 15 left talent changed: +150 gold per minute -> -2s  Crystal Nova cooldown.', 'Talents:']"
7.23d,"['Reduced base mana regen from 1.5 to 1.', 'Increased  Arcane Aura self multiplier from 2 to 3.']"
7.23c,"['Level 15 right talent changed: 14%  Arcane Aura manacost/manaloss reduction -> 10%  Arcane Aura magic resistance.', 'Reduced  Crystal Nova cooldown from 14/12/10/8 to 11/10/9/8.', ' Arcane Aura no longer grants 5%/6%/7%/8% magic resistance.', 'Talents:']"
7.23b,['Increased  Crystal Nova cooldown from 11/10/9/8 to 14/12/10/8.']
7.23a,"['Increased base mana regeneration from 1 to 1.5.', ' Arcane Aura\nReduced mana regen bonus from 1/1.5/2/2.5 to 0.5/1/1.5/2.\nRescaled magic resistance bonus from 4%/6%/8%/10% to 5%/6%/7%/8%', 'Reduced mana regen bonus from 1/1.5/2/2.5 to 0.5/1/1.5/2.', 'Rescaled magic resistance bonus from 4%/6%/8%/10% to 5%/6%/7%/8%']"
7.23,"['Increased base mana regeneration from 0 to 1.', ' Arcane Aura\nChanged mana regen bonus on self from 2.5/4.5/6.5/8.5 to 2x the allied value.\nNow also grants 4%/6%/8%/10% magic resistance, 2x on Crystal Maiden.', 'Changed mana regen bonus on self from 2.5/4.5/6.5/8.5 to 2x the allied value.', 'Now also grants 4%/6%/8%/10% magic resistance, 2x on Crystal Maiden.']"
7.22f,['Reduced base armor from 0 to -1.']
7.22,"['Increased base attack speed from 100 to 115.', 'Reduced attack point from 0.55 to 0.45.']"
7.21b,['Increased  Freezing Field self armor bonus from 10 to 20.']
