7.26b,"['Level 10 left talent: +2 mana regen reduced to +1.5.', 'Level 10 right talent: +60 attack damage reduced to +50.', 'Level 15 left talent: +30  Shadow Wave heal/damage reduced to +24.', 'Level 15 right talent: +200 cast range reduced to +150.', 'Level 20 left talent: +45  Poison Touch damage per second reduced to +36.', 'Level 20 right talent: +40 movement speed reduced to +30.', 'Level 25 left talent: +0.5  Bad Juju armor reduction reduced to +0.4.', 'Level 25 right talent: +40%  Poison Touch movement speed slow reduced to +32%.', 'Talents:']"
7.25,"['Old upgrade: Increases  Shadow Wave bounce count by from 3/4/5/6 to 6/7/8/9, bounce distance by 475 to 675, and causes it to apply a basic dispel on allies.', 'New upgrade: Causes Dazzle to instantly attack up to 8 random enemies within a 800 radius around him whenever he casts a spell. [?]', ""Reworked  Aghanim's Scepter""]"
7.23e,"['Level 10 left talent changed: +20% experience gain -> +2 mana regen.', 'Talents:']"
7.23c,"['Level 10 left talent: +30% experience gain reduced to +20%.', 'Talents:']"
7.23,"['No longer causes  Shallow Grave to be a 500 radius spell.', 'Now increases  Shadow Wave bounce count by 3, bounce distance by 200, and makes the bounces apply a basic dispel on allies.', "" Aghanim's Scepter\nNo longer causes  Shallow Grave to be a 500 radius spell.\nNow increases  Shadow Wave bounce count by 3, bounce distance by 200, and makes the bounces apply a basic dispel on allies.""]"
7.22d,"['Level 15 left talent: +20  Shadow Wave heal/damage increased to +30.', 'Level 15 right talent: +125 cast range increased to +200.', 'Talents:']"
7.22c,"['Level 10 left talent changed: +200 health -> +30% experience gain.', 'Increased  Bad Juju cooldown reduction from 20%/35%/50% to 26%/38%/50%.', 'Talents:']"
7.22,"[""Increased  Aghanim's Scepter upgraded  Shallow Grave radius from 450 to 500.""]"
7.21,"['Increased  intelligence gain from 3.2 to 3.7.', 'Reduced movement speed from 310 to 305.', 'Increased  Poison Touch mana cost from 95/110/125/140 to 110/120/130/140.', 'Reduced  Shadow Wave cast range from 900 to 800.']"
7.20e,"['Reduced cast range from 600/700/800/900 to 500/600/700/800.', 'Increased mana cost from 80/100/120/140 to 95/110/125/140.', ' Poison Touch\nReduced cast range from 600/700/800/900 to 500/600/700/800.\nIncreased mana cost from 80/100/120/140 to 95/110/125/140.', 'Increased  Shallow Grave cooldown from 60/45/30/15 to 60/46/32/18.']"
7.20d,"['Reduced  intelligence gain from 3.4 to 3.2.', 'Reduced  Bad Juju cooldown reduction from 30%/40%/50% to 20%/35%/50%.']"
7.20c,['Increased  Shadow Wave cooldown from 13/11/9/7 to 14/12/10/8.']
7.20b,"['Increased  Poison Touch mana cost from 80/90/100/110 to 80/100/120/140.', 'Reduced  Bad Juju debuff duration from 10 to 8.']"
