7.26b,"['Level 10 left: +15% magic resistance reduced to +12%.', 'Level 10 right: +40 attack damage reduced to +30.', 'Level 15 left: +175 cast range reduced to +150.', 'Level 15 right: +1%  Spirit Siphon max health drained per second reduced to +0.8%.', 'Level 20 left: -3s  Crypt Swarm cooldown reduced to -2.5s.', 'Level 20 right: +500 health reduced to +400.', 'Level 25 left: +8  Exorcism spirits reduced to +6.', 'Talents:\nLevel 10 left: +15% magic resistance reduced to +12%.\nLevel 10 right: +40 attack damage reduced to +30.\nLevel 15 left: +175 cast range reduced to +150.\nLevel 15 right: +1%  Spirit Siphon max health drained per second reduced to +0.8%.\nLevel 20 left: -3s  Crypt Swarm cooldown reduced to -2.5s.\nLevel 20 right: +500 health reduced to +400.\nLevel 25 left: +8  Exorcism spirits reduced to +6.']"
7.26a,"['Reduced movement speed from 315 to 310.', ' Exorcism\nReduced movement speed bonus from 20% on each level to 16%/18%/20%.\nIncreased mana cost from 200/300/400 to 250/350/450.', 'Reduced movement speed bonus from 20% on each level to 16%/18%/20%.', 'Increased mana cost from 200/300/400 to 250/350/450.']"
7.25c,"['Reduced base attack damage from 29-41 to 27-39.', 'Reduced  Exorcism scepter damage multiplier from 1.75 to 1.5.', 'Increased  Spirit Siphon mana cost from 70 to 80.']"
7.25,[' Exorcism now also grants 20% movement speed.']
7.24,"['Increased base armor from 0 to 1.', 'Increased base movement speed from 310 to 315.', 'Reduced  Spirit Siphon charge restore time from 60/52/44/36 to 45/40/35/30.']"
7.23,['Increased base  intelligence from 21 to 24.']
7.22e,"[""Reduced  Aghanim's Scepter upgraded  Exorcism's extra spirit damage from 200% to 175%.""]"
7.22,"['Reduced  Crypt Swarm cast time from 0.5 to 0.4.', ""Added  Aghanim's Scepter upgrade for Death Prophet: Whenever Death Prophet hits an enemy with her  Crypt Swarm,  Silence,  Spirit Siphon, or with an attack, an  Exorcism flies out of her and attacks the enemy for double the usual Exorcism ghost damage, then return to Death Prophet and heal her. These ghosts apply a 100% movement speed slow for 0.3 seconds upon hitting their targets.""]"
7.21c,"['Reduced  Crypt Swarm mana cost from 105/120/140/165 to 85/110/135/160.', 'Reduced  Silence cast time from 0.5 to 0.4.', 'Talents:', 'Level 15 left talent: +150 cast range increased to +175.']"
7.21,"['Increased  intelligence gain from 3 to 3.5.', 'Increased base damage from 26-38 to 29-41.', 'Reduced movement speed from 315 to 310.']"
7.20e,"['Reduced  Spirit Siphon charge replenish time from 60/55/50/45 to 60/52/44/36.', 'Increased  Exorcism spirits damage from 56-61 to 59-64.']"
7.20c,"['Increased movement speed from 310 to 315.', 'Talents:', 'Level 10 left talent: +12% magic resistance increased to +15%.', 'Level 20 right talent: -2s  Crypt Swarm cooldown increased to -3s.']"
7.20,"['Increased  strength gain from 2.9 to 3.1.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased movement speed from 305 to 310.', "" Spirit Siphon\nNow also increases Death Prophet's movement speed by the same percentage as the target loses.\nReduced movement speed slow from 5%/10%/15%/20%/ to 4%/6%/8%/10%."", ""Now also increases Death Prophet's movement speed by the same percentage as the target loses."", 'Reduced movement speed slow from 5%/10%/15%/20%/ to 4%/6%/8%/10%.']"
