7.26c,"['Level 15 right talent changed: 16% evasion -> +3s  Doom duration.', 'Level 25 left talent: 140% cleave increased to 150%.', 'Talents:']"
7.26b,"['Level 10 left talent: +16%  Scorched Earth movement speed reduced to +13%.', 'Level 10 right talent: +20  Scorched Earth damage per second reduced to +16.', 'Level 15 left talent: +150  Devour gold reduced to +120.', 'Level 15 right talent: 20% evasion reduced to 16%.', 'Level 20 right talent: +40  Doom damage per second reduced to +30.', 'Level 25 left talent: 175% cleave reduced to 140%.', 'Level 25 right talent: +3%  Infernal Blade max health as damage per second reduced to +2.4%.', 'Talents:']"
7.24,"['Reduced  strength gain from 4 to 3.7.', 'Reduced  Scorched Earth movement speed from 12%/13%/14%/15% to 9%/11%/13%/15%.', 'Reduced  Devour health regeneration bonus from 3/8/13/18 to 3/7/11/15.']"
7.23f,"['Reduced base  strength from 26 to 24.', ' Scorched Earth\nReduced damage per second from 20/35/50/65 to 15/30/45/60.\nIncreased mana cost from 60/65/70/75 to 60/70/80/90.', 'Reduced damage per second from 20/35/50/65 to 15/30/45/60.', 'Increased mana cost from 60/65/70/75 to 60/70/80/90.']"
7.23,"['Increased base attack damage from 27-43 to 30-46.', ' Devour\nReduced duration from 80 to 70.\nIncreased creep level limit from 3/4/5/6 to 4/5/6/6.\nIncreased cooldown from 70/60/50/40 to 70 on each level.\nIncreased gold bonus from 25/50/75/100 to 20/80/140/200.', 'Reduced duration from 80 to 70.', 'Increased creep level limit from 3/4/5/6 to 4/5/6/6.', 'Increased cooldown from 70/60/50/40 to 70 on each level.', 'Increased gold bonus from 25/50/75/100 to 20/80/140/200.', ' Scorched Earth\nIncreased movement speed bonus from 11%/12%/13%/14% to 12%/13%/14%/15%.\nIncreased damage per second from 20/30/40/50 to 20/35/50/65.\nIncreased duration from 13/14/15/16 to 16 on each level.', 'Increased movement speed bonus from 11%/12%/13%/14% to 12%/13%/14%/15%.', 'Increased damage per second from 20/30/40/50 to 20/35/50/65.', 'Increased duration from 13/14/15/16 to 16 on each level.', 'Rescaled  Infernal Blade base damage from 25 on each level to 16/20/24/28.', ""Reworked  Aghanim's Scepter"", ""Old: Causes  Doom's duration to not tick down while within 900 range of Doom, and also causes Doom to apply Break on its target."", 'New: Increases  Infernal Blade stun duration from 0.6 to 1.75, burn duration from 4 to 6, and causes it to apply Break.']"
7.22,"['Level 25 left talent: 130% cleave increased to 175%.', ' Devour now has a creep level limit of 3/4/5/6.', 'Talents:']"
7.21,"['Increased  strength gain from 3.5 to 4.', 'Reduced  Devour health regeneration bonus from 4/8/13/18 to 3/8/13/18.', 'Reduced  Scorched Earth cooldown from 55/50/45/40 to 50/45/40/35.']"
7.20d,['Increased movement speed from 280 to 285.']
7.20c,['Reduced  Devour health regeneration bonus from 5/10/15/20 to 4/8/13/18.']
7.20,"['Level 10 right talent changed: +10  Scorched Earth damage/heal per second -> +20  Scorched Earth damage per second.', 'Level 25 right talent: 100% cleave increased to 130%.', 'Cleave damage is now affected by armor value as well. [?]', 'Increased cleave distance from 625 to 650.', 'Increased cleave end radius from 330 to 360.', 'Increased attack range from 150 to 175.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Devour\nIs no longer restricted from being cast again while still having the buff from a previous cast.\nNow grants 5/10/15/20 health regeneration.\nThe buff now has a fixed duration of 80 seconds, instead of being equal to the current health of the devour creep divided by 20.\nCan now be toggled off, in order to not acquire new spells of creeps. [?]', 'Is no longer restricted from being cast again while still having the buff from a previous cast.', 'Now grants 5/10/15/20 health regeneration.', 'The buff now has a fixed duration of 80 seconds, instead of being equal to the current health of the devour creep divided by 20.', 'Can now be toggled off, in order to not acquire new spells of creeps. [?]', ' Scorched Earth\nNo longer grants 12/18/24/30 health regeneration to Doom and his units.\nReduced cooldown from 55 on each level to 55/50/45/40.\nIncreased damage per second from 16/24/32/40 to 20/30/40/50.', 'No longer grants 12/18/24/30 health regeneration to Doom and his units.', 'Reduced cooldown from 55 on each level to 55/50/45/40.', 'Increased damage per second from 16/24/32/40 to 20/30/40/50.', 'Increased  Infernal Blade cast range from 150 to 175.', 'Talents:']"
