7.26b,"['Level 10 left talent: +65 attack damage reduced to +50.', 'Level 10 right talent: +400  Rolling Boulder distance reduced to +325.', 'Level 15 left talent: +150  Rolling Boulder damage reduced to +120.', 'Level 15 right talent: +8 armor reduced to +6.', 'Level 20 left talent: +3.5s  Geomagnetic Grip silence duration reduced to +3s.', 'Level 20 right talent: +20% spell damage amplification reduced to +16%.', 'Level 25 left talent: +0.75s  Rolling Boulder stun duration reduced to +0.6s.', 'Talents:']"
7.25,"['Level 10 left talent: +50 attack damage increased to +65.', 'Level 10 right talent: +300  Rolling Boulder distance increased to +400.', 'Level 20 right talent: +15% spell damage amplification increased to +20%.', 'Increased  agility gain from 1.5 to 2.4.', 'Talents:']"
7.24,"['Level 20 left talent changed: +150 gold per minute -> +3.5s  Geomagnetic Grip silence duration.', 'Reduced  Stone Remnant charge restore time from 30 to 25.', 'Talents:']"
7.23,"['Level 10 left talent: +40 attack damage increased to +50.', 'Level 10 right talent changed: +10  intelligence -> +300  Rolling Boulder distance.', 'Level 15 right talent: +7 armor increased to +8.', 'Increased base  intelligence from 18 to 20.', 'Talents:']"
7.21,"['Level 15 left talent: +200  Rolling Boulder damage reduced to +150.', 'Increased  strength gain from 3.8 to 4.4.', 'Reduced  Rolling Boulder damage from 100 on each level to 70/80/90/100.', 'Reduced  Boulder Smash slow from 80% to 60%.', 'Talents:']"
7.20d,['Increased movement speed from 285 to 290.']
7.20,"['Level 25 left talent changed: +1s  Boulder Smash stun duration -> +0.75s  Rolling Boulder stun duration.', 'Increased  strength gain from 3.5 to 3.8.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased  Stone Remnant max charges from 6 to 7.', ' Boulder Smash\nNo longer stuns enemies hit by Stone Remnants for 0.5/1/1.5/2 seconds.\nNow slows the movement speed of enemies hit by Stone Remnants by 80% for 1.25/2.5/3.25/4 seconds.\nIncreased damage from 50/100/150/200 to 105/170/235/300.', 'No longer stuns enemies hit by Stone Remnants for 0.5/1/1.5/2 seconds.', 'Now slows the movement speed of enemies hit by Stone Remnants by 80% for 1.25/2.5/3.25/4 seconds.', 'Increased damage from 50/100/150/200 to 105/170/235/300.', ' Rolling Boulder\nNo longer slows enemies hit by a Stone Remnant boosted roll by 80% for 0.8/1.2/1.6/2 seconds.\nNow stuns hit enemies for 0.4/0.6/0.8/1 seconds.\nWhen boosted with a Stone Remnant, the stun increases by 0.4/0.6/0.8/1 seconds.', 'No longer slows enemies hit by a Stone Remnant boosted roll by 80% for 0.8/1.2/1.6/2 seconds.', 'Now stuns hit enemies for 0.4/0.6/0.8/1 seconds.', 'When boosted with a Stone Remnant, the stun increases by 0.4/0.6/0.8/1 seconds.', "" Magnetize\nUpdated to spread Boulder Smash's debuff onto all affected enemies, instead of Rolling Boulder's.\nIncreased radius from 300 to 350."", ""Updated to spread Boulder Smash's debuff onto all affected enemies, instead of Rolling Boulder's."", 'Increased radius from 300 to 350.', 'Talents:']"
7.18,['Increased  strength gain from 3.2 to 3.5.']
7.13b,"['Reduced base armor from 1 to 0.', 'Reduced movement speed from 290 to 285.']"
7.07d,['Reduced  Boulder Smash stun duration from 0.75/1.25/1.75/2.25 to 0.5/1/1.5/2.']
7.07c,['Reduced  Geomagnetic Grip silence duration from 2.5/3/3.5/4 to 2/2.5/3/3.5.']
7.07,"['Level 10: +4 armor or +10  intelligence', 'Level 15: +90 gold per minute or +15% magic resistance', 'Level 20: +300 health or +15% spell damage amplification', 'Level 25: +300  Rolling Boulder damage or  Geomagnetic Grip can target allies', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Neutral creeps targeted by  Boulder Smash now draw aggro and can be auto-attacked again.', 'Reworked talents:']"
7.06,"['Level 25 right talent changed: -45s respawn time ->  Geomagnetic Grip can target allies.', 'Increased  strength gain from 2.9 to 3.2.', 'Reduced base health regeneration from 0.25 to 0.', "" Aghanim's Scepter no longer allows  Geomagnetic Grip to target allied heroes."", 'Talents:']"
7.05,['Reduced  Rolling Boulder slow duration from 1.4/1.6/1.8/2 to 0.8/1.2/1.6/2.']
7.03,['Reduced base movement speed from 295 to 290.']
7.02,"['Level 25 right talent: -35s respawn time increased to -45s.', 'Talents:']"
7.00,"['Level 10: +4 armor or +10  intelligence', 'Level 15: +90 gold per minute or +15% magic resistance', 'Level 20: +300 health or +15% spell damage amplification', 'Level 25: +300  Rolling Boulder damage or -35s respawn time', ' Rolling Boulder can no longer be cast while rooted.', ' Magnetize debuff now has an overhead duration counter above affected units.', 'Added talents:']"
6.88,['Increased  Magnetize cooldown from 80 on each level to 100/90/80.']
6.87d,['Reduced  Rolling Boulder stone slow duration from 2 on each level to 1.4/1.6/1.8/2.']
6.87,"['Reduced movement speed from 305 to 295.', 'Increased attack range from 128 to 150.', 'Reduced  Boulder Smash travel speed from 1200 to 900. [?]']"
6.86e,['Reduced  Enchant Remnant cast range from 600 to 125.']
6.86,"[""Enabled in Captain's Mode."", 'Reduced  intelligence gain from 2.4 to 2.1.', 'Reduced  Boulder Smash damage/stun radius and stone search radius from 200 to 160.', "" Geomagnetic Grip now requires  Aghanim's Scepter to be able to pull allied heroes. [?]""]"
6.85,"[' Stone Remnant is now placed in front of Earth Spirit when double-clicking it.', 'Fixed  Enchant Remnant sometimes not granting True Sight over the target properly.']"
6.84,"['Rescaled  Boulder Smash damage from 125 on each level to 50/100/150/200.', 'Fixed  Rolling Boulder not getting interrupted when getting hexed during the initial 0.6 seconds.', ' Geomagnetic Grip\nReduced damage from 50/125/200/275 to 50/100/150/200.\nIncreased mana cost from 75 to 100.', 'Reduced damage from 50/125/200/275 to 50/100/150/200.', 'Increased mana cost from 75 to 100.', ' Magnetize can now be dispelled.']"
6.83,"['No longer reduces attack speed by 80 for 2 seconds.', 'No longer does an additional 45 damage when used with a  Stone Remnant.', 'Increased base damage from 90 to 100.', ' Rolling Boulder\nNo longer reduces attack speed by 80 for 2 seconds.\nNo longer does an additional 45 damage when used with a  Stone Remnant.\nIncreased base damage from 90 to 100.']"
6.82,"['Cast Range: 600', 'Damage radius: 300', 'Damage: 300', 'Duration: 3', 'Mana Cost: 150', 'Cooldown: 45', 'Note: The Enchanted Remnant is like his other  Stone Remnants, they cannot do anything on their own, they are invulnerable, and they can be used with his skills.', ""Added  Aghanim's Scepter: Grants Earth Spirit a new ability,  Enchant Remnant.""]"
6.81,['Reduced  Stone Remnant charge restore time from 35 to 30.']
