7.26b,"['Level 10 left talent: +250 mana reduced to +200.', 'Level 10 right talent: +30 attack damage reduced to +25.', 'Level 15 left talent: +7 armor reduced to +6.', 'Level 15 right talent: +30 movement speed reduced to +25.', 'Level 20 left talent: +400  Fissure cast range/length reduced to +320.', 'Level 20 right talent: +50  Echo Slam echo damage reduced to +40.', 'Level 25 left talent: -2s  Enchant Totem cooldown reduced to -1.5s.', 'Level 25 right talent: +50% magic resistance reduced to +40%.', 'Talents:']"
7.23,"['Now also grants 75 attack range for the buffed attack.', 'The leap now gets interrupted when getting stunned or rooted during it.', 'Increased leap duration from 0.75 to 1.', ' Enchant Totem\nNow also grants 75 attack range for the buffed attack.\nThe leap now gets interrupted when getting stunned or rooted during it.\nIncreased leap duration from 0.75 to 1.', 'Increased  Echo Slam initial damage from 100 on each level to 100/140/180.']"
7.21d,['Increased base armor from 0 to 2.']
7.21,"['Increased  strength gain from 3.2 to 3.7.', 'Reduced  Fissure mana cost from 125/140/155/170 to 110/130/150/170.']"
7.20,"['Reduced base health regeneration from 2.5 to 1.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased  Fissure cooldown from 18/17/16/15 to 21/19/17/15.']"
7.19d,['Reduced base armor from 1 to 0.']
7.19c,"["" Enchant Totem, when  Aghanim's Scepter upgraded, can no longer be cast while rooted.""]"
7.18,"['Increased health regeneration from 2 to 2.5.', 'Increased movement speed from 305 to 310.', ""Increased  Aghanim's Scepter upgraded  Enchant Totem cast range from 900 to 1100."", ' Echo Slam\nEcho waves can no longer be disjointed.\nIncreased echo damage from 60/85/110 to 70/90/110.', 'Echo waves can no longer be disjointed.', 'Increased echo damage from 60/85/110 to 70/90/110.']"
7.17,[' Echo Slam now deals 100 initial damage on cast instantly to all units within its area.']
7.16,['Increased base armor from 0 to 1.']
7.14,['Increased base attack damage from 24-34 to 27-37.']
7.13b,"['Reduced movement speed from 310 to 305.', 'Reduced base armor from 1 to 0.']"
7.07,"['Level 10: +250 mana or +10  strength', 'Level 15: +50 attack damage or +20 movement speed', 'Level 20: +350  Fissure cast range/length or +40  Echo Slam echo damage', 'Level 25: -2s  Enchant Totem cooldown or +600 health', 'Increased base health regeneration from 0.5 to 2.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Echo Slam\nNo longer deals 160/210/270 initial damage to everyone within the radius.\n[U] Units no longer send echoes to themselves.\nHit enemy heroes now release two echoes to units around them.\nIncreased echo damage from 40/55/70 to 60/85/110.', 'No longer deals 160/210/270 initial damage to everyone within the radius.', '[U] Units no longer send echoes to themselves.', 'Hit enemy heroes now release two echoes to units around them.', 'Increased echo damage from 40/55/70 to 60/85/110.', 'Reworked talents:']"
7.06f,"['Increased  Fissure cooldown from 15 on each level to 18/17/16/15.', 'Increased  Enchant Totem mana cost from 20/30/40/50 to 35/40/45/50.']"
7.06,"['Level 20 left talent changed: -35s respawn time -> +350  Fissure cast range/length.', 'Increased  strength gain from 2.9 to 3.2.', 'Reduced base health regeneration from 0.75 to 0.5.', ' Enchant Totem now has True Strike.', 'Talents:']"
7.03,"['Level 10 right talent: +8  strength increased to +10.', 'Increased  Aftershock damage from 50/75/100/125 to 75/100/125/150.', 'Talents:']"
7.02,"['Level 20 right talent changed: +10% spell damage amplification -> +40  Echo Slam echo damage.', 'Level 25 right talent: +500 health increased to +600.', 'Increased base health regeneration from 0.25 to 0.75.', 'Talents:']"
7.00,"['Level 10: +250 mana or +8  strength', 'Level 15: +50 attack damage or +20 movement speed', 'Level 20: -35s respawn time or +10% spell damage amplification', 'Level 25: -2s  Enchant Totem cooldown or +500 health', 'Added talents:']"
6.88,"['Increased initial damage and echo radius from 575 to 600.', 'Increased echo projectile speed from 575 to 600.', ' Echo Slam\nIncreased initial damage and echo radius from 575 to 600.\nIncreased echo projectile speed from 575 to 600.']"
