7.26c,"['Level 10 left talent changed: +150 health -> +8  strength.', 'Level 25 left talent: +475  Echo Stomp wake-up damage threshold reduced to +450.', 'Talents:']"
7.26b,"['Level 10 left talent: +200 health reduced to +150.', 'Level 10 right talent: +20 movement speed reduced to +15.', 'Level 15 left talent: +30  Astral Spirit attack damage bonus per hero reduced to +25.', 'Level 15 right talent: +20% magic resistance reduced to +15%.', 'Level 20 left talent: +125  Echo Stomp physical/magical damage reduced to +100.', 'Level 20 right talent: +70 attack speed reduced to +55.', 'Level 25 left talent: +600  Echo Stomp wake-up damage threshold reduced to +475.', 'Level 25 right talent: -75s  Earth Splitter cooldown reduced to -60s.', 'Talents:']"
7.25,"['Level 15 right talent: +15% magic resistance increased to +20%.', 'Level 20 left talent: +100  Echo Stomp physical/magical damage increased to +125.', 'Talents:']"
7.23,"[""Reworked  Aghanim's Scepter"", 'Old: Causes Elder Titan to become spell immune during the cast time and channeling of  Echo Stomp, and for 2 additional seconds per each enemy hero hit by the stomp.', 'New: Causes Elder Titan to become spell immune for 2 seconds for each enemy hero hit by  Astral Spirit when the spirit returns to him.']"
7.22g,"['The buff granted by the spirit upon return is now fully dispellable.', 'Increased cooldown from 17 on each level to 23/21/19/17.', ' Astral Spirit\nThe buff granted by the spirit upon return is now fully dispellable.\nIncreased cooldown from 17 on each level to 23/21/19/17.']"
7.22f,['Reduced  Echo Stomp mana cost from 100 on each level to 85/90/95/100.']
7.22c,['Increased  Astral Spirit attack damage bonus per hit hero from 15/30/60/80 to 20/40/60/80.']
7.22,"['No longer causes  Earth Splitter to disarm hit enemies.', 'No longer increases  Earth Splitter duration from 3/4/5 to 4/5/6.', 'Now causes Elder Titan to be spell immune while channeling  Echo Stomp, and an additional 2 seconds for each enemy hero hit with the stomp.', "" Aghanim's Scepter\nNo longer causes  Earth Splitter to disarm hit enemies.\nNo longer increases  Earth Splitter duration from 3/4/5 to 4/5/6.\nNow causes Elder Titan to be spell immune while channeling  Echo Stomp, and an additional 2 seconds for each enemy hero hit with the stomp.""]"
7.21c,['Reduced  Astral Spirit attack damage bonus per creep from 6/9/12/15 to 3/7/11/15.']
7.21,"['Level 10 right talent: +25 movement speed reduced to +20.', 'Increased  strength gain from 2.6 to 3.', 'Talents:']"
