7.26c,"['Level 10 left talent: +200 health reduced to +175.', 'Level 10 right talent: +15 attack damage reduced to +12.', 'Level 15 left talent changed: +9  Rocket Barrage damage per rocket -> -40s  Call Down cooldown.', 'Level 20 left talent changed: -40s  Call Down cooldown -> +12  Rocket Barrage damage per rocket.', 'Talents:']"
7.26b,"['Level 10 left talent: +250 health reduced to +200.', 'Level 10 right talent: +20 attack damage reduced to +15.', 'Level 15 left talent: +11  Rocket Barrage damage per rocket reduced to +9.', 'Level 15 right talent: +0.5s  Homing Missile stun duration reduced to +0.4s', 'Level 20 left talent: -50s  Call Down cooldown reduced to -40s.', 'Level 20 right talent: +40 movement speed reduced to +30.', 'Talents:']"
7.25,"['Level 20 left talent: -25s  Call Down cooldown increased to -50s.', 'Increased  strength gain from 2.3 to 2.5.', 'Reduced attack backswing from 0.97 to 0.65.', ' Flak Cannon\nReduced attack count from 3/4/5/6 to 2/3/4/5.\nReduced duration from 15 to 10.\nReduced cooldown from 40 to 20.', 'Reduced attack count from 3/4/5/6 to 2/3/4/5.', 'Reduced duration from 15 to 10.', 'Reduced cooldown from 40 to 20.', ' Call Down\nIncreased second missile damage from 100/150/200 to 200/275/350.\nIncreased cooldown from 55/50/45 to 90 on each level.', 'Increased second missile damage from 100/150/200 to 200/275/350.', 'Increased cooldown from 55/50/45 to 90 on each level.', 'Talents:']"
7.23,"['Now prioritizes the furthest enemy within the radius, instead of being fully random.', 'Increased radius from 600 to 700.', ' Side Gunner attack interval from 1.1 to 1.2.\nNow prioritizes the furthest enemy within the radius, instead of being fully random.\nIncreased radius from 600 to 700.']"
7.22g,['Increased  Side Gunner attack interval from 1.1 to 1.2.']
7.22,['Increased base attack speed from 100 to 125.']
7.21d,"['Level 10 left talent: +200 health increased to +250.', 'Increased base attack damage from 18-28 to 21-31.', 'Talents:']"
7.21,"['Increased base  strength from 19 to 22.', 'Increased  agility gain from 3.1 to 3.6.', 'Reduced movement speed from 320 to 315.']"
7.20e,['Increased  agility gain from 2.8 to 3.1.']
7.20c,['Increased  strength gain from 2.1 to 2.3.']
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.']"
7.19b,"['Reduced base  agility from 24 to 19.', 'Increased base attack damage from 13-23 to 18-28.', 'Increased base armor from 1 to 2.']"
7.17,"['Level 15 right talent changed: +3  Flak Cannon attacks -> +0.5s  Homing Missile stun duration.', 'Level 20 right talent: +45 movement speed reduced to +40.', 'Talents:']"
7.16,"['Level 20 right talent: +50 movement speed reduced to +45.', 'Level 10 right talent: +25 attack damage reduced to +20.', ""Reduced  Call Down first rocket's damage from 200/275/350 to 150/250/350."", 'Talents:']"
7.15,['Increased base  strength from 18 to 19.']
7.12,"['Reduced  Homing Missile attacks to destroy from 3/3/4/4 to 3 on each level.', 'Increased  Flak Cannon cooldown from 30 to 40.']"
7.10,"['Increased gold bounty from 20-30 to 50.', 'Increased cooldown from 20/17/14/11 to 26/21/16/11.', ' Homing Missile\nIncreased gold bounty from 20-30 to 50.\nIncreased cooldown from 20/17/14/11 to 26/21/16/11.']"
7.07,"['Level 10: +225 health or +6% spell damage amplification', 'Level 15: +30 attack damage or +15% magic resistance', 'Level 20: 20% cooldown reduction or +35 movement speed', 'Level 25: +4  Flak Cannon attacks or 3  Homing Missile charges', 'Reduced movement speed from 325 to 320.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Homing Missile\nReduced cast time from 0.3 to 0.\n[U] No longer has a cast backswing.\nNow finds a new target within 700 radius of its current target if its current target dies, prioritizing heroes.\nIncreased initial speed from 340 to 500. [?]\nIncreased initial launch delay from 2.5 to 3.\nNow deals 100/175/250/325 fixed amount of damage, instead of having 50 minimum damage and then scaling up to 125/250/375/500 based on distance traveled.\nReduced attacks to destroy from 3/3/4/5 to 3/3/4/4.', 'Reduced cast time from 0.3 to 0.', '[U] No longer has a cast backswing.', 'Now finds a new target within 700 radius of its current target if its current target dies, prioritizing heroes.', 'Increased initial speed from 340 to 500. [?]', 'Increased initial launch delay from 2.5 to 3.', 'Now deals 100/175/250/325 fixed amount of damage, instead of having 50 minimum damage and then scaling up to 125/250/375/500 based on distance traveled.', 'Reduced attacks to destroy from 3/3/4/5 to 3/3/4/4.', 'Reworked talents:']"
7.06d,['Increased movement speed from 320 to 325.']
7.06c,"['Increased  Homing Missile stun duration from 2.2/2.4/2.6/2.8 to 2.25/2.5/2.75/3.', 'Increased  Flak Cannon radius from 1000 to 1250.']"
7.06,"['Increased  strength gain from 1.8 to 2.1.', 'Reduced base health regeneration from 0.25 to 0.', 'Increased movement speed from 315 to 320.', 'Reduced  Homing Missile initial delay from 3 to 2.5 seconds.']"
7.03,"['Level 10 left talent: +200 health increased to +225.', 'Level 15 right talent: +12% magic resistance increased to +15%.', 'Talents:']"
7.02,"['Level 10 left talent: +150 health increased to +200.', 'Level 15 right talent: +10% magic resistance increased to +12%.', 'Level 20 right talent: +25 movement speed increased to +35.', 'Talents:']"
7.00,"['Level 10: +150 health or +6% spell damage amplification', 'Level 15: +30 attack damage or +10% magic resistance', 'Level 20: 20% cooldown reduction or +25 movement speed', 'Level 25: +4  Flak Cannon attacks or 3  Homing Missile charges', 'Reduced  Side Gunner attack interval from 1.2 to 1.1.', ' Homing Missile now has low attack priority. [?]', 'Added talents:']"
6.88,['Reduced  Side Gunner attack interval from 1.4 to 1.2.']
6.87,"['Side Gunner attack range: 600', 'Side Gunner attack interval: 1.4', ""Notes: The enemy is selected completely random within range. The attack does not interfere with any of Gyrocopter's actions. Does not attack while hidden or while invisible. Is disabled by break. The Side Gunner is a stand-alone effect and is not bound to any of Gyrocopter's other spells."", 'Reduced base attack damage from 17-27 to 13-23 (total attack damage is now 37-47).', "" Aghanim's Scepter\nNo longer increases cast range from 1000 to global.\nNo longer increases missile two damage from 100/150/200 to 175/225/275.\nNow grants Gyrocopter a  Side Gunner, which automatically attacks a random enemy unit within range."", 'No longer increases cast range from 1000 to global.', 'No longer increases missile two damage from 100/150/200 to 175/225/275.', 'Now grants Gyrocopter a  Side Gunner, which automatically attacks a random enemy unit within range.']"
6.86c,"[""Reduced  Call Down first rocket's damage from 220/285/350 to 200/275/350.""]"
6.86,"[""Reduced  Call Down first rocket's damage from 250/300/350 to 220/285/350.""]"
6.85,"['Reduced  Rocket Barrage damage per rocket from 8/13/18/23 to 7/12/17/22.', ' Call Down no longer pierces spell immunity.']"
6.84c,['Reduced  Rocket Barrage damage per rocket from 11/15/19/23 to 8/13/18/23.']
6.84b,['Reduced base  intelligence from 23 to 19.']
6.84,"['Reduced  Rocket Barrage cast point from 0.3 to 0.', ' Call Down\nNo longer ignores ancient creeps, Roshan and creep-heroes.\nIncreased 2nd rocket slow duration from 3 to 4.', 'No longer ignores ancient creeps, Roshan and creep-heroes.', 'Increased 2nd rocket slow duration from 3 to 4.']"
6.83,"['Increased radius from 450 to 600.', ""Reduced first rocket's movement speed slow from 50% to 30%."", ""Increased second rocket's movement speed slow from 20% to 60%."", "" Call Down\nIncreased radius from 450 to 600.\nReduced first rocket's movement speed slow from 50% to 30%.\nIncreased second rocket's movement speed slow from 20% to 60%."", ' Homing Missile rocket can now be targeted by  Force Staff.']"
6.82,['Increased  Homing Missile maximum damage from 110/220/330/440 to 125/250/375/500.']
6.81,"['Now can hit invisible units.', 'Increased attacks required to destroy from 3 on each level to 3/3/4/5.', ' Homing Missile\nNow can hit invisible units.\nIncreased attacks required to destroy from 3 on each level to 3/3/4/5.']"
6.78c,['Reduced attack range from 375 to 365.']
6.78,['Increased  Flak Cannon cooldown from 20 to 30.']
6.76,"['Increased  Rocket Barrage damage per rocket from 11/14/17/20 to 11/15/19/23.', ' Homing Missile\nReduced distance required to reach maximum damage from 2000 to 1500.\nRescaled stun duration from 2.5 on each level to 2.2/2.4/2.6/2.8.', 'Reduced distance required to reach maximum damage from 2000 to 1500.', 'Rescaled stun duration from 2.5 on each level to 2.2/2.4/2.6/2.8.']"
6.75,"['Increased movement speed from 305 to 315.', 'Increased  Flak Cannon radius from 800 to 1000.', 'Increased  Call Down radius from 400 to 450.']"
6.74,"['Increased  Homing Missile maximum damage from 100/200/300/400 to 110/220/330/440.', 'Increased  Rocket Barrage damage per rocket from 10/13/16/19 to 11/14/17/20.']"
6.73,['Increased base armor from -1 to 1 (total armor is now 4.36).']
6.72,"['Increased  agility gain from 2.4 to 2.8.', 'Rescaled  Rocket Barrage cooldown from 6.5 to 7/6.5/6/5.5.', ""Added  Aghanim's Scepter upgrade for Gyrocopter: Increases  Call Down cast range from 1000 to global and increases the second rocket's damage from 100/150/200 to 175/225/275.""]"
6.70,"[""Added to Captain's Mode.""]"
6.69,"['Increased  Rocket Barrage damage per rocket from 10/12/14/16 to 10/13/16/19.', "" Homing Missile\nAdded a visual indicator over the target's head (visible to allies only).\nIncreased cast range from 900 to 1050.\nReduced cooldown from 20/18/16/14 to 20/17/14/11."", ""Added a visual indicator over the target's head (visible to allies only)."", 'Increased cast range from 900 to 1050.', 'Reduced cooldown from 20/18/16/14 to 20/17/14/11.']"
6.68,['Created.']
