7.26c,"['Level 15 right talent: +60 movement speed during  Blade Fury increased to +80.', 'Level 25 left talent: +0.8s  Omnislash duration increased to +1s.', "" Omnislash now waits for 0.15 seconds before ending when it doesn't find any valid target, rather than instantly ending"", 'Talents:']"
7.26b,"['Level 10 left talent: +25 movement speed reduced to +20.', 'Level 10 right talent: +6 all stats reduced to +5.', 'Level 15 left talent: +25 attack speed reduced to +20.', 'Level 15 right talent: +75 movement speed during  Blade Fury reduced to +60.', 'Level 20 left talent: +130  Blade Fury damage per second reduced to +100.', 'Level 20 right talent: +10 armor reduced to +8.', 'Level 25 left talent: +1s  Omnislash duration reduced to +0.8s.', 'Level 25 right talent: +600 health reduced to +475.', 'Talents:']"
7.25,"[""Reworked  Aghanim's Scepter upgrade:""]"
7.24,"['Increased base attack damage from 12‒16 to 16-20.', 'Increased base movement speed from 300 to 305.']"
7.23c,"['Level 15 left talent: +20 attack speed increased to +25.', 'Increased base attack speed from 100 to 110.', 'Talents:']"
7.23b,"['Level 10 left talent: +20 movement speed increased to +25.', 'Level 10 right talent: +5 all stats increased to +6.', 'Talents:']"
7.23,"['Level 15 right talent: +50 movement speed during  Blade Fury increased to +75.', 'Level 20 left talent: +100  Blade Fury damage per second increased to +130.', 'Talents:']"
7.22f,"['Reduced base  strength from 21 to 20.', 'Reduced base  agility from 36 to 34.']"
7.22e,['Reduced  Blade Fury damage per second from 90/115/140/160 to 85/110/135/160.']
7.21d,['Increased  Omnislash cooldown from 130 to 140.']
7.21c,['Reduced  Healing Ward movement speed from 400 to 350.']
7.21b,['Reduced  Omnislash attack rate divisor from 1.8 to 1.7.']
7.21,"['Level 15 right talent changed: +1s  Blade Fury duration -> +50 movement speed during  Blade Fury.', 'Increased  agility gain from 2.4 to 2.8.', 'Reduced base armor from 1 to 0.', 'Reduced  Healing Ward movement speed from 420 to 400.', ' Omnislash\nNow roots the caster during it. [?]\nIncreased cooldown from 130/120/110 to 130 on each level.', 'Now roots the caster during it. [?]', 'Increased cooldown from 130/120/110 to 130 on each level.', 'Talents:']"
7.20e,['Reduced  Omnislash attack damage bonus from 30/45/60 to 30/40/50.']
7.20d,"['Level 15 left talent: +25 attack speed reduced to +20.', 'Increased movement speed from 295 to 300.', ' Omnislash now applies a basic dispel on Juggernaut upon cast.', 'Talents:']"
7.20,"['Cast range: 350', 'Search radius: 425', 'Attack rate multiplier: 1.8', 'Bonus attack damage: 30/45/60', 'Duration: 3/3.25/3.5', 'Cooldown: 130/120/110', 'Mana cost: 200/275/350', 'Notes: Performs instant attacks on each slash. Juggernaut is not disabled during Omnislash and can perform actions normally. Does not instantly kill creeps.', "" Aghanim's Scepter upgrade: Increases duration to 4/4.25/4.5 and reduces cooldown to 70."", 'Increased base  agility from 26 to 36.', 'Reduced base attack damage from 22-26 to 12-16.', 'Reduced base health regeneration from 2 to 0.5.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reworked  Omnislash']"
7.19,['Increased  Blade Fury damage per second from 80/105/130/155 to 90/115/140/160.']
7.17,['Increased base armor from 0 to 1.']
7.15,['Increased base  strength from 20 to 21.']
7.08,['Reduced  Blade Dance critical damage from 200% to 180%.']
7.07,"['Level 10: +20 attack damage or +175 health', 'Level 15: +7 armor or +20 attack speed', 'Level 20: +8 all stats or +20 movement speed', 'Level 25: +175  Blade Fury damage per second or +20  agility', 'Reduced movement speed from 300 to 295.', 'Increased base health regeneration from 0.5 to 2.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Blade Fury\nNo longer silences Juggernaut while active.\n Omnislash is now inactive during Blade Fury. [?]', 'No longer silences Juggernaut while active.', ' Omnislash is now inactive during Blade Fury. [?]', 'Reworked talents:']"
7.06,"['Increased  strength gain from 1.9 to 2.2.', 'Reduced base health regeneration from 0.75 to 0.5.']"
7.05,['Reduced movement speed from 305 to 300.']
7.03,"['Now has a 75 experience bounty.', 'Increased gold bounty from 25 to 75.', ' Healing Ward\nNow has a 75 experience bounty.\nIncreased gold bounty from 25 to 75.']"
7.02,"['Level 10 right talent: +150 health increased to +175.', 'Level 15 left talent: +6 armor increased to +7.', ' Healing Ward now has a 25 gold bounty.', 'Talents:']"
7.00,"['Level 10: +20 attack damage or +150 health', 'Level 15: +6 armor or +20 attack speed', 'Level 20: +8 all stats or +20 movement speed', 'Level 25: +175  Blade Fury damage per second or +20  agility', 'Added talents:']"
6.88f,['Increased  Healing Ward mana cost from 120/125/130/135 to 140 on each level.']
6.88e,['Reduced base attack damage from 24-28 to 22-26 (total attack damage is now 48-52).']
6.87,"['Increased attack range from 128 to 150.', ' Healing Ward now follows Juggernaut by default.']"
6.85,['Increased  Blade Fury damage per second from 80/100/120/140 to 80/105/130/155.']
6.84,"['No longer ignores ancient creeps, Roshan and creep-heroes.', 'Now follows the same dispel rules as other sources of spell immunity (no longer dispels most positive buffs).', 'Increased cooldown from 30/25/22/18 to 42/34/26/18.', ' Blade Fury\nNo longer ignores ancient creeps, Roshan and creep-heroes.\nNow follows the same dispel rules as other sources of spell immunity (no longer dispels most positive buffs).\nIncreased cooldown from 30/25/22/18 to 42/34/26/18.', 'Reduced  Healing Ward movement speed from 450 to 420.', ' Omnislash\nNo longer ignores ancient creeps, Roshan and creep-heroes (still cannot be directly cast on them).\nNo longer mini-stuns the target upon cast.\nUsing items/abilities during Omnislash no longer requires facing direction.', 'No longer ignores ancient creeps, Roshan and creep-heroes (still cannot be directly cast on them).', 'No longer mini-stuns the target upon cast.', 'Using items/abilities during Omnislash no longer requires facing direction.']"
6.83c,"['Reduced  agility gain from 2.85 to 2.4.', 'Rescaled  Blade Fury mana cost from 110 on each level to 120/110/100/90.', 'Rescaled  Healing Ward mana cost from 80/100/120/140 to 120/125/130/135.']"
6.83b,"['Reduced base armor from 1 to 0 (total armor is now 3.64).', 'Reduced  Omnislash cast range from 450 to 350.']"
6.83,"['Increased base  agility from 20 to 26.', 'Increased  Blade Dance critical strike chance from 15%/20%/25%/35% to 20%/25%/30%/35%.']"
6.82,"['No longer gets canceled by the following abilities:  Chronosphere,  Toss,  Black Hole,  Global Silence,  Doom.', 'Reduced cooldown from 30/27/24/21 to 30/26/22/18.', ' Blade Fury\nNo longer gets canceled by the following abilities:  Chronosphere,  Toss,  Black Hole,  Global Silence,  Doom.\nReduced cooldown from 30/27/24/21 to 30/26/22/18.']"
6.81b,"['Reduced base attack time from 1.5 to 1.4.', 'Rescaled  Omnislash damage per slash from 175-250 to 200-225.']"
6.81,['Reduced base attack time from 1.6 to 1.5.']
6.80,['Reduced  Blade Fury cooldown from 30/28/26/24 to 30/27/24/21.']
6.79,"['Increased  Healing Ward movement speed from 300 to 450.', "" Omnislash\nReduced  Aghanim's Scepter upgraded cooldown from 110/100/90 to 70 on each level.\nNow jumps on units in ethereal form again (no longer ignores them, so it does not stop if only ethereal targets are within range)."", ""Reduced  Aghanim's Scepter upgraded cooldown from 110/100/90 to 70 on each level."", 'Now jumps on units in ethereal form again (no longer ignores them, so it does not stop if only ethereal targets are within range).']"
