7.26c,"['Level 10 right talent: +6  strength increased to +7.', 'Level 15 left talent changed: +65  Overwhelming Odds damage per hero -> -4s  Overwhelming Odds cooldown.', 'Talents:']"
7.26b,"['Level 10 left talent: +2 mana regen reduced to +1.5.', 'Level 10 right talent: +8  strength reduced to +6.', 'Level 15 left talent: +80  Overwhelming Odds damage per hero reduced to 65.', 'Level 15 right talent: +30 attack speed reduced to +25.', 'Level 20 left talent: +10%  Moment of Courage proc chance reduced to +8%.', 'Level 20 right talent: +35 movement speed reduced to +30.', 'Level 25 left talent: 350 AoE  Press the Attack reduced to 275 AoE.', 'Level 25 right talent: +40  Duel victory attack damge reduced to +32.', 'Talents:']"
7.25,"['Level 15 left talent: +65  Overwhelming Odds damage per hero increased to +80.', 'Talents:']"
7.23e,"['Level 10 left talent changed: +20% experience gain -> +2 mana regen.', 'Talents:']"
7.23c,"['Level 10 left talent: +25% experience gain reduced to +20%.', 'Talents:']"
7.23,"['Level 15 left talent: +50  Overwhelming Odds damage per hero increased to +65.', 'Talents:']"
7.22,['Increased base armor from -1 to 0.']
7.21,"['Level 20 right talent: +40 movement speed reduced to +35.', 'Level 25 left talent changed: -10s  Press the Attack cooldown -> 350 AoE  Press the Attack.', 'Increased  strength gain from 2.9 to 3.3.', 'Increased movement speed from 315 to 330.', 'Talents:']"
7.20,"['Level 20 right talent: +50 movement speed reduced to +40.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased  Press the Attack health regeneration bonus from 30/35/40/45 to 30/40/50/60.', 'When the caster wins the  Duel, the current level of  Press the Attack now gets applied on the winner. [?]', 'Talents:']"
7.18,['Increased  Duel victory damage bonus from 10/14/18 to 10/18/26.']
7.16,"['Level 20 right talent: +60 movement speed reduced to +50.', 'Talents:']"
7.13b,"['Reduced base armor from 0 to -1.', 'Reduced movement speed from 320 to 315.']"
7.07,"['Level 10: +20% experience gain or +7  strength', 'Level 15: +20 movement speed or +30 attack damage', 'Level 20: +10%  Moment of Courage proc chance or +7 armor', 'Level 25: -8s  Press the Attack cooldown or +40  Duel victory attack damage', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reduced  Press the Attack health regeneration from 30/40/50/60 to 30/35/40/45.', 'Reworked talents:']"
7.06e,['Reduced  Press the Attack cast range from 800 to 700.']
7.06,"['Level 20 left talent changed: -20s respawn time -> +10%  Moment of Courage proc chance.', 'Increased  strength gain from 2.6 to 2.9.', 'Reduced base health regeneration from 0.25 to 0.', 'Increased  Overwhelming Odds mana cost from 100 on each level to 100/110/120/130.', "" Aghanim's Scepter upgraded  Duel now turns the caster spell immune during the duel."", 'Talents:']"
7.03,"['Level 25 left talent changed: 25% cooldown reduction -> -8s  Press the Attack cooldown.', 'Talents:']"
7.02,"['Level 10 left talent: +15% experience gain increased to +20%.', 'Talents:']"
7.00,"['Level 10: +15% experience gain or +7  strength', 'Level 15: +20 movement speed or +30 attack damage', 'Level 20: -20s respawn time or +7 armor', 'Level 25: 25% cooldown reduction or +40  Duel victory attack damage', 'Reduced base damage from 40/80/120/160 to 40/60/80/100.', 'Increased damage per hero from 20/40/60/80 to 30/60/90/120.', ' Overwhelming Odds\nReduced base damage from 40/80/120/160 to 40/60/80/100.\nIncreased damage per hero from 20/40/60/80 to 30/60/90/120.', 'Added talents:']"
6.88b,['Increased  Press the Attack attack speed bonus from 60/80/100/120 to 65/90/115/140.']
6.88,"['Increased  Overwhelming Odds damage per hero from 20/35/50/65 to 20/40/60/80.', 'Reduced  Moment of Courage cooldown from 2.6/2/1.4/0.8 to 2.3/1.8/1.3/0.8.']"
6.87,"['Increased attack range from 128 to 150.', ' Duelling units no longer ignore disarm and ethereal state.', ""Increased  Aghanim's Scepter upgraded  Duel duration from 4.75/5.5/6.25 to 6/7/8.""]"
6.86,"['Reduced  Moment of Courage cooldown from 2.7/2.1/1.5/0.9 to 2.6/2/1.4/0.8.', "" Aghanim's Scepter upgraded  Duel\nReduced duration from until death to 4.75/5.5/6.25.\nNow makes the duelists immune to damage unless the source is between the Duel participants."", 'Reduced duration from until death to 4.75/5.5/6.25.', 'Now makes the duelists immune to damage unless the source is between the Duel participants.']"
6.85,"['Increased base attack damage from 31-35 to 35-39 (total attack damage from 57-61 to 61-65).', 'Reduced  Overwhelming Odds cooldown from 18 to 15.', 'Reduced  Press the Attack cast time from 0.3 to 0.2.', 'Fixed Legion Commander sometimes auto-attacking nearby units after  Duel ends instead of continuing to attack the dueled target.']"
6.84,"[' Overwhelming Odds no longer ignores ancient creeps, Roshan and creep-heroes.', ' Moment of Courage\nIncreased proc chance from 16%/18%/20%/22% to 25% on each level.\nIncreased lifesteal from 20%/40%/60%/80% to 55%/65%/75%/85%.\nIncreased cooldown from 0.9 on each level to 2.7/2.1/1.5/0.9.', 'Increased proc chance from 16%/18%/20%/22% to 25% on each level.', 'Increased lifesteal from 20%/40%/60%/80% to 55%/65%/75%/85%.', 'Increased cooldown from 0.9 on each level to 2.7/2.1/1.5/0.9.', ""Added  Aghanim's Scepter upgrade for Legion Commander: Causes  Duel to last until either Legion Commander or her target dies. Ends if duelists are ever more than 2000 range apart.""]"
6.82,"[""Enabled in Captain's Mode"", ' Duel no longer disables passive abilities.', 'Reduced  Overwhelming Odds base damage from 60/100/140/180 to 40/80/120/160.', 'Increased  Press the Attack mana cost from 80/90/100/110 to 110.']"
6.81,"['Increased bonus damage per hero is from 14/16/18/20 to 20/35/50/65.', 'Rescaled base damage from 50/100/150/200 to 60/100/140/180.', 'Increased radius increased from 315 to 330.', ' Overwhelming Odds\nIncreased bonus damage per hero is from 14/16/18/20 to 20/35/50/65.\nRescaled base damage from 50/100/150/200 to 60/100/140/180.\nIncreased radius increased from 315 to 330.', ' Moment of Courage now uses Pseudo Random chance.']"
6.80,"['Now only procs one extra lifesteal attack.', 'Increased buff grace period from 0.5 to 1.', 'Reduced cooldown reduced from 1.2 to 0.9.', ' Moment of Courage\nNow only procs one extra lifesteal attack.\nIncreased buff grace period from 0.5 to 1.\nReduced cooldown reduced from 1.2 to 0.9.']"
6.79c,[' Dueling units now fully ignore disarms and ethereal states and can no longer be pushed by  Force Staff away.']
6.79,"['Increased base movement speed from 310 to 320.', ' Overwhelming Odds\nReduced base damage from 60/120/180/240 to 50/100/150/200.\nIncreased bonus damage per unit from 10 to 14/16/18/20.', 'Reduced base damage from 60/120/180/240 to 50/100/150/200.', 'Increased bonus damage per unit from 10 to 14/16/18/20.', 'Increased  Duel cast range from 100 to 150.', 'Increased  Press the Attack duration from 4 to 5.']"
6.78,['Increased  Duel victory damage bonus from 10 to 10/14/18.']
6.75,"['Reduced  Overwhelming Odds bonus summoned unit/illusion damage from 50% to 25%.', 'Rescaled  Press the Attack cooldown from 15 to 16/15/14/13.']"
