7.26c,"['Level 20 right talent: +325 health increased to +350.', 'Level 25 right talent: +32  Diabolic Edict explosions reduced to +30.', 'Increased  Lightning Storm damage from 80/120/160/200 to 90/130/170/210.', 'Talents:']"
7.26b,"['Level 10 left talent: +250 mana reduced to +200.', 'Level 10 right talent: +5 armor reduced to +4.', 'Level 15 left talent: +30 movement speed reduced to +25.', 'Level 15 right talent: +15  strength reduced to +12.', 'Level 20 left talent: +50  Pulse Nova damage reduced to +40.', 'Level 20 right talent: +400 health reduced to +325.', 'Level 25 left talent: +3s  Lightning Storm slow duration reduced to +2.5s.', 'Level 25 right talent: +40  Diabolic Edict explosions reduced to +32.', 'Talents:']"
7.26a,['Increased  Pulse Nova damage from 100/140/180 to 100/150/200.']
7.25,"['Reduced attack backswing  from 0.77 to 0.6.', 'Increased  agility gain from 2.3 to 2.8.', 'Reduced  Pulse Nova activation mana cost from 70/90/110 to 70.']"
7.23,"['Level 20 right talent changed: 25% evasion -> +400 health.', 'Talents:']"
7.21d,['Reduced  Diabolic Edict damage per explosion from 11/22/33/44 to 8/20/32/44.']
7.21b,['Increased  agility gain from 1.7 to 2.3.']
7.21,"['Level 25 right talent: +50  Diabolic Edict explosions reduced to +40.', 'Increased  intelligence gain from 3 to 3.5.', 'Reduced movement speed from 330 to 325.', 'Increased  Diabolic Edict damage per explosion from 9/18/27/36 to 11/22/33/44.', 'Talents:']"
7.20,"['Increased  strength gain from 2.1 to 2.3.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.']"
7.18,['Reduced  Split Earth cast range from 750 to 650.']
7.17,['Reduced  Lightning Storm cast range from 650/700/750/800 to 650 on each level.']
7.16,"['Level 15 left talent: +40 movement speed reduced to +30.', 'Reduced base  intelligence from 24 to 22.', 'Increased base attack damage from 17-21 to 19-23.', 'Reduced  Lightning Storm cast range from 800 on each level to 650/700/750/800.', 'Talents:']"
7.15,"['Reduced base  intelligence from 26 to 24.', 'Increased base attack damage from 15-19 to 17-21.']"
7.14,['Increased  Lightning Storm mana cost from 75/90/105/120 to 80/100/120/140.']
7.13b,['Increased base  strength and gain from 16 + 1.8 to 18 + 2.1.']
7.12,"['Increased movement speed from 325 to 330.', ' Lightning Storm\nIncreased damage from 50/100/150/200 to 80/120/160/200.\nReduced slow duration from 0.7/0.8/0.9/1 to 0.4/0.6/0.8/1.\nReduced cast time from 0.45 to 0.4.', 'Increased damage from 50/100/150/200 to 80/120/160/200.', 'Reduced slow duration from 0.7/0.8/0.9/1 to 0.4/0.6/0.8/1.', 'Reduced cast time from 0.45 to 0.4.']"
7.10,['Reduced  Lightning Storm mana cost from 90/100/110/120 to 75/90/105/120.']
7.08,['Reduced  Split Earth mana cost from 100/125/140/160 to 80/100/120/140.']
7.07,"['Level 10: +25 movement speed or +175 health', 'Level 15: +15% magic resistance or +400 mana', 'Level 20: +15  strength or +5% spell damage amplification', 'Level 25: +3s  Lightning Storm slow duration or +50  Diabolic Edict explosions', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06e,"['Level 15 left talent: +10% magic resistance increased to +15%.', 'Increased  Pulse Nova damage from 100/130/160 to 100/140/180.', 'Talents:']"
7.06d,"['Level 10 left talent: +15 movement speed increased to +25.', 'Level 10 right talent: +125 health increased to +175.', 'Talents:']"
7.06,"['Increased  strength gain from 1.5 to 1.8.', 'Reduced base health regeneration from 0.25 to 0.', "" Aghanim's Scepter\nNo longer increases  Pulse Nova damage from 100/130/160 to 160/190/220.\nNow causes  Pulse Nova to hit one random unit with a  Lightning Storm strike every 1.75 seconds within 750 radius while active."", 'No longer increases  Pulse Nova damage from 100/130/160 to 160/190/220.', 'Now causes  Pulse Nova to hit one random unit with a  Lightning Storm strike every 1.75 seconds within 750 radius while active.']"
7.03,"['Level 25 left talent: +2s  Lightning Storm slow duration increased to +3s.', 'Talents:']"
7.02,"['Level 15 left talent: +8% magic resistance increased to +10%.', 'Level 20 left talent: +12  strength increased to +15.', 'Talents:']"
7.00,"['Level 10: +15 movement speed or +125 health', 'Level 15: +8% magic resistance or +400 mana', 'Level 20: +12  strength or +5% spell damage amplification', 'Level 25: +2s  Lightning Storm slow duration or +50  Diabolic Edict explosions', 'Increased number of jumps from 4/5/6/7 to 4/6/8/10.', 'Reduced cast time from 0.6 to 0.45.', ' Lightning Storm\nIncreased number of jumps from 4/5/6/7 to 4/6/8/10.\nReduced cast time from 0.6 to 0.45.', 'Added talents:']"
6.88c,['Increased movement speed from 320 to 325.']
