7.26b,"['Level 10 left talent: +20 movement speed reduced to +15.', 'Level 10 right talent: +200 health reduced to +150.', 'Level 15 left talent: -4s  Frost Blast cooldown reduced to -3s.', 'Level 15 right talent: +120 attack damage reduced to +100.', 'Level 20 left talent: +3s  Frost Shield duration reduced to +2.5s.', 'Level 20 right talent: +200 cast range reduced to +150.', 'Level 25 right talent: 60  Frost Shield health regen reduced to 50.', 'Talents:']"
7.24,"['Reduced base attack damage from 26-35 to 24-33.', 'Increased  Frost Blast mana cost from 105/130/155/180 to 115/140/165/190.', 'Reduced  Sinister Gaze duration from 1.6/1.9/2.2/2.5 to 1.4/1.7/2.0/2.3.']"
7.23,"['Level 25 left talent changed: Gain  Freezing Slow [?] -> Unlimited  Chain Frost bounces.', "" Sinister Gaze now drains 10%/15%/20%/25% of the target's current mana over its duration. [?]"", "" Chain Frost's damage now increases by 15/20/25 per bounce."", ""Reworked  Aghanim's Scepter upgrade\nOld: Increases  Chain Frost damage from 250/400/550 to 400/500/600 and cast range from 750 to 850, and removes the limit on the number of times Chain Frost can jump.\nNew: Turns  Sinister Gaze into a 400 radius ground-targeted ability, affecting every unit within the radius upon cast."", 'Old: Increases  Chain Frost damage from 250/400/550 to 400/500/600 and cast range from 750 to 850, and removes the limit on the number of times Chain Frost can jump.', 'New: Turns  Sinister Gaze into a 400 radius ground-targeted ability, affecting every unit within the radius upon cast.', 'Talents:']"
7.22e,"['Increased base  intelligence from 22 to 24.', 'Reduced  Sinister Gaze cooldown from 30/27/24/21 to 24/22/20/18.']"
7.22d,"['Level 20 left talent: +2s  Frost Shield duration increased to +3s.', 'Level 20 right talent: +150 cast range increased to +200.', 'Reduced  Sinister Gaze cooldown from 30/28/26/24 to 30/27/24/21.', 'Talents:']"
7.22c,"['Level 25 left talent: Increased  Freezing Slow movement/attack speed slow from 50%/50 to 60%/60.', 'Increased base  intelligence from 20 to 22.', 'Reduced  Sinister Gaze cooldown from 30 on each level to 30/28/26/24.', 'Increased  Chain Frost damage from 250/375/500 to 250/400/550.', 'Talents:']"
7.22,['Increased base mana regeneration from 0 to 0.75.']
7.21b,"['Reduced movement speed from 305 to 295.', 'Reduced  Sinister Gaze duration from 1.6/1.9/2.2/2.5 to 1.3/1.7/2.1/2.5.']"
7.21,"['Level 25 left talent: Increased  Freezing Slow movement/attack speed slow from 40%/40 to 50%/50.', 'Increased  intelligence gain from 3.6 to 4.1.', 'Reduced movement speed from 310 to 305.', 'Reduced  Frost Shield movement speed slow from 35% on each level to 20%/25%/30%/35%.', 'Reduced  Chain Frost damage from 300/400/500 to 250/375/500.', 'Talents:']"
7.20d,['Reduced movement speed from 315 to 310.']
7.20,"['Increased  strength gain from 1.85 to 2.1.', 'Increased base  intelligence and gain from 16 + 3.25 to 20 + 3.6.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reduced  Frost Blast mana cost from 125/150/170/190 to 105/130/155/180.', 'Replaced  Ice Armor with  Frost Shield']"
7.18,"['Increased  Ice Armor armor bonus from 3/5/7/9 to 4/6/8/10.', ' Sacrifice no longer has a 25 mana cost.', 'Reduced  Chain Frost cast time from 0.4 to 0.3.']"
7.17,"['Level 10 right talent: +175 health increased to +200.', 'Increased attack speed slow from 20 to 30.', 'Reduced cooldown from 8 to 7.', ' Frost Blast\nIncreased attack speed slow from 20 to 30.\nReduced cooldown from 8 to 7.', 'Talents:']"
7.16,['Increased  Chain Frost damage from 280/370/460 ( 370/460/550) to 300/400/500 ( 400/500/600).']
7.15,"['Reduced base  intelligence from 18 to 16.', 'Increased base attack damage from 24-33 to 26-35.']"
7.14,"['Level 20 left talent: +120 gold per minute increased to +180.', 'Talents:']"
7.13b,['Increased base  strength from 18 to 20.']
7.12,['Increased  Sacrifice current health as mana from 30%/50%/70%/90% to 55%/70%/85%/100%.']
7.10,"['Level 25 left talent: Increased  Freezing Slow movement/attack speed slow from 30%/30 to 40%/40.', 'Talents:']"
7.07,"['Level 10: +25 movement speed or +175 health', 'Level 15: -4s  Frost Blast cooldown or +125 cast range', 'Level 20: +120 gold per minute or +150 attack damage', 'Level 25: Gain  Freezing Slow [?] or +35  Ice Armor building armor', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Chain Frost is now reflected and blocked on initial projectile impact, rather than on cast.', ' Ice Armor\nReduced movement speed slow from 24%/26%/28%/30% on each level to 8%/16%/24%/32%.\nReduced attack speed slow from 24/26/28/30 on each level to 8/16/24/32.', 'Reduced movement speed slow from 24%/26%/28%/30% on each level to 8%/16%/24%/32%.', 'Reduced attack speed slow from 24/26/28/30 on each level to 8/16/24/32.', 'Reworked talents:']"
7.06f,"['Reduced movement speed slow from 30% on each level to 24%/26%/28%/30%.', 'Reduced attack speed slow from 30 on each level to 24/26/28/30.', ' Ice Armor\nReduced movement speed slow from 30% on each level to 24%/26%/28%/30%.\nReduced attack speed slow from 30 on each level to 24/26/28/30.', ' Chain Frost no longer stuns the target for 0.1 seconds upon cast.']"
7.06d,['Increased  Chain Frost bounce distance from 575 to 600.']
7.06c,['Reduced  Sacrifice cooldown from 60/48/36/24 to 60/46/32/18.']
7.06,"['Increased  strength gain from 1.55 to 1.85.', 'Reduced base health regeneration from 0.25 to 0.', ' Chain Frost\nIncreased movement speed slow from 50% to 65%.\nIncreased attack speed slow from 50 to 65.', 'Increased movement speed slow from 50% to 65%.', 'Increased attack speed slow from 50 to 65.']"
7.05,"['Reduced  Sacrifice cooldown from 60/50/40/30 to 60/48/36/24.', ' Chain Frost\nIncreased movement speed slow from 30% ( 50%) to 50%.\nIncreased attack speed slow from 30 ( 50) to 50.\nReduced slow duration from 4 to 2.5.', 'Increased movement speed slow from 30% ( 50%) to 50%.', 'Increased attack speed slow from 30 ( 50) to 50.', 'Reduced slow duration from 4 to 2.5.']"
7.04,['Reduced  Chain Frost cooldown from 120/90/60 to 100/80/60.']
7.03,"['Level 10 left talent: +15 movement speed increased to +25.', 'Level 10 right talent: +125 health increased to +175.', 'Level 15 left talent: -3s  Frost Blast cooldown increased to -4s.', 'Talents:']"
7.02,"['Level 15 right talent: +100 cast range increased to +125.', 'Level 15 left talent changed: +5 all stats -> -3s  Frost Blast cooldown.', 'Level 25 right talent: +25  Ice Armor building armor increased to +35.', 'Talents:']"
7.00,"['Level 10: +15 movement speed or +125 health', 'Level 15: +5 all stats or +100 cast range', 'Level 20: +120 gold per minute or +150 attack damage', 'Level 25: Gain  Freezing Slow [?] or +25  Ice Armor building armor', ' Ice Armor can now target invulnerable buildings.', 'Reduced  Chain Frost vision radius from 1000 to 800.', 'Added talents:']"
6.88,"['Increased  Ice Armor attack speed slow from 20 to 30.', "" Aghanim's Scepter now also increases  Chain Frost movement speed slow from 30% to 50% and attack speed slow from 30 to 50.""]"
6.87b,"['Increased current health as mana from 25%/40%/55%/70% to 30%/50%/70%/90%.', 'Increased cooldown from 44/36/28/20 to 60/50/40/30.', ' Sacrifice\nIncreased current health as mana from 25%/40%/55%/70% to 30%/50%/70%/90%.\nIncreased cooldown from 44/36/28/20 to 60/50/40/30.']"
6.87,"[' Frost Blast and  Chain Frost no longer share a slow debuff. [?]', ' Chain Frost no longer bounces to Undying Zombies.']"
6.85,"[' Sacrifice no longer splits experience with enemies.', ' Chain Frost\nIncreased projectile speed from 750 to 850.\nIncreased attack speed slow from 20 to 30.', 'Increased projectile speed from 750 to 850.', 'Increased attack speed slow from 20 to 30.']"
6.84,"['Increased  Ice Armor cast range from 800 to 1000.', 'Increased  Chain Frost projectile speed from 675 to 750.']"
6.83,['Reduced  Chain Frost cooldown from 145/115/60 to 120/90/60.']
6.82,"['Now has full effect against ranged units, instead of half.', 'Can now be cast on spell immune allies.', ' Ice Armor\nNow has full effect against ranged units, instead of half.\nCan now be cast on spell immune allies.']"
6.81,"[' Ice Armor can now be cast on buildings.', "" Aghanim's Scepter now removes  Chain Frost's bounce limit.""]"
6.79,"['Now has half effect against ranged units, instead of no effect.', 'Slow now stacks with the slow from  Frost Blast.', ' Ice Armor\nNow has half effect against ranged units, instead of no effect.\nSlow now stacks with the slow from  Frost Blast.', ' Sacrifice:\nIncreased cooldown from 35/30/25/20 to 44/36/28/20.\nIncreased current health as mana from 15%/30%/45%/60% to 25%/40%/55%/70%.\nNo longer denies experience for the enemy.\nNow converts the creep for experience (shared with all heroes within the normal experience radius).', 'Increased cooldown from 35/30/25/20 to 44/36/28/20.', 'Increased current health as mana from 15%/30%/45%/60% to 25%/40%/55%/70%.', 'No longer denies experience for the enemy.', 'Now converts the creep for experience (shared with all heroes within the normal experience radius).']"
6.78,['Increased  Chain Frost number of bounces from 7 to 10.']
6.75,['Reduced  Frost Blast cooldown from 9.25/9.25/9.25/8 to 8 on each level.']
6.73,"[' Chain Frost now bounces in 0.2 second intervals, instead of instantly.']"
6.72d,"[""Now follows its target and jumps upon reaching it, instead of flying to its target's position upon projectile launch."", 'Increased projectile speed from 522 to 675.', "" Chain Frost\nNow follows its target and jumps upon reaching it, instead of flying to its target's position upon projectile launch.\nIncreased projectile speed from 522 to 675.""]"
6.72,['Increased  Sacrifice cooldown from 30/27/24/21 to 35/30/25/20.']
6.70,"['Increased  Frost Blast primary target damage from 50/100/125/175 to 50/100/150/200.', ' Ice Armor\nReduced armor bonus from 3/6/9/12 to 3/5/7/9.\nIncreased mana cost from 25 to 50.', 'Reduced armor bonus from 3/6/9/12 to 3/5/7/9.', 'Increased mana cost from 25 to 50.', 'Reduced  Sacrifice cooldown from 55/50/45/40 to 30/27/24/21.']"
6.68,"['Increased movement speed from 305 to 315.', 'Rescaled base attack damage from 19-38 to 24-33 (total attack damage is now 42-51).']"
6.67,"['Reduced  Frost Blast cooldown from 9.25 on each level to 9.25/9.25/9.25/8.', 'Fixed a damage interaction between  Ice Armor and  Return.']"
6.63,['Increased movement speed from 295 to 305.']
6.60,"["" Aghanim's Scepter no longer increases  Chain Frost number of bounces from 7 to 8.""]"
6.50,['Increased  Chain Frost number of bounces from 6 ( 7) to 7 ( 8).']
6.49,"['Increased attack range from 500 to 550.', 'Increased base attack damage from 19-31 to 19-38 (total attack damage is now 37-56).']"
6.45,"['Increased armor bonus from 2/4/6/8 to 3/6/9/12.', 'Increased duration from 25 to 40.', 'Reduced mana cost from 50 to 25.', ' Ice Armor\nIncreased armor bonus from 2/4/6/8 to 3/6/9/12.\nIncreased duration from 25 to 40.\nReduced mana cost from 50 to 25.', "" Aghanim's Scepter now also increases  Chain Frost number of bounces from 6 to 7.""]"
6.39,['Reduced  Sacrifice cooldown from 60/55/50/45 to 55/50/45/40.']
6.36,['Increased  Sacrifice cooldown from 45 on each level to 60/55/50/45.']
6.34,"['Reduced  Chain Frost cast range from 800 to 750.', "" Aghanim's Scepter now also increases  Chain Frost cast range from 750 to 850.""]"
6.33,['Reduced attack range from 600 to 500.']
6.32,['Fixed  Chain Frost bouncing off of  Death Wards.']
6.31,['Fixed  Ice Armor slowing  Leshrac/ Beastmaster when damaging the armored unit with  Diabolic Edict/ Wild Axes.']
6.20,"['Increased movement speed from 280 to 295.', ' Sacrifice can no longer kill couriers.', 'Reduced  Chain Frost number of bounces from 7 to 6.']"
6.19,"['Reduced base  intelligence from 20 to 18.', 'Fixed a rare  Chain Frost bug which created a global ranged Nova casting dummy.']"
6.18,['Reduced  strength from 1.75 to 1.55']
6.13,['Fixed some issues with  Sacrifice.']
6.09b,['Fixed a rare  Chain Frost bug.']
6.06,['Increased  Sacrifice cooldown from 35 to 45.']
6.05,['Increased attack range from 570 to 580.']
6.04,"['Reduced attack range from 600 to 570.', 'Increased  Frost Blast mana cost from 100/125/155/180 to 125/150/170/190.']"
6.00,"['Reduced Acquisition range from 650 to 600.', 'Reduced Attack Projectile speed from 1025 to 900.', 'Improved Attack Animation from 0.400/0.770 to 0.460/0.560.', 'Improved Cast Animation from 0.500/1.170 to 0.400/1.100.', 'Reduced base Mana from 200 to 100.', 'Removed Icy Hands.']"
5.78,"['Increased bounce distance from 450 to 600.', 'Increased damage from 190/270/370 to 280/370/460.', ' Chain Frost\nIncreased bounce distance from 450 to 600.\nIncreased damage from 190/270/370 to 280/370/460.', ""Increased  Aghanim's Scepter Upgraded  Chain Frost damage from 280/370/460 to 370/460/550."", ' Sacrifice\nReduced current health converted from 25/50/75/100% to 15/30/45/60%.\nIncreased cooldown from 30 to 35.', 'Reduced current health converted from 25/50/75/100% to 15/30/45/60%.', 'Increased cooldown from 30 to 35.']"
