7.26b,"['Level 10 left talent: +30 attack speed reduced to +25.', 'Level 10 right talent: +200 health reduced to +150.', 'Level 15 left talent: +25 movement speed reduced to +20.', 'Level 15 right talent: +30 attack damage reduced to +25.', 'Level 20 left talent: +50%  Open Wounds lifesteal reduced to +40%.', 'Level 20 right talent: 20% evasion reduced to 16%.', 'Level 25 left talent: +2s  Rage duration reduced to +1.5s.', 'Level 25 right talent: +1.5%  Feast max health as lifesteal reduced to +1.2%.', 'Talents:']"
7.24b,"['Reduced base attack speed from 140 to 130.', 'Reduced base attack damage from 20-30 to 17-27.']"
7.23b,"['Cooldown now begins upon leaving the infested unit, instead of upon cast.', 'Reduced infested hero movement speed bonus from 30%/40%/50% to 15%/20%/25%. [?]', 'Reduced max health bonus from 750/1000/1250 to 400/800/1200.', ""Increased  Aghanim's Scepter cooldown from 20 to 25."", "" Infest\nCooldown now begins upon leaving the infested unit, instead of upon cast.\nReduced infested hero movement speed bonus from 30%/40%/50% to 15%/20%/25%. [?]\nReduced max health bonus from 750/1000/1250 to 400/800/1200.\nIncreased  Aghanim's Scepter cooldown from 20 to 25.""]"
7.23,"['Reduced  strength gain from 2.9 to 2.4.', 'Reduced base attack time from 1.85 to 1.7.', 'Increased base attack speed from 100 to 140.', 'Reduced base attack damage from 27-37 to 20-30.', 'Increased base armor from 0 to 1.', ' Rage\nNo longer grants 40/50/60/70 attack speed.\nNow grants 15% movement speed.', 'No longer grants 40/50/60/70 attack speed.', 'Now grants 15% movement speed.', "" Feast\nNow grants 15/30/45/60 attack speed.\nNo longer deals damage based on the target's max health.\nReduced max health as lifesteal from 1.5%/2.25%/3%/3.75% to 1.5%/2%/2.5%/3%."", 'Now grants 15/30/45/60 attack speed.', ""No longer deals damage based on the target's max health."", 'Reduced max health as lifesteal from 1.5%/2.25%/3%/3.75% to 1.5%/2%/2.5%/3%.', 'Reduced  Open Wounds lifesteal from 50% to 35%.', 'Reworked  Infest']"
7.21d,['Increased  Rage cooldown from 16 to 18.']
7.21c,['Reduced  strength gain from 3.2 to 2.9.']
7.21b,"['Reduced  strength gain from 3.6 to 3.2.', 'Reduced  Feast lifesteal from 1.75%/2.5%/3.25%/4% to 1.5%/2.25%/3%/3.75%.']"
7.21,"['Level 15 left talent: +30 movement speed reduced to +25.', 'Increased  strength gain from 3.1 to 3.6.', 'Increased movement speed from 310 to 325.', 'Increased base armor from -2 to 0.', 'Talents:']"
7.20e,['Increased  agility gain from 1.9 to 2.4.']
7.20,"['Level 25 right talent changed: +2%  Feast current health as damage/lifesteal -> +1%  Feast max health as damage/lifesteal.', 'Increased  intelligence gain from 1.75 to 1.8.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Changed  Feast lifesteal from 4.5%/5.5%/6.5%/7.5% of current health to 1.75%/2.5%/3.25%/4% of max health.', 'Talents:']"
