7.26c,"['Level 25 left talent: +800  True Form health increased to +1000.', 'Level 25 right talent: -0.16s  Spirit Bear base attack time reduced to -0.15s.', 'Talents:']"
7.26b,"['Level 10 left talent: +30  Spirit Bear movement speed reduced to +25.', 'Level 10 right talent: +250 health reduced to +200.', 'Level 15 left talent: +10  Spirit Bear armor reduced to +8.', 'Level 15 right talent: -12s  Savage Roar cooldown reduced to -10s.', 'Level 20 right talent: -40s  True Form cooldown reduced to -32s.', 'Level 25 left talent: +1000  True Form health reduced to +800.', 'Level 25 right talent: -0.2s  Spirit Bear base attack time reduced to -0.16s.', 'Talents:']"
7.26a,"['Level 25 right talent: -0.25s  Spirit Bear base attack time reduced to -0.2s.', 'Talents:']"
7.25,"['Level 10 left talent changed: +125 attack range -> +30  Spirit Bear movement speed.', 'Talents:']"
7.23f,['Reduced  Spirit Bear base attack damage from 25 to 20.']
7.23c,['Reduced  Spirit Bear base attack damage from 30 to 25.']
7.23b,['Increased  Spirit Bear base attack time from 1.7/1.6/1.5/1.4 to 1.75/1.65/1.55/1.45.']
7.23a,"['Level 25 right talent: -0.5s  Spirit Bear base attack time reduced to -0.25s.', 'Increased  Spirit Bear base attack time from 1.65/1.55/1.45/1.35 to 1.7/1.6/1.5/1.4.', 'Talents:']"
7.23,"['Reduced level from 7 to 1.', 'The Spirit Bear now levels up together with Lone Druid.', 'Now gains 5 attack damage per level.', 'Now gains 75 health per level.', 'Reduced base attack damage from 30-40/50-60/70-80/90-100 to 30 on each level.', 'Reduced base health from 1500/2000/2500/3000 to 1100/1400/1700/2000.', 'Increased attack range from 128 to 150.', 'Changed armor type from Basic to Hero.', 'Changed attack damage type from Basic to Hero.', ' Spirit Bear\nReduced level from 7 to 1.\nThe Spirit Bear now levels up together with Lone Druid.\nNow gains 5 attack damage per level.\nNow gains 75 health per level.\nReduced base attack damage from 30-40/50-60/70-80/90-100 to 30 on each level.\nReduced base health from 1500/2000/2500/3000 to 1100/1400/1700/2000.\nIncreased attack range from 128 to 150.\nChanged armor type from Basic to Hero.\nChanged attack damage type from Basic to Hero.', 'Reworked  Return']"
7.22,"['Increased  strength gain from 2.4 to 2.7.', 'Increased  True Form health bonus from 300/600/900 to 300/700/1100.']"
7.21,"['Level 20 left talent changed: -0.3s  Spirit Bear base attack time -> 0s  Entangling Claws cooldown.', 'Level 25 right talent changed: 0s  Entangling Claws cooldown -> -0.5s  Spirit Bear base attack time.', 'Increased  agility gain from 2.4 to 2.8.', 'Reduced movement speed from 330 to 325.', ' Spirit Bear\nIncreased movement speed from 340/355/370/385 to 340/360/380/400.\nIncreased attack damage from 35/50/65/80 to 30-40/50-60/70-80/90-100.', 'Increased movement speed from 340/355/370/385 to 340/360/380/400.', 'Increased attack damage from 35/50/65/80 to 30-40/50-60/70-80/90-100.', 'Talents:']"
7.20e,"['Level 10 left talent: +150 attack range reduced to +125.', 'Level 20 left talent: -0.2s  Spirit Bear base attack time increased to -0.3s.', 'Reduced movement speed from 340 to 330.', 'Increased  Spirit Bear movement speed from 340/350/360/370 to 340/355/370/385.', 'Talents:']"
7.20c,"['Level 10 left talent: +175 attack range reduced to +150.', 'Level 20 left talent changed: +40  Spirit Link attack speed -> -0.2s  Spirit Bear base attack time.', 'Reduced base  agility and gain from 24 + 2.7 to 20 +2.4.', 'Reduced armor from 0 to -2.', 'Rescaled  Spirit Link cooldown from 44/36/28/20 to 43/36/29/22.', 'Talents:']"
7.20b,"['Reduced attack speed from 30/50/70/90 to 20/40/60/80.', 'Increased cooldown from 42/34/26/18 to 44/36/28/20.', ' Spirit Link\nReduced attack speed from 30/50/70/90 to 20/40/60/80.\nIncreased cooldown from 42/34/26/18 to 44/36/28/20.']"
7.20,"['Increased movement speed from 320 to 340.', 'Reduced base health regeneration from 1.75 to 0.25.', 'Reduced base mana regeneration from 0.9 to 0.', ' Spirit Bear\nIncreased movement speed from 320/330/340/350 to 340/350/360/370.\nReduced attack backswing from 0.67 to 0.4.\nIncreased attack damage from 35/45/55/65 to 35/50/65/80.', 'Increased movement speed from 320/330/340/350 to 340/350/360/370.', 'Reduced attack backswing from 0.67 to 0.4.', 'Increased attack damage from 35/45/55/65 to 35/50/65/80.', ' Entangling Claws\nNo longer interrupts the target.\nNo longer pierces spell immunity.', 'No longer interrupts the target.', 'No longer pierces spell immunity.', 'Added  Defender to Spirit Bear, available on level 1.']"
7.15,['Increased base  strength from 17 to 18.']
7.10,"['Level 15 right talent: -8s  Savage Roar cooldown increased to -12s.', 'Increased  Spirit Bear health regeneration from 4/5/6/7 to 5/6/7/8.', 'Talents:']"
7.07c,['Increased  Spirit Bear health from 1400/1800/2300/2700 to 1500/2000/2500/3000.']
7.07b,['Increased  Spirit Bear health regeneration from 2/3/4/5 to 4/5/6/7.']
7.07,"['Level 10: +175 attack range or +250 health', 'Level 15: +50  Spirit Bear attack damage or +50 attack damage', 'Level 20: +50%  Spirit Bear magic resistance or +12  Spirit Bear armor', 'Level 25: -10s  Savage Roar cooldown or +1.5s  Entangling Claws duration', 'Reduced movement speed from 325 to 320.', 'Increased turn rate from 0.4 to 0.5.', 'Increased base health regeneration from 0.25 to 1.75.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Battle Cry\nCooldown reduced from 60 to 45\nDuration reduced from 6 to 5', 'Cooldown reduced from 60 to 45', 'Duration reduced from 6 to 5', 'Reworked talents:']"
7.06c,"[""Reduced the  Spirit Bear's base attack time from 1.75/1.65/1.55/1.45 to 1.65/1.55/1.45/1.35.""]"
7.06,"['Level 20 left talent changed: -40s respawn time -> +50%  Spirit Bear magic resistance.', 'Increased  strength gain from 2.1 to 2.4.', 'Reduced base health regeneration from 0.5 to 0.25.', ' Rabid\nIncreased attack speed bonus from 10/20/30/40 to 20/30/40/50.\nRescaled duration from 18/22/26/30 to 25.\nReduced cooldown from 45 to 35.', 'Increased attack speed bonus from 10/20/30/40 to 20/30/40/50.', 'Rescaled duration from 18/22/26/30 to 25.', 'Reduced cooldown from 45 to 35.', 'Talents:']"
7.04,"['Level 15 left talent: +30  Spirit Bear attack damage increased to +50.', 'Talents:']"
7.03,"['Level 15 right talent: +55 attack damage reduced to +50.', 'Reduced base attack damage from 22-26 to 18-22 (total attack damage is now 42-46).', 'Increased  Rabid cooldown from 30 to 45.', 'Talents:']"
7.02,"['Level 10 left talent: +200 attack range reduced to +175.', 'Level 15 right talent: +65 attack damage reduced to +55.', 'Level 20 right talent: +7  Spirit Bear armor increased to +12.', 'Level 20 left talent: -50s respawn time reduced to -40s.', 'Talents:']"
7.00,"['Level 10: +200 attack range or +250 health', 'Level 15: +30  Spirit Bear attack damage or +65 attack damage', 'Level 20: -50s respawn time or +7  Spirit Bear armor', 'Level 25: -10s  Savage Roar cooldown or +1.5  Entangling Claws duration', ' True Form no longer disjoints projectiles.', ' Druid Form\nNo longer disjoints projectiles.\nReduced transformation time 1.9 to 0.8. [?]', 'No longer disjoints projectiles.', 'Reduced transformation time 1.9 to 0.8. [?]', ' Spirit Bear now has 0.5 Mana regen.', 'Added talents:']"
6.87,"['Reduced  True Form attack range loss from 422 to 400. [?]', 'Reduced  Battle Cry attack damage bonus from 90/120/150 to 70/100/130.', ' Entangling Claws now uses pseudo-random distribution.']"
6.86e,['Increased  Savage Roar cooldown from 28/24/20/16 to 38/32/26/20.']
6.86c,"[""Fixed Lone Druid's health not increasing when upgrading  True Form.""]"
6.86b,"[""Enabled in Captain's Mode.""]"
6.86,"[""Removed from Captain's Mode"", 'Replaced  Synergy with  Savage Roar']"
6.85,"['Reduced  Summon Spirit Bear cooldown from 180/160/140/120 to 120 on each level.', ' Battle Cry\nIncreased attack damage bonus from 60/90/120 to 90/120/150.\nIncreased armor bonus from 6/12/18 to 10/15/20.', 'Increased attack damage bonus from 60/90/120 to 90/120/150.', 'Increased armor bonus from 6/12/18 to 10/15/20.']"
6.84,"[' True Form is no longer deactivated upon death.', ' Battle Cry\nIncreased armor bonus from 5/10/15 to 6/12/18.\nIncreased attack damage bonus from 50/75/100 to 60/90/120.', 'Increased armor bonus from 5/10/15 to 6/12/18.', 'Increased attack damage bonus from 50/75/100 to 60/90/120.', ' Entangling Claws damage is no longer reduced by Damage Block.', ""Added  Aghanim's Scepter upgrade for Lone Druid: Allows Spirit Bear to attack at any range from Lone Druid and prevents Spirit Bear from dying if Lone Druid dies.""]"
6.83,"['Reduced  Return cast point from 0.3 to 0.', ' Battle Cry\nIncreased cooldown from 30 to 60.\nReduced duration from 8 to 6.\nIncreased attack damage bonus from 20/40/60 to 50/75/100.\nIncreased armor bonus from 2/4/6 to 5/10/15.', 'Increased cooldown from 30 to 60.', 'Reduced duration from 8 to 6.', 'Increased attack damage bonus from 20/40/60 to 50/75/100.', 'Increased armor bonus from 2/4/6 to 5/10/15.']"
6.82,"['Now has 300 mana.', ' Hand of Midas now grants the experience to Lone Druid when used by the bear.', ' Spirit Bear\nNow has 300 mana.\n Hand of Midas now grants the experience to Lone Druid when used by the bear.']"
6.81,"[""Increased the  Spirit Bear's health regeneration from 2 on each level to 2/3/4/5.""]"
6.80,[' Entangling Claws is no longer a Unique Attack Modifier.']
6.79,"['Increased base movement speed from 315 to 325.', 'Increased  Spirit Bear experience bounty from 196 to 300.', 'Increased  True Form movement speed reduction from 35 to 45 (to keep his movement speed at 280 during True Form).']"
6.78,"[""Is now affected by  Armlet of Mordiggian's health drain when active."", 'Increased gold bounty from 100 to 300.', "" Spirit Bear\nIs now affected by  Armlet of Mordiggian's health drain when active.\nIncreased gold bounty from 100 to 300.""]"
6.75,[' Summon Spirit Bear can no longer be cast if the  Spirit Bear has taken damage from a player unit in the last 3 seconds.']
6.72d,"[' Return can no longer be cast if the  Spirit Bear has taken damage from a player unit in the last 3 seconds.', 'Increased collision size in  True Form from 12 to 24.']"
6.72c,['Reduced collision size in  True Form from 24 to 12.']
6.72,['Reduced  Demolish attack damage bonus against buildings from 60% to 40%.']
6.69,"['Can now be cast while the  Spirit Bear is still alive, restoring its health and returning it to Lone Druid, instead of canceling the cast and giving an error message.', 'Increased leash range from 925 to 1100.', 'Fixed the  Spirit Bear sometimes missing its attacks when its target was moving away.', ' Summon Spirit Bear\nCan now be cast while the  Spirit Bear is still alive, restoring its health and returning it to Lone Druid, instead of canceling the cast and giving an error message.\nIncreased leash range from 925 to 1100.\nFixed the  Spirit Bear sometimes missing its attacks when its target was moving away.', 'Reduced  True Form movement speed reduction from 45 to 35.']"
6.64,"['Increased base movement speed from 305 to 315.', ' Spirit Bear\nReduced leash range from 1500 to 925.\nAttempting to attack an enemy outside the leash range now causes the bear to stop attacking, instead of returning it back to Lone Druid.', 'Reduced leash range from 1500 to 925.', 'Attempting to attack an enemy outside the leash range now causes the bear to stop attacking, instead of returning it back to Lone Druid.', ' True Form\nNow reduces movement speed by 45 on each level.\nIncreased transformation time from 1.45 to 1.933.\nIncreased armor bonus from 2/4/6 to 4/6/8.', 'Now reduces movement speed by 45 on each level.', 'Increased transformation time from 1.45 to 1.933.', 'Increased armor bonus from 2/4/6 to 4/6/8.']"
