7.26b,"['Level 10 left talent: +350  Waveform cast range/distance reduced to +275.', 'Level 10 right talent: +12  agility reduced to +10.', 'Level 15 left talent: +40 attack speed reduced to +30.', 'Level 15 right talent: +20s  Morph duration reduced to +16s.', 'Level 20 right talent: 15% cooldown reduction reduced to 12%.', 'Talents:']"
7.23b,['Increased base armor from -3 to -2.']
7.23a,"['Level 10 right talent: +10  agility increased to +12.', 'Increased base  intelligence and gain from 13 + 1.1 to 15 + 1.5.', 'Increased base  strength from 20 to 22.', 'Increased  Attribute Shift passive strength/agility bonus from 1/3/5/7 to 3/5/7/9.', 'Talents:']"
7.23,"['Level 15 left talent: +30 attack speed increased to +40.', 'No longer has two different health and mana amounts. The percentage of health and mana is maintained between both forms.', ""Now grants 50% mana loss reduction while active, no longer granted by  Aghanim's Scepter."", "" Morph\nNo longer has two different health and mana amounts. The percentage of health and mana is maintained between both forms.\nNow grants 50% mana loss reduction while active, no longer granted by  Aghanim's Scepter."", 'Talents:']"
7.22f,"['Reduced  Waveform cast range from 1000 on each level to 700/800/900/1000.', 'Reduced  Morph cast range from 1000 on each level to 700/850/1000.']"
7.22e,"['Level 20 right talent changed:  Morph can targets allies -> 15% cooldown reduction.', 'Reduced base armor from -2 to -3.', "" Morph\n Aghanim's Scepter no longer reduces cooldowns by 35%.\n Aghanim's Scepter now allows ally targeting."", "" Aghanim's Scepter no longer reduces cooldowns by 35%."", "" Aghanim's Scepter now allows ally targeting."", 'Talents:']"
7.22d,['Reduced  Attribute Shift passive strength/agility bonus from 4/5/6/7 to 1/3/5/7.']
7.22c,"['Increased mana cost from 140/155/160/165 to 150/155/160/165.', 'Increased cooldown from 17/15/13/11 to 20/17/14/11.', ' Waveform\nIncreased mana cost from 140/155/160/165 to 150/155/160/165.\nIncreased cooldown from 17/15/13/11 to 20/17/14/11.']"
7.22,"['Reduced  Adaptive Strike (Agility) base damage from 100 on each level to 70/80/90/100.', ' Morph no longer applies a basic dispel upon cast.', ""Added  Aghanim's Scepter upgrade: Adds 35% cooldown reduction, 50% mana cost/loss reduction, and 600 cast range to  Morph.""]"
7.21c,['Increased  strength gain from 2.6 to 3.']
7.21,"['Level 15 right talent: +15s  Morph duration increased to +20s.', 'Increased  agility gain from 3.7 to 4.3.', 'Increased  strength gain from 2.3 to 2.6.', 'Talents:']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased  Waveform cooldown from 14/13/12/11 to 17/15/13/11.']"
7.18,['Increased  Waveform cooldown from 11 on each level to 14/13/12/11.']
7.16,"[' Morph no longer applies a basic dispel upon expiring.', ' Morph Replicate no longer applies a basic dispel upon toggling between forms.']"
7.15,['Increased base  strength from 19 to 20.']
7.14,"['Level 10 left talent: +300  Waveform cast range/distance increased to +350.', 'Level 25 left talent: The secondary  Adaptive Strike projectiles now have 300 range buffer. [?]', 'Level 25 left talent: +2  Adaptive Strike multi target increased to +3.', 'Talents:']"
7.10,"['Now toggles between the Morphed form and Morphling, instead of ending Morph prematurely.', 'Now has a 1 second cooldown, which triggers whenever switching forms.', ""[U] The Morph status buff icon now shows the target hero's icon, instead of the Morph ability icon."", "" Morph Replicate\nNow toggles between the Morphed form and Morphling, instead of ending Morph prematurely.\nNow has a 1 second cooldown, which triggers whenever switching forms.\n[U] The Morph status buff icon now shows the target hero's icon, instead of the Morph ability icon.""]"
7.08,"['Increased cast range from 600 to 1000.', 'Reduced mana cost from 75/100/125 to 50 on each level.', ' Morph\nIncreased cast range from 600 to 1000.\nReduced mana cost from 75/100/125 to 50 on each level.', ' Morph Replicate\n[U] No longer has a cast backswing.\nReduced cast time from 0.35 to 0.', '[U] No longer has a cast backswing.', 'Reduced cast time from 0.35 to 0.']"
7.07d,"['Level 15 right talent changed:  Waveform attacks enemies [?] -> +15s  Morph duration.', 'Level 20 left talent changed: +15s  Morph duration ->  Waveform attacks enemies. [?]', 'Reduced  Waveform damage from 100/175/250/325 to 75/150/225/300.', ' Attribute Shift can no longer be toggled while disabled. [?]', 'Talents:']"
7.07c,"['Level 20 left talent changed: -25s  Morph cooldown -> +15s  Morph duration.', ""Now copies the target's primary attribute as well."", ""Now sets Morphling's health and mana back to what they were before he morphed upon unmorphing."", 'Reduced duration from 30 to 20.', "" Morph\nNow copies the target's primary attribute as well.\nNow sets Morphling's health and mana back to what they were before he morphed upon unmorphing.\nReduced duration from 30 to 20."", 'Talents:']"
7.07b,"['Level 10 left talent changed: +20 movement speed -> +300  Waveform cast range/distance.', 'Level 25 right talent changed: +800  Waveform cast range/distance -> 2  Waveform charges', 'Increased minimum damage agility multiplier from 0.25 to 0.5.', 'Increased maximum damage agility multiplier from 0.5/1/1.5/2 to 1/1.5/2/2.5.', ' Adaptive Strike (Agility)\nIncreased minimum damage agility multiplier from 0.25 to 0.5.\nIncreased maximum damage agility multiplier from 0.5/1/1.5/2 to 1/1.5/2/2.5.', 'Increased  Adaptive Strike (Strength) minimum stun duration from 0.25 to 0.5.', 'Increased  Attribute Shift passive agility and strength bonus from 3/4/5/6 to 4/5/6/7.', 'Talents:']"
7.07,"['Reduced base  intelligence from 17 to 13.', 'Reduced movement speed from 285 to 280.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', "" Aghanim's Scepter no longer grants Morphling the  Hybrid ability."", 'Split  Adaptive Strike up into two spells which level together,  Adaptive Strike (Agility) and  Adaptive Strike (Strength).\nThe agility version only deals damage, no stun or knockback. The strength version only stuns and knocks back, no damage.\nWhen either is cast, the other one goes on a 3 second cooldown.\nCast range, cast time, mana cost and cooldown remain the same.', 'The agility version only deals damage, no stun or knockback. The strength version only stuns and knocks back, no damage.', 'When either is cast, the other one goes on a 3 second cooldown.', 'Cast range, cast time, mana cost and cooldown remain the same.', ' Adaptive Strike (Strength)\nNeutral creeps targeted by  Adaptive Strike (Strength) now draw aggro and can be auto-attacked again.\nRescaled maximum stun duration from 1.25/2.25/3.25/4.25 to 1.5/2/2.5/3.\nIncreased max knockback distance from 300 to 500.', 'Neutral creeps targeted by  Adaptive Strike (Strength) now draw aggro and can be auto-attacked again.', 'Rescaled maximum stun duration from 1.25/2.25/3.25/4.25 to 1.5/2/2.5/3.', 'Increased max knockback distance from 300 to 500.', ' Morph\nRenamed to Attribute Shift.\nNo longer costs 30 mana per second to shift attributes.\nIncreased shift rate per second from 2/4/8/16 to 1/4/10/25.', 'Renamed to Attribute Shift.', 'No longer costs 30 mana per second to shift attributes.', 'Increased shift rate per second from 2/4/8/16 to 1/4/10/25.', 'Replaced  Replicate with  Morph']"
7.06e,['Reduced base attack time from 1.55 to 1.5.']
7.06d,['Reduced base attack time from 1.6 to 1.55.']
7.06,"['Increased  strength gain from 2 to 2.3.', 'Reduced base health regeneration from 0.25 to 0.', 'Rescaled  Adaptive Strike mana cost from 100/90/80/70 to 80.']"
7.02,"['Level 25 left talent: +30%  Replicate illusion outgoing damage increased to +50%.', 'Talents:']"
7.00,"['Level 10: +200 mana or +8  agility', 'Level 15: 12% cooldown reduction or +25 attack speed', 'Level 20: +40 attack damage or +25 movement speed', 'Level 25: +30%  Replicate illusion outgoing damage or +400  Waveform cast range/distance', ' Morph Replicate now disjoints projectiles upon cast.', ' Waveform can no longer be cast while rooted.', 'Added talents:']"
6.88f,"['Reduced base attack damage from 13-22 to 9-18 (total attack damage is now 33-42).', 'Increased  Morph Replicate cast time from 0.25 to 0.35.']"
6.88e,['Reduced  intelligence gain from 1.5 to 1.1.']
6.88,"['Increased  agility gain from 3.4 to 3.7.', 'Reduced  Hybrid cooldown from 70 to 60.']"
6.87,"['Increased  Replicate illusion damage dealt from 50% to 80%.', 'Reduced  Hybrid cooldown from 120 to 70.']"
6.86,"['Increased base damage from 50/60/70/80 to 100 on each level.', 'Reduced mana cost from 100 on each level to 100/90/80/70.', ' Adaptive Strike\nIncreased base damage from 50/60/70/80 to 100 on each level.\nReduced mana cost from 100 on each level to 100/90/80/70.', ' Morph\nMorph now shifts in intervals of 1 rather than 2. [?]\nIncreased shift rate per second from 2/4/6/10 to 2/4/8/16.', 'Morph now shifts in intervals of 1 rather than 2. [?]', 'Increased shift rate per second from 2/4/6/10 to 2/4/8/16.', 'Reduced  Hybrid cooldown from 140 to 120.']"
6.85,"['Increased  agility gain from 3 to 3.4.', 'Increased  Adaptive Strike base damage from 20/40/60/80 to 50/60/70/80.', ' Hybrid\nNo longer hides Morphling and no longer disables him for its duration.\nCan now be used while having a Replicate illusion.\nHybrids are now visible as an illusion to the enemy.', 'No longer hides Morphling and no longer disables him for its duration.', 'Can now be used while having a Replicate illusion.', 'Hybrids are now visible as an illusion to the enemy.']"
6.84,"[' Adaptive Strike now uses a projectile which travels at a speed of 1150 and is disjointable.', ""Added  Aghanim's Scepter upgrade for Morphing: Grants Morphling the  Hybrid ability.""]"
6.83,['Increased  Adaptive Strike max stun duration from 0.75/1.5/2.25/3 to 1.25/2.25/3.25/4.25.']
6.80,['Morphling can now attack and use spells and items during  Waveform.']
6.79,['Increased  Morph shift rate per second from 2/4/6/8 to 2/4/6/10.']
6.78,['Reduced base attack time from 1.7 to 1.6.']
6.77,['Reduced cast point from 0.4 to 0.25.']
6.76,['Reduced cast point from 0.45 to 0.4.']
6.75,"['Increased cast point from 0.3 to 0.45.', 'Reduced base attack damage from 19-28 to 13-22 (total attack damage is now 37-46).', ' Waveform\nReduced damage radius from 255 to 200.\nMorphling can no longer attack or use spells or items during Waveform.', 'Reduced damage radius from 255 to 200.', 'Morphling can no longer attack or use spells or items during Waveform.', 'Increased  Morph mana cost per second from 20 to 30.']"
6.74,"[' Waveform now properly disjoints projectiles.', ' Morph now passively grants 3/4/5/6 agility and strength when leveling it up.']"
6.73,"['Increased base  agility from 19 to 24.', 'Reduced  Adaptive Strike cooldown from 20 to 10.']"
6.72,"['Increased base armor from 0 to -2 (total armor is now 0.66)', ' Replicate now has a visual timer (player only) that counts down its duration.']"
6.71,"['Now deals 20/40/60/80 base damage.', 'Reduced maximum damage agility multiplier from 0.75/1.5/2.25/3 to 0.5/1/1.5/2.', ' Adaptive Strike\nNow deals 20/40/60/80 base damage.\nReduced maximum damage agility multiplier from 0.75/1.5/2.25/3 to 0.5/1/1.5/2.']"
6.69,"['Changed  Adaptive Strike damage type from physical to magical.', "" Replicate can no longer be cast on illusions under Morphling's control.""]"
6.64,['Increased  Morph Replicate mana cost from 0 to 150.']
6.63,[' Morph no longer passively grants 2/4/6/8 agility and strength when leveling.']
6.60,['Reworked  Adaptive Strike']
6.58,"['No longer hides Morphling for the duration.', 'Now turns Morphling invulnerable for the duration.', ' Waveform\nNo longer hides Morphling for the duration.\nNow turns Morphling invulnerable for the duration.\nThese changes prevent messing up with unit selections. It also allows Morphling to cast spells and attack during Waveform.', ' Morph now passively grants 2/4/6/8 agility and strength when leveling it up.']"
6.52,"['Now also morph stats when manually clicking or using their hotkeys, instead of doing nothing at all.', 'Cooldown for manual cast is 1/1/0.75/0.5', 'Added legacy hotkeys (D for agility morph, F for strength morph).', ' Morph\nNow also morph stats when manually clicking or using their hotkeys, instead of doing nothing at all.\nCooldown for manual cast is 1/1/0.75/0.5\nAdded legacy hotkeys (D for agility morph, F for strength morph).']"
6.51,['Reduced base attack damage from 30-39 to 19-28 (total attack damage is now 38-47).']
6.50,"['Increased base attack damage from 15-24 to 30-39 (total attack damage is now 49-58).', ' Replicate\nReduced mana cost from 125 to 25.\nReduced cooldown from 120 to 80.', 'Reduced mana cost from 125 to 25.', 'Reduced cooldown from 120 to 80.']"
6.46,['Reduced  Replicate mana cost from 200 to 125.']
6.34,['Increased  Waveform mana cost from 120 to 140/155/160/165.']
6.33,['Fixed illusions of Morphling instantly dying when spawning while having very low strength.']
6.32,"['Increased movement speed from 275 to 285.', ' Waveform\nIncreased cast range and max distance from 800 to 1000.\nIncreased speed from 1000 to 1250.\nFixed an endless Waveform bug.', 'Increased cast range and max distance from 800 to 1000.', 'Increased speed from 1000 to 1250.', 'Fixed an endless Waveform bug.', ' Adaptive Strike\nIncreased base damage from 30 on each level to 30/60/90/120.\nReduced mana cost from 120 to 100.\nReduced cooldown from 25 to 20.\nCan no longer knock  Roshan back.', 'Increased base damage from 30 on each level to 30/60/90/120.', 'Reduced mana cost from 120 to 100.', 'Reduced cooldown from 25 to 20.', 'Can no longer knock  Roshan back.', "" Replicate illusions no longer shift color in the same way as Morphling does, but use the target's colors.""]"
6.31,"['Reworked Morphling', 'Reworked  Waveform']"
6.29,"['No longer adds the attributes directly to Morphlings base attributes\nThis means the bonus attributes can no longer be used with Morph.', 'Increased intelligence per level from 0 to 2.', ' Attribute Bonus\nNo longer adds the attributes directly to Morphlings base attributes\nThis means the bonus attributes can no longer be used with Morph.\nIncreased intelligence per level from 0 to 2.']"
6.27,"['Now destroys trees around the target within a 200 radius.', 'Reduced mana cost from 90 to 75.', 'Reduced cooldown from 10 to 9.', ' Crushing Wave\nNow destroys trees around the target within a 200 radius.\nReduced mana cost from 90 to 75.\nReduced cooldown from 10 to 9.']"
6.24,"['Reduced mana cost from 95/100/105/110 to 90 on each level.', 'Reduced cooldown from 12 to 10.', ' Crushing Wave\nReduced mana cost from 95/100/105/110 to 90 on each level.\nReduced cooldown from 12 to 10.']"
6.20,"['Fixed  Manta Style causing Morphling to stop changing colors randomly.', 'Reduced  Attribute Bonus intelligence bonus from 2 to 0.', ' Waveform\nReduced cast and blink range from 700/750/800/850 to 700 on each level.\nIncreased mana cost from 110/120/130/140 to 175 on each level.', 'Reduced cast and blink range from 700/750/800/850 to 700 on each level.', 'Increased mana cost from 110/120/130/140 to 175 on each level.', 'Increased  Morph Attack cooldown from 10 to 20.', 'Increased  Crushing Wave damage from 50/100/150/200 to 100/150/200/250.', 'Increased  Morph mana cost from 10 to 20.']"
6.19b,"['Increased mana cost from 300 on each level to 300/350/400.', 'Increased cooldown from 0.5 to 5.', ' Adapt\nIncreased mana cost from 300 on each level to 300/350/400.\nIncreased cooldown from 0.5 to 5.']"
6.19,['Fixed  Morph continuing to shift attributes while dead.']
6.18,['Fixed  Adapt causing Morphling to stop changing colors randomly.']
6.17,['Morphling now randomly changes its color every few seconds again.']
6.16,['Fixed  Morph sometimes not using mana.']
6.13,['Increased  Morph mana cost from 0 to 10.']
6.11,['Fixed an  Aegis of the Immortal bug related to  Waveform.']
6.10,"['Increased  Waveform cast range and blink distance from 700 on each level to 700/750/800/850.', ' Morph\nFixed Morph being single target, instead of no target (could only target enemies with no effect).\nFixed Morph preventing Morphling to use attack modifier while active.\nRemoved legacy hotkeys (R and O), since manual cast does nothing.\nReduced mana cost from 2/4/6/8 to 0.', 'Fixed Morph being single target, instead of no target (could only target enemies with no effect).', 'Fixed Morph preventing Morphling to use attack modifier while active.', 'Removed legacy hotkeys (R and O), since manual cast does nothing.', 'Reduced mana cost from 2/4/6/8 to 0.']"
6.07,"['Changed  Morph Attack damage type from magical to physical.', ' Crushing Wave\nNo longer knocks  Roshan back.\nFixed some memory leak issues.', 'No longer knocks  Roshan back.', 'Fixed some memory leak issues.', ' Adapt\nFixed some bugs with Adapt in Death Match mode.\nFixed some memory leak issues.\nIncreased mana cost from 300/250/200 to 300 on each level.', 'Fixed some bugs with Adapt in Death Match mode.', 'Increased mana cost from 300/250/200 to 300 on each level.']"
6.06,"['Fixed Morphling being unable to buy  Refresher Orb in agility form.', 'Increased base  intelligence from 15 to 17.', 'Increased  Attribute Bonus intelligence per level from 1 to 2.', 'Increased  Morph Attack damage from 30 + 120%/130%/140%/150% of agility to 30 + 140%/180%/220%/260% of agility.', ' Unstable Power\nCan no longer be cast on enemy units.\nNo longer deals 15/20/25/30 damage per second.\nIncreased duration from 7 to 12.\nIncreased cooldown from 14 to 15.', 'Can no longer be cast on enemy units.', 'No longer deals 15/20/25/30 damage per second.', 'Increased duration from 7 to 12.', 'Increased cooldown from 14 to 15.']"
6.05,"['Reworked Morphling.', 'Can now buy  Refresher Orb again.', 'No longer randomly changes color every few seconds.', ' Attribute Bonus\nReduced max levels from 14 to 10.\nIncreased intelligence per level from 0 to 1.', 'Reduced max levels from 14 to 10.', 'Increased intelligence per level from 0 to 1.', 'Replaced  Tidal Wave with  Waveform']"
