7.26b,"['Level 10 left talent: +0.3s  Impale stun duration reduced to +0.25s.', 'Level 10 right talent: +8% spell damage amplification reduced to +6%.', 'Level 15 left talent: +25 movement speed reduced to +20.', 'Level 15 right talent: +325 health reduced to +250', 'Level 20 left talent: +175  Impale damage reduced to +140.', 'Level 20 right talent: +75%  Spiked Carapace damage reduced to +60%.', 'Level 25 right talent: +100  agility reduced to +80.', 'Talents:']"
7.24b,['Reduced  Impale stun duration from 1.6/2/2.4/2.8 to 1.4/1.8/2.2/2.6.']
7.24,"['Level 10 left talent changed: +90 gold per minute -> +0.3s  Impale stun duration.', 'Changed damage type from physical to pure.', 'Reduced damage from 250/400/550 to 250/375/500.', ' Vendetta\nChanged damage type from physical to pure.\nReduced damage from 250/400/550 to 250/375/500.', 'Talents:']"
7.23,['Increased movement speed from 305 to 315.']
7.22c,"['Reduced base health regeneration from 3.25 to 2.5.', 'Reduced  Spiked Carapace duration from 2.25 to 2.']"
7.22,"['Level 15 left talent: +30 movement speed reduced to +25.', 'Reduced base  strength from 19 to 18.', 'Increased  Vendetta cooldown from 70/60/50 to 90/70/50.', 'Talents:']"
7.21,"['Level 10 left talent: +60 gold per minute increased to +90.', 'Level 10 right talent: +6% spell damage amplification increased to +8%.', 'Increased  strength gain from 2.3 to 2.5', 'Increased  agility gain from 2.2 to 2.5.', 'Increased movement speed from 300 to 305.', 'Talents:']"
7.20d,['Increased movement speed from 295 to 300.']
7.20,"['Level 15 left talent: +35 movement speed reduced to +30.', 'Reduced base health regeneration from 4.75 to 3.25.', 'Reduced base mana regeneration from 0.9 to 0.', ' Vendetta now applies Break on the target for 4 seconds.', 'Talents:']"
7.18,['Reduced  Vendetta mana cost from 160/210/260 to 140/200/260.']
7.15,['Increased base  strength from 18 to 19.']
7.07,"['Level 10: +175 health or +5% spell damage amplification', 'Level 15: +50  Impale damage or +12% magic resistance', 'Level 20: +40  agility or +120 gold per minute', 'Level 25: +100%  Spiked Carapace damage or +40 movement speed', 'Reduced movement speed from 300 to 295.', 'Increased base health regeneration from 3.25 to 4.75.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Spiked Carapace\nNow returns damage in the same type as it was received, instead of always being pure.\nNow returns damage before any damage incoming or outgoing reductions or amplifications, instead of after.\nReflected damage can no longer be spell lifestealed off of.', 'Now returns damage in the same type as it was received, instead of always being pure.', 'Now returns damage before any damage incoming or outgoing reductions or amplifications, instead of after.', 'Reflected damage can no longer be spell lifestealed off of.', 'Reworked talents:']"
7.06f,['Reduced base attack damage from 30-34 to 27-31 (total attack damage is now 46-50).']
7.06e,['Reduced movement speed from 305 to 300.']
7.06c,"['Increased  Impale cooldown from 13 to 14.', 'Increased  Burrow Impale cooldown reduction from 6 to 7.']"
7.06,"['Increased  strength gain from 2 to 2.3.', 'Reduced base health regeneration from 3.5 to 3.25.']"
7.03,['Increased  Spiked Carapace cooldown from 22/18/14/10 to 25/20/15/10.']
