7.26c,"['Level 20 left talent: +50  Bloodlust attack speed reduced to +40.', 'Talents:']"
7.26b,"['Level 10 left talent: +100 cast range reduced to +75.', 'Level 10 right talent: +20  Ignite damage per second reduced to +16.', 'Level 15 left talent: +300 health reduced to +275.', 'Level 15 right talent: +100 attack damage reduced to +80.', 'Level 20 left talent: +60  Bloodlust attack speed reduced to +50.', 'Level 20 right talent: +40  strength reduced to +30.', 'Level 25 left talent: +300  Fireblast damage reduced to +240.', 'Level 25 right talent: +75 movement speed reduced to +60.', 'Talents:']"
7.26a,['Reduced  Bloodlust movement speed bonus from 8%/10%/12%/14% to 7%/9%/11%/13%.']
7.25,['Reduced base armor from 6 to 5.']
7.24,"['Level 10 right talent changed: +90 gold per minute -> +20  Ignite damage per second.', 'Talents:']"
7.23,"['Reduced base  strength from 25 to 23.', 'When hitting the same target with  Ignite again, it now adds its duration to the already existing debuff, instead of refreshing it. [?]']"
7.22g,['Reduced base attack damage from 43-49 to 39-45.']
7.22e,"['Level 20 left talent: +40  Bloodlust attack speed increasead to +60.', 'Increased  intelligence gain from 2.3 to 2.5.', 'Increased  agility gain from 1.6 to 1.9.', 'Talents:']"
7.22d,"['Level 15 left talent: +300 health increased to +350.', 'Level 15 right talent: +90 attack damage increased to +100.', 'Increased  Bloodlust multicast radius from 575 to 700.', ' Multicast\nIncreased multicast interval from 0.5 to 0.6.\nIncreased item buffer range from 200 to 600.', 'Increased multicast interval from 0.5 to 0.6.', 'Increased item buffer range from 200 to 600.', 'Talents:']"
7.22,"['Level 25 left talent: +275  Fireblast damage reduced to +300.', 'Increased  Multicast 2x chance from 70% to 75%.', 'Talents:']"
7.21,"['Increased  intelligence gain from 2 to 2.3.', 'Reduced  Fireblast cooldown from 12/11/10/9 to 11/10/9/8.', 'Increased  Multicast 2x chance from 60% to 70%.']"
7.20d,['Increased movement speed from 285 to 290.']
7.20,"['Level 25 right talent: +90 movement speed reduced to +75.', 'Increased  agility gain from 1.55 to 1.6.', 'Reduced base health regeneration from 4.75 to 3.25.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reduced  Fireblast cooldown from 12 on each level to 12/11/10/9.', ' Ignite\nNow targets a second enemy within a 900/1000/1100/1200 radius of Ogre Magi.\nIncreased cast range from 700 on each level to 700/800/900/1000.', 'Now targets a second enemy within a 900/1000/1100/1200 radius of Ogre Magi.', 'Increased cast range from 700 on each level to 700/800/900/1000.', ' Bloodlust\nReduced movement speed bonus from 10%/12%/14%/16% to 8%/10%/12%/14%\nReduced cooldown from 20 on each level to 20/18/16/14.', 'Reduced movement speed bonus from 10%/12%/14%/16% to 8%/10%/12%/14%', 'Reduced cooldown from 20 on each level to 20/18/16/14.', "" Multicast\nCan now proc on enemy-targeted items as well. Uses the item's cast range + a 300 buffer range.\nNo longer reduces  Fireblast cooldown by 2/4/6.\nNo longer increases  Ignite radius by 150/300/450.\nNo longer increases  Ignite cast range by 150/300/450.\nNo longer reduces  Bloodlust cooldown by 5/10/15."", ""Can now proc on enemy-targeted items as well. Uses the item's cast range + a 300 buffer range."", 'No longer reduces  Fireblast cooldown by 2/4/6.', 'No longer increases  Ignite radius by 150/300/450.', 'No longer increases  Ignite cast range by 150/300/450.', 'No longer reduces  Bloodlust cooldown by 5/10/15.', 'Talents:']"
7.19,['Increased  Fireblast damage from 55/110/165/220 to 60/120/180/240.']
7.16,"['Level 10 right talent: +60 gold per minute increased to +90.', 'Increased 2x multicast chance from 40%/50%/60% to 60%/60%/60%.', 'Increased 3x multicast chance from 0%/20%/25% to 0%/30%/30%.', 'Increased 4x multicast chance from 0%/0%/12.5% to 0%/0%/15%.', ' Multicast\nIncreased 2x multicast chance from 40%/50%/60% to 60%/60%/60%.\nIncreased 3x multicast chance from 0%/20%/25% to 0%/30%/30%.\nIncreased 4x multicast chance from 0%/0%/12.5% to 0%/0%/15%.', 'Talents:']"
7.15,"['Reduced base  intelligence from 17 to 15.', 'Increased base attack damage from 41-47 to 43-49.']"
7.14,[' Bloodlust now grants the caster 30/50/70/90 attack speed when cast on self. [?]']
7.13b,['Increased base  strength from 23 to 25.']
7.12,"["" Multicast no longer increases  Fireblast's mana cost by 20/40/60.""]"
7.10,"['Level 20 right talent: +30  strength increased to +40.', 'Talents:']"
7.07,"['Level 10: +100 cast range or +60 gold per minute', 'Level 15: +12% magic resistance or +50 attack damage', 'Level 20: +30 movement speed or +350 health', 'Level 25: +40  Bloodlust attack speed or +15% spell damage amplification', 'Increased base health regeneration from 3.25 to 4.75.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06e,"['Level 15 left talent: +8% magic resistance increased to +12%.', 'Level 20 left talent: +25 movement speed increasedto +30.', 'Level 20 right talent: +250 health increased to +350.', 'Talents:']"
7.06,"['Increased  strength gain from 3.2 to 3.5.', 'Reduced base health regeneration from 3.5 to 3.25.']"
7.03,"['Reduced movement speed from 290 to 285.', 'Increased  Bloodlust mana cost from 50 to 65.']"
7.02,"['Level 15 right talent: +40 attack damage increased to +50.', 'Reduced  intelligence gain from 2.4 to 2.0.', 'Talents:']"
7.01,['Reduced movement speed from 295 to 290.']
7.00,"['Level 10: +100 cast range or +60 gold per minute', 'Level 15: +8% magic resistance or +40 attack damage', 'Level 20: +25 movement speed or +250 health', 'Level 25: +40  Bloodlust attack speed or +15% spell damage amplification', 'Added talents:']"
6.88b,['Reduced  Bloodlust mana cost from 75 to 50.']
6.88,"['Reduced  Ignite mana cost from 95/105/115/125 to 90 on each level.', 'Increased  Multicast interval from 0.4 to 0.5.']"
6.87,['Increased attack range from 128 to 150.']
6.86,['Increased base health regeneration from 2.5 to 3.5.']
6.85,"['Increased base armor from 5 to 6 (total armor from 6.96 to 7.96).', ' Bloodlust\nCan now be cast on buildings.\nFixed multicast Bloodlust never targeting spell immune allies.\nIncreased attack speed bonus from 20/30/40/50 to 30/40/50/60.', 'Can now be cast on buildings.', 'Fixed multicast Bloodlust never targeting spell immune allies.', 'Increased attack speed bonus from 20/30/40/50 to 30/40/50/60.']"
6.83,"['Reduced damage from 60/120/180/240 to 55/110/165/220.', 'Reduced cast range from 600 to 475.', ' Fireblast\nReduced damage from 60/120/180/240 to 55/110/165/220.\nReduced cast range from 600 to 475.', 'Reduced  Unrefined Fireblast cast range from 600 to 475.']"
6.82,"['Increased base health regeneration from 0.25 to 2.5.', 'Reduced  Fireblast damage from 80/145/210/275 to 60/120/180/240.', ' Multicast\nIncreased chance for 2x Multicast from 25%/40%/50% to 40%/50%/60%.\nIncreased Multicast interval from 0.3 to 0.4.', 'Increased chance for 2x Multicast from 25%/40%/50% to 40%/50%/60%.', 'Increased Multicast interval from 0.3 to 0.4.']"
6.81b,"[' Bloodlust can now be cast on spell immune allies.', 'Reduced  Multicast Fireblast mana cost increase from 30/70/110 to 20/40/60.']"
6.81,"['Increased base armor from 4 to 5 (total armor is now 6.96).', ""Reduced all of Ogre Magi's spells' cast point from 0.56 to 0.45.""]"
6.80,"[""Changed  Unrefined Fireblast mana cost from a constant 400 to 60% of Ogre Magi's current mana.""]"
6.79,"['Now has the same chance to be multicast like his other abilities (targets random enemies within a 1400 radius, prioritizes units which do not have the debuff already).', 'Is now disjointable.', 'Increased duration from 4/5/6/7 to 5/6/7/8.', ' Ignite\nNow has the same chance to be multicast like his other abilities (targets random enemies within a 1400 radius, prioritizes units which do not have the debuff already).\nIs now disjointable.\nIncreased duration from 4/5/6/7 to 5/6/7/8.', 'Reduced  Unrefined Fireblast cooldown from 10 to 6.']"
6.78,['Increased  Ignite damage per second from 26/32/38/44 to 26/34/42/50.']
