7.26c,"['Level 10 left talent changed: +80  Purification radius -> +20 movement speed.', 'Level 10 right talent: +8  Heavenly Grace health regen increased to +10.', 'Level 15 right talent changed: +25 movement speed -> -2s  Purification cooldown.', 'Talents:']"
7.26b,"['Level 10 left talent: +100  Purification radius reduced to +80.', 'Level 10 right talent: +10  Heavenly Grace health regen reduced to +8.', 'Level 15 left talent: +90 attack damage reduced to +70.', 'Level 15 right talent: +30 movement speed reduced to +25.', 'Level 20 left talent: +4 mana regen reduced to +3.', 'Level 20 right talent: +12%/+12  Degen Aura movement/attack speed slow reduced to +10%/+10.', 'Level 25 left talent: -8s  Heavenly Grace cooldown reduced to -6.5s.', 'Level 25 right talent: +200  Purification heal/damage reduced to +160.', 'Talents:']"
7.24,"['Level 10 right talent changed: +90 gold per minute -> +10  Heavenly Grace health regen.', 'Reduced base armor from 2 to 1.', 'Reduced  strength gain from 3.6 to 3.4.', 'Increased  Purification cooldown from 17/15/13/11 to 18/16/14/12.', 'Talents:']"
7.23e,"['Level 15 right talent changed: +35% experience gain -> +30 movement speed.', 'Talents:']"
7.23,"['Level 10 left talent: +75  Purification radius increased to +100.', 'Talents:']"
7.22f,"['Level 20 left talent: +5 mana regen reduced to +4.', 'Increased  Purification cooldown from from 14/13/12/11 to 17/15/13/11.', 'Talents:']"
7.22e,"['Increased  Heavenly Grace cooldown from 17/16/15/14 to 26/22/18/14.', 'Reduced  Guardian Angel duration from 6/7/8 to 5/6.5/8.']"
7.22,"["" Aghanim's Scepter now also causes  Guardian Angel to grant 40 health regeneration. [?]""]"
7.21d,['Increased base armor from 1 to 2.']
7.21b,['Increased  Heavenly Grace duration from 10 to 12.']
