7.26c,"['Level 15 left talent: 20% cleave increased to 25%.', 'Level 20 left talent: +24%  Blur evasion increased to +30%.', 'Level 25 right talent changed: +8%  Coup de Grace proc chance -> +100%  Coup de Grace critical damage.', 'Talents:']"
7.26b,"['Level 10 left talent: +15 attack damage reduced to +12.', 'Level 10 right talent: +225 health reduced to +175.', 'Level 15 left talent: 25% cleave reduced to 20%.', 'Level 15 right talent: 15% lifesteal reduced to 12%.', 'Level 20 left talent: +30%  Blur evasion reduced to +24%.', 'Level 20 right talent: -4 Armor Corruption reduced to -3.', 'Level 25 right talent: +10%  Coup de Grace proc chance reduced to +8%.', 'Talents:']"
7.24,['Increased base attack damage from 24-26 to 27-29.']
7.23,"['Level 20 left talent: +25%  Blur evasion increased to +30%.', 'Talents:']"
7.22f,"['Level 10 right talent: +200 health increased to +225.', 'Increased base attack damage from 23-25 to 24-26.', 'Talents:']"
7.22d,"['Level 10 right talent: +150 health increased to +200.', 'Level 20 left talent: +20%  Blur evasion increased to +25%.', 'Level 25 right talent: +5%  Coup de Grace proc chance increased to +10%.', 'Talents:']"
7.22,"[""Added  Aghanim's Scepter upgrade for Phantom Assassin: Reduces  Blur cooldown to 12 seconds, removes its cast time, makes it apply a basic dispel on cast, and causes it to refresh all of her basic ability cooldowns upon making a kill.""]"
7.21c,['Reduced  agility gain from 3.7 to 3.4.']
7.21,"['Level 10: +15 attack damage or +150 health', 'Level 15: 30% cleave or -3 Armor Corruption [?]', 'Level 20: +2  Stifling Dagger multi target [?] or 20% lifesteal', 'Level 25: +25%  Blur evasion or +5%  Coup de Grace proc chance', 'Increased  agility gain from 3.2 to 3.7.', 'Reworked talents:']"
7.20e,"['Increased  Stifling Dagger mana cost from 30/25/20/15 to 30 on each level.', 'Reduced  Phantom Strike duration from 2.25 to 2.', 'Increased  Blur mana cost from 30 to 50.', 'Reduced  Coup de Grace critical damage from 210%/330%/450% to 200%/325%/450%.']"
7.20d,"['Reduced  Phantom Strike attack speed duration from 2.5 to 2.25.', ' Blur\nNo longer ignores its cast backswing.\nIncreased cast time from 0 to 0.4.', 'No longer ignores its cast backswing.', 'Increased cast time from 0 to 0.4.', 'Reduced  Coup de Grace critical damage from 230%/340%/450% to 210%/330%/450%.']"
7.20c,"['Level 15 right talent: -4 Armor Corruption reduced to -3.', 'Increased  Blur mana cost from 20 to 30.', 'Talents:']"
7.20,"['Passive evasion: 20%/30%/40%/50%', 'Vanish dispel radius: 600', 'Vanish dispel delay: 0.75', 'Vanish duration: 25', 'Mana cost: 20', 'Cooldown: 60/55/50/45', 'Notes: Turns Phantom Assassin invisible. Does not dispel on attack or spell cast, and cannot be revealed with true sight. Only dispels when getting within range of heroes or buildings, with a small delay before getting dispelled.', 'Increased  strength gain from 2.15 to 2.2.', 'Increased  agility gain from 3.15 to 3.2.', 'Reduced base health regeneration from 1.75 to 0.25.', 'Reduced base mana regeneration from 0.9 to 0.', ' Phantom Strike\nNo longer has an attack limit of 4 attacks.\nNo longer gets dispelled when attacking a different unit than the cast target.\nRescaled attack speed bonus from 130 on each level to 100/125/150/175.\nReduced duration from 4 to 2.5.\nReduced cast time from 0.3 to 0.25.\nReduced mana cost from 50 on each level to 35/40/45/50.\nReduced cooldown from 14/11/8/5 to 11/9/7/5.', 'No longer has an attack limit of 4 attacks.', 'No longer gets dispelled when attacking a different unit than the cast target.', 'Rescaled attack speed bonus from 130 on each level to 100/125/150/175.', 'Reduced duration from 4 to 2.5.', 'Reduced cast time from 0.3 to 0.25.', 'Reduced mana cost from 50 on each level to 35/40/45/50.', 'Reduced cooldown from 14/11/8/5 to 11/9/7/5.', 'Reworked  Blur']"
7.17,"['Level 20 left talent: +1  Stifling Dagger multi target increased to +2.', 'Increased  Stifling Dagger slow duration from 1/2/3/4 to 1.75/2.5/3.25/4 seconds.', 'Talents:']"
7.16,"['Increased base health regeneration from 1.5 to 1.75.', ' Blur\nBlur detection no longer triggers on illusions or creep-heroes. [?]\nNow always detects invisible, spell immune and invulnerable heroes, instead of only when initially visible before the status effect was applied.', 'Blur detection no longer triggers on illusions or creep-heroes. [?]', 'Now always detects invisible, spell immune and invulnerable heroes, instead of only when initially visible before the status effect was applied.']"
7.15,['Increased base  strength from 20 to 21.']
7.12,[' Stifling Dagger can now target spell immune units. [?]']
7.10,"['Level 20 left talent: The secondary  Stifling Dagger projectile now has a 300 range buffer. [?]', 'Talents:']"
