7.26b,"['Level 10 left talent: +225 health reduced to +175.', 'Level 10 right talent: +20 movement speed reduced to +15.', 'Level 15 right talent: -1s  Nether Blast cooldown reduced to -0.8s.', 'Level 20 left talent: +2s  Decrepify duration reduced to +1.5s.', 'Level 20 right talent: +25%  Life Drain heal reduced to +20%.', 'Level 25 left talent: +1.75  Nether Ward damage per mana reduced to +1.5.', 'Level 25 right talent: +200  Nether Blast damage reduced to +160.', 'Talents:']"
7.26a,"['Reduced  Decrepify cast range from 700 on each level to 400/500/600/700.', 'Reduced  Nether Ward duration from 30 on each level to 18/22/26/30.']"
7.25,"['Increased  Nether Ward max mana loss per second from 0.3%/0.6%/0.9%/1.2% to 0.6%/0.8%/1%/1.2%.', "" Life Drain\nReduced health drain per second from 175/275/375 to 150/225/300.\n Aghanim's Scepter now also increases damage to 200/300/400.\nReduced link break distance from 1000 to 900.\nReduced cooldown from 22 to 7."", 'Reduced health drain per second from 175/275/375 to 150/225/300.', "" Aghanim's Scepter now also increases damage to 200/300/400."", 'Reduced link break distance from 1000 to 900.', 'Reduced cooldown from 22 to 7.']"
7.24,['Increased base  agility from 16 to 24.']
7.23b,['Increased  Life Drain health drain per second from 150/250/350 to 175/275/375.']
7.23,"['No longer fires at spell immunity enemies. [?]', 'No longer triggers on spells that do not trigger on-cast effects. [?]', 'Now has a base damage of 50 when triggering.', 'Reduced damage per spent mana from 1.25/1.5/1.75/2 to 1/1.25/1.5/1.75.', ' Nether Ward\nNo longer fires at spell immunity enemies. [?]\nNo longer triggers on spells that do not trigger on-cast effects. [?]\nNow has a base damage of 50 when triggering.\nReduced damage per spent mana from 1.25/1.5/1.75/2 to 1/1.25/1.5/1.75.']"
7.22d,['Increased  Life Drain health drain per second from 150/225/300 to 150/250/350.']
7.22,"['Increased base mana regeneration from 0 to 0.5.', 'Increased  agility gain from 1 to 1.3.', 'Increased  Nether Ward max mana loss per second from 0.25%/0.5%/0.75%/1% to 0.3%/0.6%/0.9%/1.2%.']"
7.21,"['Increased  intelligence gain from 4.5 to 5.2.', 'Reduced movement speed from 335 to 330.']"
7.20,"['Level 10 right talent: +25 movement speed reduced to +20.', 'Increased  strength gain from 1.8 to 2.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', "" Nether Ward's mana degen aura no longer pierces spell immunity."", ' Life Drain no longer pierces spell immunity on enemies.', 'Talents:']"
7.19,['Reduced base attack damage from 21-29 to 19-27.']
7.16,['Increased  Nether Ward damage per spent mana from 1/1.25/1.5/1.75 to 1.25/1.5/1.75/2.']
7.15,"['Reduced base  intelligence from 26 to 24.', 'Increased base attack damage from 19-27 to 21-29.']"
7.14,"['Level 15 left talent: +2  Nether Ward attacks to destroy increased to +3.', 'Increased base armor from -1 to 0.', 'Talents:']"
7.13b,['Increased base  strength and gain from 17 + 1.5 to 19 + 1.8.']
7.08,"['Level 15 left talent: +1  Nether Ward attacks to destroy increased to +2.', 'Increased  Life Drain health drain per second from 150/200/250 ( 180/240/300) to 150/225/300. [?]', 'Talents:']"
7.07,"['Level 10: +225 health or +3 mana regen', 'Level 15: -1s  Nether Blast cooldown or +1s  Decrepify duration', 'Level 20: +150 cast range or +0.75  Nether Ward damage per mana', 'Level 25: +200  Nether Blast damage or +50%  Life Drain heal', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Life Drain range reduced from 800 to 700', ' Decrepify can now target  Tombstone.', 'Reworked talents:']"
7.06e,"['Level 25 left talent: +150  Nether Blast damage increased to +200.', 'Talents:']"
7.06d,['Increased attack range from 600 to 630.']
7.06c,"['Level 20 right talent: +0.5  Nether Ward damage per mana increased to +0.75.', 'Increased  Life Drain link break distance from 900 to 1000.', 'Talents:']"
7.06,"['Level 15 right talent changed: -35s respawn time -> +1s  Decrepify duration.', 'Increased  strength gain from 1.2 to 1.5.', 'Reduced base health regeneration from 0.25 to 0.', ' Life Drain\nNow grants shared vision and True Sight over the target.\nReduced cast range from 900/1050/1200 to 800 on each level.\nReduced link break distance from 900/1050/1200 to 900 on each level.', 'Now grants shared vision and True Sight over the target.', 'Reduced cast range from 900/1050/1200 to 800 on each level.', 'Reduced link break distance from 900/1050/1200 to 900 on each level.', 'Talents:']"
7.05,"['Level 25 left talent: +125  Nether Blast damage increased to +150.', 'Increased base movement speed from 330 to 335.', 'Talents:']"
7.03,"['Level 10 left talent: +150 health increased to +225.', 'Level 15 left talent changed: +12  Strength -> -1s  Nether Blast cooldown.', 'Level 15 right talent: -25s respawn time increased to -35s.', 'Talents:']"
7.02,"['Level 15 left talent: +10  strength increased to +12.', 'Level 20 left talent: +100 cast range increased to +150.', 'Level 20 right talent changed: +10 all stats -> +0.5  Nether Ward damage per mana.', 'Level 25 left talent: +100  Nether Blast damage increased to +125.', 'Talents:']"
7.00,"['Level 10: +150 health or +3 mana regen', 'Level 15: +10  strength or -25s respawn time', 'Level 20: +100 cast range or +10 all stats', 'Level 25: +100  Nether Blast damage or +50%  Life Drain heal', 'Changed  Nether Ward mana loss per second from a flat 1.5/3/4.5/6 to 0.25%/0.5%/0.75%/1% of max mana.', 'Added talents:']"
