7.26c,"['Level 10 left talent: +150 health increased to +175.', 'Level 10 right talent changed: +15 movement speed -> -30  Epicenter attack speed slow.', 'Level 15 left talent changed: -40  Epicenter attack speed slow -> +2  Epicenter pulses.', 'Level 20 left talent changed: +3  Epicenter pulses -> +25  Epicenter damage per pulse.', 'Talents:']"
7.26b,"['Level 10 left talent: +200 health reduced to +150.', 'Level 10 right talent: +20 movement speed reduced to +15.', 'Level 15 left talent: +50  Epicenter attack speed slow reduced to +40.', 'Level 15 right talent: +40  Sand Storm damage per second reduced to +30.', 'Level 20 left talent: +4  Epicenter pulses reduced to +3.', 'Level 20 right talent: +10 armor reduced to +8.', 'Level 25 left talent: 50%  Sand Storm blind/movement speed slow reduced to 40%.', 'Level 25 right talent: +50 health regen reduced to +40.', 'Talents:']"
7.25,"['Now reduces attack speed by 15/20/25/30 as well.', 'Increased slow duration from 3 on each level to 3/3.5/4/4.5.', ' Caustic Finale\nNow reduces attack speed by 15/20/25/30 as well.\nIncreased slow duration from 3 on each level to 3/3.5/4/4.5.', 'Increased  Epicenter damage per pulse from 110 to 110/120/130.']"
7.23,['Increased base attack speed from 100 to 110.']
7.22e,"["" Sand Storm's blind now uses pseudo-random distribution.""]"
7.22c,"['Reduced  strength gain from 3.2 to 3.', 'Increased  Sand Storm mana cost from 60 to 75.']"
7.21d,"['Increased  Burrowstrike cast range from 350/450/550/650 to 400/500/600/700.', 'Increased  Sand Storm damage per second from 20/40/60/80 to 20/45/70/95.']"
7.21c,['Increased base  intelligence from 16 to 19.']
7.21,"['Increased  strength gain from 2.8 to 3.2.', 'Increased  Burrowstrike damage from 85/150/215/280 to 100/160/220/280.', 'Increased  Sand Storm radius from 350/450/550/650 to 425/500/575/650.']"
7.20e,['Reduced  Sand Storm damage per second from 25/50/75/100 to 20/40/60/80.']
7.20d,"['Level 15 right talent: +50  Sand Storm damage per second reduced to +40.', 'Increased movement speed from 285 to 290.', 'Reduced  Burrowstrike stun duration from 1.9/2/2.1/2.2 to 1.6/1.8/2/2.2.', 'Increased  Sand Storm cooldown from 40/32/26/18 to 40/34/28/22.', 'Talents:']"
7.20c,"['Reduced base attack damage from 25-35 to 23-33.', 'Reduced  strength gain from 2.9 to 2.8.', 'Reduced  agility gain from 2.1 to 1.8.']"
7.20b,"['Increased mana cost from 60/50/40/30 to 60 on each level.', 'Increased cooldown from 34/28/22/16 to 40/32/24/16.', ' Sand Storm\nIncreased mana cost from 60/50/40/30 to 60 on each level.\nIncreased cooldown from 34/28/22/16 to 40/32/24/16.']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Sand Storm\nNo longer requires channeling. It now ends when Sand King leaves the area.\nWhile inside the area, attacking or casting spells now reveals Sand King for 0.7 seconds.\nRescaled radius from 525 on each level to 350/450/550/650.\nReduced damage per second from 40/60/80/100 to 25/50/75/100.\nIncreased cooldown from 34/26/18/10 to 34/28/22/16.\nReduced duration from 50 on each level to 20/25/30/35.', 'No longer requires channeling. It now ends when Sand King leaves the area.', 'While inside the area, attacking or casting spells now reveals Sand King for 0.7 seconds.', 'Rescaled radius from 525 on each level to 350/450/550/650.', 'Reduced damage per second from 40/60/80/100 to 25/50/75/100.', 'Increased cooldown from 34/26/18/10 to 34/28/22/16.', 'Reduced duration from 50 on each level to 20/25/30/35.', ' Epicenter\nNo longer pierces spell immunity.\nThe radius now increases by 50 per pulse on each pulse, instead of sometimes by 25 and sometimes 75.\nRadius of each pulse from 275/325/375/425/475/525/575/650/675/700/725/750/775/800 to 275/325/375/425/475/525/575/625/675/725/775/825/875/925.', 'No longer pierces spell immunity.', 'The radius now increases by 50 per pulse on each pulse, instead of sometimes by 25 and sometimes 75.\nRadius of each pulse from 275/325/375/425/475/525/575/650/675/700/725/750/775/800 to 275/325/375/425/475/525/575/625/675/725/775/825/875/925.', 'Talents:']"
7.18,['Increased  Burrowstrike cooldown from 11 on each level to 14/13/12/11.']
7.17,"['Reduced base attack damage from 25-41 to 25-35.', 'Reduced  Caustic Finale movement speed slow from 21%/24%/27%/30% to 15%/20%/25%/30%.']"
7.16,"['Level 10 right talent: +30 movement speed reduced to +25.', 'Reduced  Caustic Finale movement speed slow from 30% on each level to 21%/24%/27%/30%.', 'Talents:']"
7.14,"[' Caustic Finale no longer applies its area effects when the debuffed target gets denied by the enemy, or when the target expires if it was a summon.']"
7.13b,"['Reduced base armor from 0 to -1.', 'Reduced movement speed from 290 to 285.']"
7.12,"['Reduced movement speed from 295 to 290.', 'Reduced  Burrowstrike stun duration from 2.17 on each level to 1.9/2/2.1/2.2.']"
7.07d,['Reduced  Burrowstrike damage from 100/160/220/280 to 85/150/215/280.']
7.07,"['Level 10: +5 armor or +10% magic resistance', 'Level 15: +50  Epicenter attack speed slow or +50  Sand Storm damage per second', 'Level 20: +120 gold per minute or +350 health', 'Level 25: +4  Epicenter pulses or +50 health regen', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06e,"[' Caustic Finale now deals a fixed 20/50/80/110 damage upon expiring, instead of being 50% of the death explosion damage. [?]']"
7.06,"['Level 15 left talent changed: -30s respawn time -> +50  Epicenter attack speed slow.', 'Increased  strength gain from 2.6 to 2.9.', 'Reduced base health regeneration from 0.25 to 0.', ' Sand Storm\nReduced invisibility linger duration from 1.5 on each level from 0.9/1.1/1.3/1.5.\nIncreased damage from 25/50/75/100 to 40/60/80/100.', 'Reduced invisibility linger duration from 1.5 on each level from 0.9/1.1/1.3/1.5.', 'Increased damage from 25/50/75/100 to 40/60/80/100.', ' Caustic Finale is no longer a unique attack modifier.', 'Talents:']"
7.02,"['Level 10 right talent changed: +200 mana -> +10% magic resistance.', 'Level 15 left talent changed: +15 movement speed -> -30s respawn time.', 'Level 15 right talent changed: +12% magic resistance -> +50  Sand Storm damage per second.', 'Talents:']"
7.00,"['Level 10: +5 armor or +200 mana', 'Level 15: +15 movement speed or +12% magic resistance', 'Level 20: +120 gold per minute or +350 health', 'Level 25: +4  Epicenter pulses or +50 health regen', ' Burrowstrike can no longer be cast while rooted.', "" Aghanim's Scepter upgraded  Burrowstrike no longer applies  Caustic Finale on illusions."", 'Added talents:']"
6.88e,['Reduced base movement speed from 300 to 295.']
6.88b,"['Reduced  Sand Storm cooldown from 40/30/20/10 to 34/26/18/10.', 'Reduced  Epicenter mana cost from 175/250/325 to 150/225/300.']"
6.88,"['Increased base  strength from 21 to 22.', 'Reduced  Epicenter cooldown from 140/120/100 to 120/110/100.']"
6.87,"['Increased attack range from 128 to 150.', 'Rescaled  Sand Storm max channel time from 20/40/60/80 to 50 on each level.']"
