7.26c,"['Level 10 right talent: +150 health increased to 175.', 'Level 10 left talent changed: +8% spell damage amplification -> +100  Shackles total damage.', 'Level 25 left talent: +32  Serpent Wards attack damage reduced to +30.', 'Increased base armor from 1 to 2.', 'Talents:']"
7.26b,"['Level 10 left talent: +10% spell damage amplification reduced to +8%.', 'Level 10 right talent: +200 health reduced to +175.', 'Level 15 left talent: -5s  Hex cooldown reduced to -4s.', 'Level 15 right talent: +125 cast range reduced to +100.', 'Level 20 right talent: +2.5s  Shackles duration reduced to +2s.', 'Level 25 left talent: +40  Serpent Wards attack damage reduced to +32.', 'Level 25 right talent: +400  Ether Shock attack damage reduced to +320.', 'Talents:']"
7.23e,"['Talents:', 'Level 10 left talent changed: +20% experience gain -> +10% spell damage amplification.']"
7.23,"['Level 25 left talent: +50  Serpent Wards attack damage reduced to +40.', 'Increased  Serpent Wards attack damage from 50/75/100 to 50/80/110.', 'Talents:']"
7.22c,['Reduced base attack speed from 100 to 90.']
7.22,['Increased  Ether Shock mana cost from 95/105/135/160 to 100/120/140/160.']
7.21d,['Reduced base  intelligence from 21 to 19.']
7.21c,['Increased  Shackles cooldown from 10 on each level to 16/14/12/10.']
7.21,"['Level 20 right talent: +3s  Shackles duration reduced to +2.5s.', 'Increased  intelligence gain from 3 to 3.5.', 'Talents:']"
7.20,"['Increased  strength gain from 2.1 to 2.3.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Hex is now dispellable with strong dispels.', ' Mass Serpent Ward\nNow spawns the wards in a circular formation, witn a 150 radius, instead of a square formation with a 64 range diameter.\nNow has an AoE targeting cursor.\nIncreased  Serpent Wards collision size from 8 to 16.', 'Now spawns the wards in a circular formation, witn a 150 radius, instead of a square formation with a 64 range diameter.', 'Now has an AoE targeting cursor.', 'Increased  Serpent Wards collision size from 8 to 16.']"
7.19,['Increased base armor from 0 to 1.']
7.18,['Increased  Serpent Wards  attack damage from 40/70/100 to 50/75/100.']
7.17,"['Level 15 left talent: -4s  Hex cooldown increased to -5s.', 'Level 25 left talent: +60  Serpent Wards attack damage reduced to +50.', 'Increased base  intelligence from 19 to 21.', 'Reduced  Hex mana cost from 110/140/170/200 to 70/110/150/190.', 'Talents:']"
7.15,"['Reduced base  intelligence from 21 to 19.', 'Increased base attack damage from 50-57 to 52-59.']"
7.14,"[""Fixed  Ether Shock's max distance not being increased by cast range bonuses.""]"
7.13b,['Increased base  strength from 21 to 23.']
