7.26b,"['Level 10 left talent: +15 movement speed reduced to +10.', 'Level 10 right talent: +250 health reduced to +200.', 'Level 15 left talent: +60  Scatterblast damage reduced to +48.', 'Level 15 right talent: 250  Firesnap Cookie heal reduced to 200.', 'Level 20 left talent: +25%  Mortimer Kisses movement speed slow reduced to +20%.', 'Level 25 left talent: +8  Mortimer Kisses count reduced to +6.', 'Level 25 right talent: 3s  Scatterblast disarm reduced to 2.5s.', 'Talents:']"
7.25c,['Reduced  Firesnap Cookie damage from 90/160/230/300 to 70/140/210/280.']
7.25,"['Increased  Scatterblast cooldown from 10 on each level to 13/12/11/10.', ""Added  Aghanim's Scepter upgrade for Snapfire: Grants new ability -  Gobble Up,   Spit Out""]"
7.24b,"['Reduced  Firesnap Cookie stun duration from 1.6/1.9/2.2/2.5 to 1.6/1.8/2/2.2.', 'Reduced  Mortimer Kisses impact damge from 200/300/400 to 160/240/320.']"
7.24,"[""Added to Captain's Mode."", 'Reduced base attack damage from 30-36 to 26-32.']"
7.23f,"['Reduced base armor from 1 to 0.', 'Increased  Mortimer Kisses cooldown from 90 to 110.']"
7.23e,"[""Reduced  Lil' Shredder damage from 40/55/70/85 to 35/50/65/80."", 'Reduced  Mortimer Kisses movement speed slow from 25% on each level to 15%/20%/25%.']"
7.23b,"['Can now be cast on and affect rooted allies.', 'Reduced cast time when cast on self from 0.4 to 0.3.', 'Increased projectile speed from 800 to 1000.', 'Reduced cooldown from 24/22/20/18 to 24/21/18/15.', ' Firesnap Cookie\nCan now be cast on and affect rooted allies.\nReduced cast time when cast on self from 0.4 to 0.3.\nIncreased projectile speed from 800 to 1000.\nReduced cooldown from 24/22/20/18 to 24/21/18/15.', "" Lil' Shredder\nReduced damage from 45/60/75/90 to 40/55/70/85.\nReduced attack speed slow per stack from 20/25/30/35 to 15/20/25/30.\nIncreased mana cost from 75 to 90."", 'Reduced damage from 45/60/75/90 to 40/55/70/85.', 'Reduced attack speed slow per stack from 20/25/30/35 to 15/20/25/30.', 'Increased mana cost from 75 to 90.']"
7.23a,"['Increased  strength gain from 2.3 to 3.3', 'Increased base armor from -1 to 1.', ' Firesnap Cookie\nIncreased cast range from 500 to 700.\nIncreased stun duration from 1.4/1.6/1.8/2 to 1.6/1.9/2.2/2.5.', 'Increased cast range from 500 to 700.', 'Increased stun duration from 1.4/1.6/1.8/2 to 1.6/1.9/2.2/2.5.', ""Increased  Lil' Shredder damage from 30/45/60/75 to 45/60/75/90."", ' Mortimer Kisses\nIncreased impact damage from 175/250/325 to 200/300/400.\nIncreased movement speed slow from 15% to 25%.\nReduced minimum travel time from 1 to 0.8.\nReduced max travel time from 2.5 to 2.', 'Increased impact damage from 175/250/325 to 200/300/400.', 'Increased movement speed slow from 15% to 25%.', 'Reduced minimum travel time from 1 to 0.8.', 'Reduced max travel time from 2.5 to 2.']"
7.23,['Created.']
