7.26c,"['Level 10 right talent: 20% cooldown reduction reduced to 15%.', 'Level 15 left talent: +16%  Shrapnel movement speed slow reduced to +14%.', 'Reduced  Shrapnel movement slow from 15%/20%/25%/30% to 12%/18%/24%/30%.', ""Reduced  Aghanim's Scepter upgraded  Assassinate stun duration from 1.8 to 1.5."", 'Talents:']"
7.26b,"['Level 10 left talent:', 'Level 10 right talent: 25% cooldown reduction reduced to 20%.', 'Level 15 left talent: +20%  Shrapnel movement speed slow reduced to +16%.', 'Level 15 right talent: +40 attack speed reduced to +30.', 'Level 20 left talent: +30  Shrapnel damage per second reduced to +24.', 'Level 20 right talent: +35  Headshot knockback distance reduced to +28.', 'Level 25 left talent: +6  Shrapnel charges reduced to +5.', 'Level 25 right talent: +125 attack range reduced to +100.', 'Talents:']"
7.25,"['Increased base attack damage from 15-21 to 19-25.', 'Reduced  Headshot damage from 30/60/90/120 to 20/50/80/110.', ""Reduced  Aghanim's Scepter upgraded  Assassinate cast time from 1 to 0.5.""]"
7.23c,['Increased  agility gain from 3.1 to 3.4.']
7.23,"['Level 20 left talent changed: -1.5s  Assassinate cast time -> +30  Shrapnel damage per second.', 'Increased  Shrapnel damage per second from 15/35/55/75 to 20/40/60/80.', ""Reworked  Aghanim's Scepter upgrade\nOld: Turns  Assassinate into a 400 radius ground target ability. Causes the projectiles to apply an instant attack with 280% critical damage and ensured  Headshot proc on enemies, instead of doing fixed magical damage. Targets heroes only.\nNew: Reduces  Assassinate cast time from 2 to 1, and increases stun duration from 0.01 to 1.8."", 'Old: Turns  Assassinate into a 400 radius ground target ability. Causes the projectiles to apply an instant attack with 280% critical damage and ensured  Headshot proc on enemies, instead of doing fixed magical damage. Targets heroes only.', 'New: Reduces  Assassinate cast time from 2 to 1, and increases stun duration from 0.01 to 1.8.', 'Talents:']"
7.21d,"['Reduced  Shrapnel charge replenish time from 50 to 40.', 'Reduced  Take Aim cooldown from 15/12/9/6 to 9/8/7/6.']"
7.21c,"['Reduced  Shrapnel charge replenish time from 55 to 50.', 'Increased  Headshot damage from 20/50/80/110 to 30/60/90/120.']"
7.21b,"['Level 15 left talent: +15%  Shrapnel movement speed slow increased to +20%.', 'Increased base  strength from 17 to 19.', 'Talents:']"
7.21,"['Level 15 left talent changed: +35  Shrapnel damage per second -> +15%  Shrapnel movement speed slow.', 'Increased  agility gain from 2.7 to 3.1.', ' Headshot now knocks enemies back by 10 range upon proccing. [?]', 'Talents:']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Take Aim can now be activated to double the attack range bonus for one attack. Has a cooldown of 15/12/9/6 and a mana cost of 30. The cooldown starts upon performing the attack.', ' Assassinate no longer pierces spell immunity.']"
