7.26c,"['Level 10 right talent: +6  strength increased to +7.', 'Level 15 right talent changed: +25 movement speed -> 15% lifesteal.', 'Level 20 right talent changed: 20% lifesteal -> +25 movement speed.', 'Reduced  Storm Hammer cooldown from 19/17/15/13 to 18/16/14/12.', 'Talents:']"
7.26b,"['Level 10 left talent: +3 mana regen reduced to +2.5.', 'Level 10 right talent: +8  strength reduced to +6.', 'Level 15 right talent: +30 movement speed reduced to +25.', 'Level 20 left talent: -6s  Storm Hammer cooldown reduced to -5s.', 'Level 20 right talent: 25% lifesteal reduced to 20%.', 'Level 25 left talent: +1.25s  Storm Hammer stun duration reduced to +1s.', ""Level 25 right talent: +40  God's Strength strength reduced to +32."", 'Talents:']"
7.25,['Increased base movement speed from 310 to 315.']
7.24,"['Increased  Storm Hammer damage from 80/160/240/320 to 110/180/250/320.', ' Warcry\nIncreased self movement bonus from 6%/10%/14%/18% to 10%/14%/18%/22%.\nReduced cooldown from 36/32/28/24 to 32/28/24/20.', 'Increased self movement bonus from 6%/10%/14%/18% to 10%/14%/18%/22%.', 'Reduced cooldown from 36/32/28/24 to 32/28/24/20.']"
7.23,['Reworked  Warcry']
7.22f,['Reduced  Storm Hammer stun duration from 1.4/1.6/1.8/2 to 1.25/1.5/1.75/2.']
7.22e,"['Reduced base  strength from 23 to 22.', ""Increased  God's Strength cooldown from 100 to 110.""]"
7.22d,"['Reduced base attack damage from 43-45 to 41-43.', 'Increased  Storm Hammer cooldown from 16/15/14/13 to 19/17/15/13.', 'Reduced  Warcry shield base capacity from 60/90/120/150 to 60/80/100/120.']"
7.22c,"['Reduced  Storm Hammer stun duration from 1.7/1.8/1.9/2 to 1.4/1.6/1.8/2.', 'Increased  Warcry mana cost from 40 to 60.']"
7.21c,['Reduced  strength gain from 3.5 to 3.2.']
7.21b,"['Reduced  Great Cleave damage from 45%/60%/75%/90% to 30%/50%/70%/90%.', ' Warcry\nReduced movement speed bonus from 8%/12%/16%/20% to 5%/10%/15%/20%.\nReduced shield base capacity from 80/110/140/170 to 60/90/120/150.', 'Reduced movement speed bonus from 8%/12%/16%/20% to 5%/10%/15%/20%.', 'Reduced shield base capacity from 80/110/140/170 to 60/90/120/150.', ""Increased  God's Strength cooldown from 80 to 100.""]"
7.21,"['Increased  strength gain from 3 to 3.5.', 'Increased movement speed from 295 to 310.', ' Storm Hammer\nReduced damage from 100/175/250/325 to 80/160/240/320.\nIncreased cooldown from 13 on each level to 16/15/14/13.', 'Reduced damage from 100/175/250/325 to 80/160/240/320.', 'Increased cooldown from 13 on each level to 16/15/14/13.', "" Warcry\nThe shield no longer has 25% more capacity on the caster.\nThe shield capacity now grows stronger by 100%/150%/200%/250% of the caster's strength.\nReduced shield base capacity from 110/220/330/440 to 80/110/140/170."", 'The shield no longer has 25% more capacity on the caster.', ""The shield capacity now grows stronger by 100%/150%/200%/250% of the caster's strength."", 'Reduced shield base capacity from 110/220/330/440 to 80/110/140/170.']"
7.20e,"['Increased movement speed from 290 to 295.', ' Warcry shield now has 25% more capacity on the caster than on allies.']"
7.20d,['Increased movement speed from 285 to 290.']
7.20b,['Increased  Warcry shield capacity from 100/200/300/400 to 110/220/330/440.']
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Great Cleave\nCleave damage is now affected by armor value as well. [?]\nIncreased distance from 625 to 650.\nIncreased end radius from 330 to 360.\nIncreased cleave damage from 40%/50%/60%/70% to 45%/60%/75%/90%.', 'Cleave damage is now affected by armor value as well. [?]', 'Increased distance from 625 to 650.', 'Increased end radius from 330 to 360.', 'Increased cleave damage from 40%/50%/60%/70% to 45%/60%/75%/90%.', 'Reworked  Warcry']"
7.19,['Increased base attack damage from 41-43 to 43-45.']
7.18,['Increased  Great Cleave damage from 30%/42%/54%/66% to 40%/50%/60%/70%.']
7.17,['Reduced  Storm Hammer mana cost from 140 on each level to 110/120/130/140.']
7.16,"['Level 20 left talent: -5s  Storm Hammer cooldown increased to -6s.', 'Level 25 left talent: +0.75s  Storm Hammer stun duration increased to +1.25s.', 'Talents:']"
7.14,"['Increased distance from 570 to 625.', 'Increased end radius from 300 to 330.', ' Great Cleave\nIncreased distance from 570 to 625.\nIncreased end radius from 300 to 330.']"
7.13b,"['Reduced base armor from 2 to 1.', 'Reduced movement speed from 290 to 285.']"
7.10,"['Level 15 left talent changed: +30 attack damage ->  Storm Hammer applies basic dispel.', 'Level 20 left talent changed:  Storm Hammer applies basic dispel -> -5s  Storm Hammer cooldown.', 'Level 25 left talent changed: -9s  Storm Hammer cooldown -> +0.75s  Storm Hammer stun duration.', 'Talents:']"
7.07b,"['Level 25 left talent: -8s  Storm Hammer cooldown increased to -9s.', ""Reduced  God's Strength strength bonus from 12/24/36 to 10/20/30."", 'Talents:']"
7.07,"['Level 10: +225 mana or +6  strength', 'Level 15: +8 all stats or +20 movement speed', 'Level 20: 20% evasion or +30 attack speed', 'Level 25: -8s  Storm Hammer cooldown or +65 attack damage', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06f,"['Reduced  Storm Hammer stun duration from 2 on each level to 1.7/1.8/1.9/2.', 'Increased  Warcry cooldown from 34/28/22/16 to 35/30/25/20']"
7.06e,['Increased  Warcry cooldown from 32/26/20/14 to 34/28/22/16.']
7.06b,"['Increased base attack time from 1.7 to 1.8.', ""Reduced  God's Strength strength bonus from 16/28/40 to 12/24/36.""]"
7.06,"['Increased  strength gain from 2.7 to 3.', 'Reduced base health regeneration from 0.25 to 0.', "" God's Strength\nNow also grants 16/28/40 strength.\nReduced attack damage bonus from 100%/150%/200% to 80%/120%/160%."", 'Now also grants 16/28/40 strength.', 'Reduced attack damage bonus from 100%/150%/200% to 80%/120%/160%.']"
7.05,"['Level 10 left talent: +200 mana increased to +225.', 'Level 20 left talent: 15% evasion increasedto 20%.', 'Level 25 left talent: -6s  Storm Hammer cooldown increased to -8s.', 'Increased  Great Cleave cleave distance from 550 to 570.', 'Talents:']"
7.02,"['Level 25 left talent: -5s  Storm Hammer cooldown increased to -6s.', 'Talents:']"
