7.26c,"['Level 10 left talent changed: 12% evasion -> +15 movement speed', 'Level 10 right talent: +20 attack speed reduced to +15.', 'Level 15 right talent changed: +15 movement speed -> 15% evasion', 'Level 25 left talent: +3  Refraction instances increased to +4.', 'Talents:']"
7.26b,"['Level 10 left talent: 15% evasion reduced to 12%.', 'Level 10 right talent: +25 attack speed reduced to +20.', 'Level 15 left talent: +200  Psionic Trap damage reduced to +160.', 'Level 15 right talent: +20 movement speed reduced to +15.', 'Level 20 left talent: +4  Meld armor reduction reduced to +3.', 'Level 25 left talent: +4  Refraction instances reduced to +3.', 'Level 25 right talent: 1.25s  Meld bash on attack reduced to 1s.', 'Talents:']"
7.25,['Reduced  Psionic Projection channel time from 2 to 1.']
7.23c,"['Level 15 right talent: +25 movement speed reduced to +20.', 'Level 25 right talent: 1.5s  Meld bash on attack reduced to 1.25s.', 'Talents:']"
7.23,"['Increased  Psi Blades spill width from 75 to 90.', 'Reduced  Psionic Projection cooldown from 30 to 15.']"
7.22d,[' Refraction no longer applies its bonus damage upon attack allied units. [?]']
7.22,"[""Added  Aghanim's Scepter upgrade for Templar Assassin: Grants Templar Assassin the  Psionic Projection ability:""]"
7.21d,"['Increased  agility gain from 2.8 to 3.2.', 'Increased  Meld debuff duration from 10 to 12.']"
7.21c,"['Increased  agility gain from 2.6 to 2.8.', 'Increased  Refraction attack damage bonus from 20/40/60/80 to 25/50/75/100.']"
7.21b,"["" Meld's debuff from multiple attacks now fully stacks.""]"
7.21,"['Level 10 left talent changed: +3  Psionic Trap max count -> 15% evasion.', 'Level 15 right talent changed: +7 armor -> +25 movement speed.', 'Increased  agility gain from 2.3 to 2.6.', 'Reduced movement speed from 310 to 305.', ' Meld\nNow applies the armor reduction debuff before the attack damage is applied, instead of after. [?]\nNo longer counts as spell damage. [?]', 'Now applies the armor reduction debuff before the attack damage is applied, instead of after. [?]', 'No longer counts as spell damage. [?]', 'Talents:']"
7.20,"['Level 20 right talent changed:  Refraction basic dispel on cast ->  Meld basic dispel on cast.', 'Level 25 right talent changed: 100%  Psi Blades movement speed slow [?] -> 1.5s  Meld bash on attack [?]', 'Reduced base health regeneration from 1.75 to 0.25.', 'Reduced base mana regeneration from 0.9 to 0.', ' Psi Blades now works when attacking illusions. [?]', 'Talents:']"
7.19,['Reduced  Psionic Trap damage per second from 50/70/90 to 50/60/70.']
7.18,['Increased  Psionic Trap gold bounty from 1 to 25.']
7.16,['Increased base health regeneration from 1.5 to 1.75.']
7.15,['Increased base  strength from 18 to 19.']
7.12,['Increased movement speed from 300 to 310.']
7.07c,"['Level 10 left talent changed: +250 health -> +3  Psionic Trap max count.', 'Increased damage per second from 35/50/65 to 50/70/90.', 'Reduced trap charge time from 6 to 4.', ' Psionic Trap\nIncreased damage per second from 35/50/65 to 50/70/90.\nReduced trap charge time from 6 to 4.', 'Talents:']"
7.07b,"['Level 10 left talent: +200 health increased to +250.', 'Increased  Psionic Trap damage per second from 20/25/30 to 35/50/65.', 'Talents:']"
7.07,"['Level 10: +20 movement speed or +25 attack speed', 'Level 15: 12% evasion or +6 all stats', 'Level 20: +40 attack damage or +275 health', 'Level 25: +3  Refraction instances or +8  Meld armor reduction', 'Reduced movement speed from 305 to 300.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Psionic Trap now deals 20/25/30 damage per second when fully charged. [?]', 'Reworked talents:']"
7.06,"['Level 25 right talent: -30s respawn time -> +8  Meld armor reduction.', 'Increased  strength gain from 2.1 to 2.4', 'Reduced  agility gain from 2.7 to 2.3', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.02,"['Level 10 left talent: +15 movement speed increased to +20.', 'Level 20 right talent: +250 health increased to +275.', 'Talents:']"
7.00,"['Level 10: +15 movement speed or +25 attack speed', 'Level 15: 12% evasion or +6 all stats', 'Level 20: +40 attack damage or +250 health', 'Level 25: +3  Refraction instances or -30s respawn time', "" Psi Blades now fully works for Templar Assassin's illusions."", 'Added talents:']"
6.88,"['Increased  Psi Blades spill width from 68 to 75.', 'Increased  Psionic Trap max movement speed slow from 50% to 60%. [?]']"
6.86,"["" Refraction's visual effects and status buffs are now always visible.""]"
6.84,"['Damage is no longer reduced by Damage Block.', 'Reduced cooldown from 7 to 6.', ' Meld\nDamage is no longer reduced by Damage Block.\nReduced cooldown from 7 to 6.']"
6.82,"['Reduced  Psionic Trap cooldown from 11/9/7 to 11/8/5.', ' Psi Blades spill damage now hits spell immune units.']"
6.81,"['Reduced cast time from 0.3 to 0.', ""No longer interrupts Templar Assassin's channeling spells upon cast."", "" Trap\nReduced cast time from 0.3 to 0.\nNo longer interrupts Templar Assassin's channeling spells upon cast.""]"
6.77,['Increased  Refraction mana cost from 75 to 100.']
6.76,"[' Psionic Trap now starts at 30% slow, and increases by 5% per second until reaching 50% slow, instead of always being 50%. [?]']"
6.75,[' Psi Blades no longer spill damage when attacking illusions.']
6.74,['Increased  Psi Blades attack range bonus from 40/100/160/220 to 60/120/180/240.']
6.73,['Increased  Refraction number of instances from 2/3/4/5 to 3/4/5/6.']
6.72,['Increased  Psi Blades spill width from 70 to 80.']
6.70,['Increased base attack damage from 22-32 to 31-36. (total attack damage is now 53-59).']
6.68,['Increased  Psi Blades spill range from 320 on each level to 320/340/360/380.']
6.64,"["" Psionic Trap now automatically adds placed traps to the player's current selection group.""]"
6.63,['Increased  strength gain from 1.7 to 2.1.']
6.60,"['Reduced duration from 20 to 17.', 'Reduced cooldown from 23 to 17.', 'Reduced cast time from 0.3 to 0.', ' Refraction\nReduced duration from 20 to 17.\nReduced cooldown from 23 to 17.\nReduced cast time from 0.3 to 0.', ' Psi Blades\nRescaled attack range bonus from 50/100/150/200 to 40/100/160/220.\nIncreased spill range from 80/160/240/320 to 320 on each level.', 'Rescaled attack range bonus from 50/100/150/200 to 40/100/160/220.', 'Increased spill range from 80/160/240/320 to 320 on each level.']"
6.58,['Increased turn rate from 0.4 to 0.7.']
6.55,['Reduced  Psionic Trap cooldown from 14 on each level to 11/9/7.']
