7.26b,"['Level 10 left talent: +2.5 mana regen reduced to +2.', 'Level 10 right talent: +225 health reduced to +175.', 'Level 15 left talent: +8  Reactive Armor max stacks reduced to +6.', 'Level 15 right talent: +10% spell damage amplification reduced to +8%.', 'Level 20 left talent: 15% cooldown reduction reduced to 12%.', 'Level 20 right talent: +20  strength reduced to +16.', 'Level 25 left talent: +1400  Timber Chain range reduced to +1125.', 'Level 25 right talent: +12%  Whirling Death attribute reduction reduced to +10%.', 'Talents:']"
7.24b,['Reduced  Reactive Armor armor bonus per stack from 1/1.1/1.2/1.3 to 0.9/1/1.1/1.2.']
7.23,['Increased  agility gain from 1.3 to 1.6.']
7.22c,"['Increased base  strength from 21 to 23.', 'Increased base mana regeneration from 0 to 0.25.']"
7.22,"['Level 10 right talent changed: +25% experience gain -> +225 health.', 'Level 10 left talent changed: +6% spell damage amplification -> +2.5 mana regen.', 'Level 15 right talent changed: +100 attack damage -> +10% spell damage amplification.', 'Level 15 left talent: +5  Reactive Armor max stacks increased to +8.', 'Level 20 right talent: +15  strength increased to +20.', 'Increased  strength gain from 2.8 to 3.2.', 'Increased  intelligence gain from 2.4 to 2.7.', 'Increased base armor from -2 to -1.', 'Talents:']"
7.21b,"['Increased base  intelligence from 21 to 23.', 'Increased  Whirling Death primary attribute reduction from 12%/13%/14%/15% to 13%/14%/15%/16%.']"
7.21,"['Level 20 left talent: 10% cooldown reduction increased to 15%.', 'Increased  strength gain from 2.4 to 2.8.', 'Increased  Whirling Death bonus damage per tree from 10/15/20/25 to 12/18/24/30.', ' Reactive Armor\nReduced armor bonus per stack from 1.3/1.4/1.5/1.6 to 1/1.1/1.2/1.3.\nReduced health regen bonus per stack from 1/1.2/1.4/1.6 to 1/1.1/1.2/1.3.\nIncreased max stacks from 5/10/15/20 to 6/12/18/24.', 'Reduced armor bonus per stack from 1.3/1.4/1.5/1.6 to 1/1.1/1.2/1.3.', 'Reduced health regen bonus per stack from 1/1.2/1.4/1.6 to 1/1.1/1.2/1.3.', 'Increased max stacks from 5/10/15/20 to 6/12/18/24.', 'Talents:']"
7.20d,['Increased movement speed from 285 to 290.']
7.20c,"['Increased  strength gain from 2.1 to 2.4.', 'Increased  Whirling Death bonus damage per tree from 10/14/18/22 to 10/15/20/25.']"
7.20,"['Level 25 right talent: +8%  Whirling Death attribute reduction increased to +12%.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Whirling Death\nNow always deals pure damage, instead of pure when also cutting a tree on cast, and magical when no trees were cut.\nNow deals 10/14/18/22 extra damage for each tree cut upon cast.\nReduced base damage from 100/150/200/250 to 90/120/150/180.\nReduced attribute reduction from 15% on each level to 12%/13%/14%/15%.', 'Now always deals pure damage, instead of pure when also cutting a tree on cast, and magical when no trees were cut.', 'Now deals 10/14/18/22 extra damage for each tree cut upon cast.', 'Reduced base damage from 100/150/200/250 to 90/120/150/180.', 'Reduced attribute reduction from 15% on each level to 12%/13%/14%/15%.', 'Increased  Reactive Armor health regen bonus per stack from 1/1.15/1.3/1.45 to 1/1.2/1.4/1.6.', ' Chakram now fully affects ancient creeps.', 'Talents:']"
7.19,['Increased  Reactive Armor armor bonus per stack from 1/1.2/1.4/1.6 to 1.3/1.4/1.5/1.6.']
7.18,['Increased  Whirling Death attribute reduction from 13% to 15%.']
7.14,"['The stats reduction now also considers bonus attributes, instead of just reducing base attributes.', 'Reduced attribute reduction from 15% to 13%.', ' Whirling Death\nThe stats reduction now also considers bonus attributes, instead of just reducing base attributes.\nReduced attribute reduction from 15% to 13%.']"
7.13b,['Reduced movement speed from 290 to 285.']
7.12,"['Reduced initial mana cost from 100/150/200 to 80/140/200.', 'Reduced mana cost per second from 20/25/30 to 16/23/30.', "" Chakram and  Chakram (Aghanim's Scepter)\nReduced initial mana cost from 100/150/200 to 80/140/200.\nReduced mana cost per second from 20/25/30 to 16/23/30.""]"
7.07,"['Level 10: +20% experience gain or +150 health', 'Level 15: +20  intelligence or +14 health regen', 'Level 20: +150 cast range or +5% spell damage amplification', 'Level 25: +20  strength or +6%  Whirling Death attribute reduction', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reduced  Reactive Armor health regeneration bonus per stack from 1/1.2/1.4/1.6 to 1/1.15/1.3/1.45.', 'Reworked talents:']"
7.06,"['Increased  strength gain from 1.8 to 2.1.', 'Reduced base health regeneration from 0.25 to 0.']"
7.02,"['Level 10 left talent: +10% experience gain increased to +20%.', 'Level 15 left talent: +15  intelligence increased to +20.', 'Level 20 left talent: +125 cast range increased to +150.', 'Talents:']"
7.00,"['Level 10: +10% experience gain or +150 health', 'Level 15: +15  intelligence or +14 health regen', 'Level 20: +125 cast range or +5% spell damage amplification', 'Level 25: +20  strength or +6%  Whirling Death attribute reduction', ' Timber Chain can no longer be cast while rooted.', ' Chakram no longer affects ancient creeps. [?]', 'Added talents:']"
6.88e,['Reduced base  strength from 22 to 21.']
6.88c,['Reduced  Reactive Armor stack duration from 14/16/18/20 to 10/13/16/19.']
6.88b,['Reduced  strength gain from 2.1 to 1.8.']
6.87,"['Increased attack range from 128 to 150.', 'Increased  Whirling Death debuff duration from 11 to 14.', 'Increased  Reactive Armor health regeneration and armor bonus per stack from 1 on each level to 1/1.2/1.4/1.6.']"
6.86,"['Increased debuff duration from 7 to 11.', 'Reduced mana cost from 70/80/90/100 to 70 on each level.', ' Whirling Death\nIncreased debuff duration from 7 to 11.\nReduced mana cost from 70/80/90/100 to 70 on each level.', 'Rescaled  Reactive Armor stack duration from 16 on each level to 14/16/18/20.']"
6.85,['Reduced  Whirling Death cooldown from 8 to 6.']
6.84,"['Now grants a stack when attacks land rather when attacks begin.', 'Increased max stacks from 4/8/12/16 to 5/10/15/20.', ' Reactive Armor\nNow grants a stack when attacks land rather when attacks begin.\nIncreased max stacks from 4/8/12/16 to 5/10/15/20.']"
6.82,"[""Added  Aghanim's Scepter: Grants Timbersaw a second  Chakram.""]"
6.80,['Reduced base  strength from 25 to 22.']
6.79c,['Fixed   Whirling Death not restoring enough health after the debuff wears off.']
6.79,['Increased  Chakram mana cost from 75/125/175 to 100/150/200.']
