7.26c,"['Level 10 right talent: +40 attack damage increased to +60.', 'Level 20 left talent: +30  Leech Seed damage/heal increased to +40.', 'Level 25 right talent: +80  Overgrowth damage per second increased to +100.', 'Talents:']"
7.26b,"['Level 10 right talent: +50 attack damage reduced to +40.', ""Level 15 left talent: +30  Nature's Grasp damage per second reduced to +24."", 'Level 15 right talent: +60  Living Armor max heal reduced to +48.', 'Level 20 left talent: +40  Leech Seed damage/heal reduced to +30.', 'Level 20 right talent: 15% cooldown reduction reduced to 12%.', 'Level 25 left talent: 550 AoE  Living Armor reduced to 450.', 'Level 25 right talent: +100  Overgrowth damage per second reduced to +80.', 'Talents:']"
7.25,"[""Increased  Nature's Guise heal and regen amplification from 25% to 40%.""]"
7.24,"['Reduced  strength gain from 3.5 to 3.4.', ""Increased  Nature's Grasp mana cost from 60/70/80/90 to 75/80/85/90."", 'Reduced  Living Armor armor bonus from 4/6/8/10 to 5/6/7/8.']"
7.23f,"['Reduced  strength gain from 3.7 to 3.5.', 'Reduced  Leech Seed movement speed slow from 26%/34%/42%/50% to 18%/24%/30%/36%.', 'Increased  Overgrowth mana cost from 150/175/200 to 200/250/300.']"
7.23e,"['Level 25 left talent: 700 AoE  Living Armor reduced to 550 AoE.', 'Reduced  strength gain from 4.1 to 3.7.', 'Reduced  Overgrowth damage per second from 100 to 75.', 'Talents:']"
7.23d,"['Increased mana cost from 80 to 110.', 'Increased cooldown from 16/15/14/13 to 22/19/16/13.', ' Leech Seed\nIncreased mana cost from 80 to 110.\nIncreased cooldown from 16/15/14/13 to 22/19/16/13.', 'Increased  Overgrowth cooldown from 100/85/70 to 100 on each level.']"
7.23c,"['Tree search radius: 150', 'Heal amplification: 25%', 'Health regen amplification: 25%', 'Movement speed bonus: 15%', 'Damage cooldown: 3', 'Notes: Only reacts on player-based damage. If already within range of a tree, the bonuses are not lost upon taking damage.', ""Added an innate passive ability -  Nature's Guise""]"
7.23b,"['Can no longer directly target trees.', 'Reduced cooldown from 20 on each level to 20/19/18/17.', "" Nature's Grasp\nCan no longer directly target trees.\nReduced cooldown from 20 on each level to 20/19/18/17."", 'Reduced  Leech Seed cooldown from 16 on each level to 16/15/14/13.', 'Increased  Overgrowth damage per second from 50/75/100 to 100 on each level.']"
7.23,"['Cast range: 1500', 'Vine path length: 1500', 'Vines radius: 175', 'Damage per second: 30/40/50/60', 'Tree contact damage increase: 50%', 'Movement speed slow: 25%/30%/35%/40%', 'Duration: 12', 'Mana cost: 60/70/80/90', 'Cooldown: 20', 'Notes: Creates 8 vines over 0.8 seconds. The damage and slow are provided by an aura, the debuff lingers for 0.5 seconds.', 'Increased base movement speed from 270 to 280.', ""Removed  Nature's Guise."", ""Added new ability -  Nature's Grasp""]"
7.22c,"['Increased base armor from -2 to -1.', 'Increased  Overgrowth duration from 3.25/4/4.75 to 3.5/4.25/5.']"
7.22,"['Tree search radius: 265', 'Fade delay: 4/3.5/3/2.5', 'Movement speed bonus: 14%/18%/22%/26%', 'Root total damage: 30/90/150/210', 'Root duration: 0.4/1/1.6/2.2', 'Notes: The invisibility is lost upon getting too far from a tree for 0.75 seconds or upon attacking. Casting spells or items does not break it. The attack out of the invisibility has true strike.', 'Increased base mana regeneration from 0 to 0.5.', ""Reworked  Nature's Guise""]"
7.21b,['Increased  Living Armor damage block from 25/50/75/100 to 40/60/80/100.']
7.21,"['Level 20 left talent: +40  Leech Seed damage/heal increased to +50.', 'Increased  strength gain from 3.6 to 4.1.', 'Increased  Living Armor damage block from 20/40/60/80 to 25/50/75/100.', "" Overgrowth\n Aghanim's Scepter Overgrowth damage is no longer limited to the Overgrowth applied by enchanted trees. [?]\nIncreased duration from 3/3.75/4.5 to 3.25/4/4.75."", "" Aghanim's Scepter Overgrowth damage is no longer limited to the Overgrowth applied by enchanted trees. [?]"", 'Increased duration from 3/3.75/4.5 to 3.25/4/4.75.', 'Talents:']"
7.20d,['Increased movement speed from 265 to 270.']
