7.26b,"['Level 10 left talent: +250 health reduced to +200.', 'Level 10 right talent: +10  agility reduced to +8.', 'Level 15 left talent: +90  Whirling Axes damage reduced to +70.', 'Level 20 left talent: +40 attack damage reduced to +30.', 'Level 20 right talent: 25% evasion reduced to 20%.', 'Level 25 right talent: -6s  Whirling Axes cooldown reduced to -5s.', 'Talents:']"
7.24,['Increased base attack damage from 23-35 to 27-35.']
7.23,"['Increased  agility gain from 2.9 to 3.3.', ""Increased  Berserker's Rage root chance from 10%/12%/14%/16% to 14%/16%/18%/20%""]"
7.22e,"["" Whirling Axes (Melee)'s blind now uses pseudo-random distribution.""]"
7.22c,['Reduced  Whirling Axes (Melee) damage from 75/125/175/225 to 50/100/150/200.']
7.22,"[""Added  Aghanim's Scepter upgrade for Troll Warlord: Reduces  Battle Trance cooldown to 35 seconds, and allows it to be cast on allied and enemy heroes. Has a cast range of 525, and lasts half the duration on enemy heroes.""]"
7.21c,"['Level 20 left talent: +50 attack damage reduced to +40.', 'Talents:']"
7.21,"['Level 15 left talent: +75  Whirling Axes increased to +90.', 'Level 20 right talent: 20% evasion increased to 25%.', 'Increased  agility gain from 2.5 to 2.9.', 'Reduced movement speed from 295 to 290.', 'Talents:']"
7.20,"['Cast time: 0', 'Enemy search radius: 900', 'Lifesteal: 40%/60%/80%', 'Movement speed bonus: 30%/35%/40%', 'Attack speed bonus: 140/170/200', 'Duration: 6.5', 'Mana cost: 150', 'Cooldown: 90', ""Notes: Troll Warlord's health cannot drop below 1 while active. Troll Warlord cannot be controlled by the player while active, but can still cast spells, but not items.  Whirling Axes (Ranged) has an instant cast time and does not require facing to cast during Battle Trance."", 'Increased base attack damage from 17-35 to 23-35.', 'Reduced base health regeneration from 1.75 to 0.25.', 'Reduced base mana regeneration from 0.9 to 0.', ""Troll Warlord is no longer restricted from using  Skull Basher's and  Abyssal Blade's bashes."", "" Berserker's Rage\nNow roots the target, instead of bashing it. [?]\nNo longer deals 20/30/40/50 damage upon proccing.\nCan no longer proc upon attacking allies.\nNo longer pierces spell immunity.\nIncreased proc chance from 10% on each level to 10%/12%/14%/16%."", 'Now roots the target, instead of bashing it. [?]', 'No longer deals 20/30/40/50 damage upon proccing.', 'Can no longer proc upon attacking allies.', 'No longer pierces spell immunity.', 'Increased proc chance from 10% on each level to 10%/12%/14%/16%.', ' Fervor\nNow only counts attack which land on targets, instead of upon reaching attack point. [?]\nWhen switching attack targets, the first attack against a new target now only clears the stacks of a previous target, instead of clearing the stacks and granting a new stack.\nIncreased max stacks from 7 to 12.', 'Now only counts attack which land on targets, instead of upon reaching attack point. [?]', 'When switching attack targets, the first attack against a new target now only clears the stacks of a previous target, instead of clearing the stacks and granting a new stack.', 'Increased max stacks from 7 to 12.', 'Reworked  Battle Trance']"
7.16,['Increased base health regeneration from 1.5 to 1.75.']
7.15,['Increased base  strength from 20 to 21.']
7.12,"[""Reduced  Berserker's Rage base attack time from 1.5 to 1.45.""]"
7.10,"['Level 10 left talent: +200 health increased to +250.', 'Level 15 left talent: +50  Whirling Axes damage increased to +75.', 'Talents:']"
7.07,"['Level 10: +10  agility or +7  strength', 'Level 15: +6 armor or +15 movement speed', 'Level 20: +40 attack damage or +350 health', 'Level 25: -7s  Whirling Axes cooldown or +20% magic resistance', 'Reduced movement speed from 300 to 295.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Whirling Axes (Ranged)\nReduced cooldown from 19/16/13/10 to 9 on each level.\nIncreased movement speed slow from 30% to 40%.\nReduced slow duration from 3/3.75/4.5/5.25 to 2.5/3/3.5/4.', 'Reduced cooldown from 19/16/13/10 to 9 on each level.', 'Increased movement speed slow from 30% to 40%.', 'Reduced slow duration from 3/3.75/4.5/5.25 to 2.5/3/3.5/4.', ' Whirling Axes (Melee)\nIs now always visible in the third ability slot, instead of getting swapped out with the ranged version. [?]\nAs a result, the hotkey changed from W to E. [?]\nRescaled blind duration from 4/5/6/7 to 5 on each level.\nReduced cooldown from 12 to 9.', 'Is now always visible in the third ability slot, instead of getting swapped out with the ranged version. [?]', 'As a result, the hotkey changed from W to E. [?]', 'Rescaled blind duration from 4/5/6/7 to 5 on each level.', 'Reduced cooldown from 12 to 9.', 'Moved  Fervor from the third to the fourth ability slot. [?]', 'Reworked talents:']"
7.06c,['Increased  Battle Trance cooldown from 30 to 35.']
7.06b,['Reduced  agility gain from 2.75 to 2.5.']
7.06,"['Increased  strength gain from 2.2 to 2.5.', 'Reduced base health regeneration from 0.25 to 0.']"
7.02,"['Level 10 right talent: +6  strength increased to +7.', 'Level 20 right talent: +300 health increased to +350.', 'Talents:']"
7.00,"['Level 10: +10  agility or +6  strength', 'Level 15: +6 armor or +15 movement speed', 'Level 20: +40 attack damage or +300 health', 'Level 25: -7s  Whirling Axes cooldown or +20% magic resistance', 'Added talents:']"
6.88,"['Increased base  strength from 17 to 20.', "" Berserker's Rage\nNo longer grants 100 health.\nIncreased armor bonus from 3 to 6.\nReduced base attack time from 1.55 to 1.5."", 'No longer grants 100 health.', 'Increased armor bonus from 3 to 6.', 'Reduced base attack time from 1.55 to 1.5.', 'Increased  Whirling Axes (Ranged) travel distance from 945 to 1000.']"
6.87,"[""Reduced  Berserker's Rage attack range loss from 372 to 350. [?]"", 'Reduced  Whirling Axes (Ranged) cooldown from 20/18/16/14 to 19/16/13/10.', 'Increased  Fervor max stacks from 6 to 7.']"
6.86,"['Reduced  Whirling Axes (Ranged) cooldown from 20/19/18/17 to 20/18/16/14.', ' Fervor\nReduced attack speed bonus per stack from 20/25/30/35 to 15/20/25/30.\nIncreased max stacks from 4 to 6.', 'Reduced attack speed bonus per stack from 20/25/30/35 to 15/20/25/30.', 'Increased max stacks from 4 to 6.']"
6.85,['Increased  Fervor attack speed bonus per stack from 16/22/28/34 to 20/25/30/35.']
6.84,"['Troll Warlord is no longer restricted from buying  Skull Basher and  Abyssal Blade (their bashes are still disabled on Troll Warlord).', "" Berserker's Rage\nNo longer provides 15 attack damage bonus.\nIs no longer deactivated upon death."", 'No longer provides 15 attack damage bonus.', 'Is no longer deactivated upon death.', ' Whirling Axes (Ranged) no longer provides 800 radius vision for 3 seconds along the path.', ' Whirling Axes (Melee) no longer provides 500 radius vision around the axes.', 'Reduced  Battle Trance duration from 7 to 5.']"
6.82,"['Reduced  Whirling Axes (Ranged) cooldown from 20 to 20/19/18/17.', 'Increased acquisition range from 600 to 800.\nThis affects autoattack range. He now uses the same range as other ranged heroes.', 'This affects autoattack range. He now uses the same range as other ranged heroes.']"
6.81,['Reduced  Whirling Axes (Melee) cast point from 0.2 to 0.']
6.80,"['Rescaled attack speed bonus per stack from 20 on each level to 16/22/28/34.', 'Rescaled max stacks cap from 2/3/4/5 to 4 on each level.', ' Fervor\nRescaled attack speed bonus per stack from 20 on each level to 16/22/28/34.\nRescaled max stacks cap from 2/3/4/5 to 4 on each level.']"
6.79,"[""Increased  Berserker's Rage movement speed bonus from 20/20/20/30 to 10/20/30/40."", 'Reduced  Whirling Axes (Melee) damage from 125/175/225/275 to 75/125/175/225.']"
6.78,"['Increased cooldown from 20 to 30.', 'Reduced duration from 10 to 7.', ' Battle Trance\nIncreased cooldown from 20 to 30.\nReduced duration from 10 to 7.']"
6.75,['Increased  Battle Trance duration on allies from 5 to 10 (same duration as for Troll Warlord).']
