7.26b,"['Level 10 left talent: +0.5s  Walrus PUNCH! stun duration reduced to +0.4s.', 'Level 10 right talent: +10 health regen reduced to +8.', 'Level 15 left talent: +150  Snowball base damage reduced to +120.', 'Level 15 right talent: +400 health reduced to +325.', 'Level 20 left talent: +100%  Walrus PUNCH! critical damage reduced to +80%.', 'Level 20 right talent: -8s  Ice Shards cooldown reduced to -6s.', 'Level 25 left talent: -7s  Snowball cooldown reduced to -6s.', 'Level 25 right talent: 15%  Walrus PUNCH! proc chance reduced to 12%.', 'Talents:']"
7.25,"['Increased base movement speed from 310 to 315.', 'Increased  Ice Shards damage from 60/120/180/240 to 70/140/210/280.']"
7.24,"['Level 10 left talent changed: +90 gold per minute -> +0.5s  Walrus PUNCH! stun duration.', 'Increased base health regen from 0.5 to 1.', 'Talents:']"
7.23e,"['Level 10 right talent changed: +20% experience gain -> +10 health regen.', 'Talents:']"
7.23c,"['Level 10 right talent: +40% experience gain reduced to +20%.', 'Talents:']"
7.23,"['Level 15 right talent: +350 health increased to +400.', 'Level 20 right talent: -6s  Ice Shards cooldown increased to -8s.', 'Increased base movement speed from 305 to 310.', 'Increased base health regen from 0 to 0.5.', 'Talents:']"
7.22f,['Increased base armor from -1 to 0.']
7.22c,['Increased movement speed from 300 to 305.']
7.22,"['Level 20 right talent changed: +300  Snowball roll speed -> -6s  Ice Shards cooldown.', 'Level 25 left talent changed: -6s  Ice Shards cooldown -> -7s  Snowball cooldown.', 'Level 25 right talent:  Walrus PUNCH! passive proc now uses pseudo-random distribution.', 'Level 25 right talent: 12%  Walrus PUNCH! proc chance increased to 15%.', 'Talents:']"
7.21,"['Increased  strength gain from 3.4 to 3.9.', ' Tag Team\nReduced slow duration from 0.5 to 0.4.\nIncreased mana cost from 40/50/60/70 to 70 on each level.\nIncreased cooldown from 15 on each level to 24/21/18/15.', 'Reduced slow duration from 0.5 to 0.4.', 'Increased mana cost from 40/50/60/70 to 70 on each level.', 'Increased cooldown from 15 on each level to 24/21/18/15.']"
7.20d,['Increased movement speed from 295 to 300.']
7.20c,['Increased  strength gain from 3 to 3.4.']
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Replaced  Frozen Sigil with  Tag Team']"
7.16,['Increased  Ice Shards cooldown from 21/18/15/12 to 23/20/17/14.']
7.14,"['Reduced  Ice Shards duration from 7 on each level to 4/5/6/7.', 'Reduced  Snowball speed from 675 on each level to 600/625/650/675.', ""Changed  Frozen Sigil's vision type from flying to ground. [?]""]"
