7.26c,"['Level 10 left talent: +25 movement speed reduced to +20.', 'Level 15 right talent: +150 cast range increased to +175.', 'Reduced  strength gain from 3.3 to 3.', 'Talents:']"
7.26b,"['Level 10 left talent: +30 movement speed reduced to +25.', 'Level 10 right talent: +18  Firestorm damage per wave reduced to +14.', 'Level 15 left talent: +6  Atrophy Aura permanent attack damage bonus per hero reduced to +5.', 'Level 15 right talent: +200 cast range reduced to +150.', 'Level 20 left talent: +25 health regen reduced to +20.', 'Level 20 right talent: +60 attack speed reduced to +50.', 'Level 25 left talent: 25%  Firestorm damage to building reduced to 20%.', 'Level 25 right talent: +0.8s  Pit of Malice root duration reduced to +0.65s.', 'Talents:']"
7.24,"['Level 15 left talent: +7  Atrophy Aura permanent attack damage bonus per hero reduced to +6.', 'Level 15 right talent: +150 cast range increased to +200.', 'Level 20 right talent: +70 attack speed reduced to +60.', 'Talents:']"
7.23,"['Level 15 right talent: +125 cast range increased to +150.', 'Increased  agility gain from 1.3 to 1.6.', 'Increased base armor from 2 to 3.', 'Reduced  Atrophy Aura attack damage reduction from 7%/18%/29%/40% to 5%/15%/25%/35%.', 'Talents:']"
7.22f,"['Reduced  Pit of Malice cooldown from 24/22/20/18 to 22/20/18/16.', 'Reduced  Dark Rift cooldown from 130/120/110 to 130/115/100.']"
7.22e,"['Reduced mana cost from 100/115/130/145 to 80/100/120/140.', 'Reduced cooldown from 30/26/22/18 to 24/22/20/18.', ' Pit of Malice\nReduced mana cost from 100/115/130/145 to 80/100/120/140.\nReduced cooldown from 30/26/22/18 to 24/22/20/18.']"
7.22d,"['Level 10 left talent: +25 movement speed increased to +30.', 'Level 15 left talent changed: +15  Atrophy Aura temporary attack damage bonus per hero -> +7  Atrophy Aura permanent attack damage bonus per hero.', 'Level 15 right talent: +100 cast range increased to +125.', 'Increased  Pit of Malice radius from 390 to 400.', 'Talents:']"
7.22c,['Increased base armor from 1 to 2.']
7.22,"['Increased radius from 375 to 390.', 'Reduced cooldown from 32/28/24/20 to 30/26/22/18.', ' Pit of Malice\nIncreased radius from 375 to 390.\nReduced cooldown from 32/28/24/20 to 30/26/22/18.']"
7.21,"['Increased  strength gain from 2.9 to 3.3.', 'Increased movement speed from 290 to 295.']"
7.20d,['Increased movement speed from 285 to 290.']
7.20b,['Reduced  intelligence gain from 2.6 to 2.3.']
