7.26c,"['Level 10 right talent: +2.5 mana regen reduced to +2.', 'Talents:']"
7.26b,"['Level 10 left talent: +250 health reduced to +200.', 'Level 10 right talent: +3 mana regen reduced to +2.5.', 'Level 15 left talent: +1.5%  Static Field current health as damage reduced to +1.2%', 'Level 15 right talent: +30 movement speed reduced to +25.', 'Level 20 left talent: +0.5s  Lightning Bolt stun duration reduced to +0.4s.', 'Level 20 right talent: 15% cooldown reduction reduced to 12%.', 'Level 25 left talent: +145  Arc Lightning damage reduced to +115.', 'Level 25 right talent: +275 cast range reduced to +225.', 'Talents:']"
7.25,"['Reduced attack point from 0.45 to 0.35.', 'Increased base movement speed from 295 to 300.']"
7.23e,"['Level 10 left talent changed: +20% experience -> +250 health.', 'Talents:']"
7.23c,"['Level 10 left talent: +25% experience gain reduced to +20%.', 'Talents:']"
7.23,"['Level 25 left talent: +155  Arc Lightning damage reduced to +145.', 'Increased  Nimbus mana cost from 275 to 325.', 'Talents:']"
7.22f,['Increased base  intelligence from 21 to 22.']
7.22e,"['Increased damage from 225/325/425 to 250/350/450.', 'Increased mana cost from 225/325/450 to 250/350/450.', "" Thundergod's Wrath\nIncreased damage from 225/325/425 to 250/350/450.\nIncreased mana cost from 225/325/450 to 250/350/450.""]"
7.22d,"['Increased base armor from 0 to 1.', 'Increased  Static Field damage from 5%/7%/9%/11% to 6%/8%/10%/12%.']"
7.22,"['Level 10 right talent changed: +6 armor -> +3 mana regen.', 'Increased base mana regeneration from 0 to 0.25.', 'Reduced attack point from 0.633 to 0.45.', 'Talents:']"
7.21d,"['Increased base  intelligence and gain from 20 + 3.1 to 21 + 3.3.', 'Increased  Static Field current health as damage from 4%/6%/8%/10% to 5%/7%/9%/11%.']"
7.21,"['Increased  intelligence gain from 2.7 to 3.1.', 'Reduced movement speed from 300 to 295.', "" Static Field now only affects enemies hit by Zeus' spells, instead of affecting every enemy in a 1200 radius around him. [?]""]"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', "" Nimbus' Lightning Bolt interval is no longer affected by cooldown reductions.""]"
7.19d,['Increased  Arc Lightning mana cost from 65/70/75/80 to 80 on each level.']
7.19c,"['Level 25 left talent: +170  Arc Lightning damage reduced to +155.', 'Reduced  strength gain from 2.3 to 2.1.', 'Talents:']"
7.19,['Reduced  Nimbus radius from 500 to 450.']
7.17,['Increased  Lightning Bolt mana cost from 75/95/115/135 to 90/105/120/135.']
7.16,"['Level 15 right talent: +40 movement speed reduced to +30.', 'Increased base attack damage from 28-36 to 33-41.', 'Reduced  strength gain from 2.6 to 2.3.', 'Rescaled  Arc Lightning damage from 85/100/115/145 to 70/95/120/145.', ' Lightning Bolt\nIncreased cast range from 700 on each level to 700/750/800/850.\nIncreased damage from 100/175/275/350 to 125/200/275/350.', 'Increased cast range from 700 on each level to 700/750/800/850.', 'Increased damage from 100/175/275/350 to 125/200/275/350.', 'Talents:']"
7.15,"['Reduced base  intelligence from 22 to 20.', 'Increased base attack damage from 26-34 to 28-36.']"
7.14,"['Level 15 left talent: +1%  Static Field current health as damage increased to +1.5%.', 'Talents:']"
7.13b,['Increased base  strength from 19 to 21.']
7.12,"['Increased base attack damage from 21-29 to 26-34.', 'Increased attack range from 350 to 380.']"
7.10,"['Level 25 right talent: +200 cast range increased to +275.', 'Talents:']"
7.07,"['Level 10: +25 movement speed or +2 mana regen', 'Level 15: +15% magic resistance or +7 armor', 'Level 20: +0.5s  Lightning Bolt stun duration or +75  Arc Lightning damage', 'Level 25: +2%  Static Field current health as damage or +200 cast range', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06c,['Increased movement speed from 295 to 300.']
7.06,"['Level 20 left talent changed: -40s respawn time -> +0.5s  Lightning Bolt stun duration.', 'Increased  strength gain from 2.3 to 2.6.', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.05,"['Level 10 left talent changed: +200 health -> +25 movement speed.', 'Level 15 left talent: +10% magic resistance increased to +15%.', 'Level 15 right talent: +5 armor increased to +7.', 'Level 20 right talent changed: +35 movement speed -> +75  Arc Lightning damage.', 'Increased base  intelligence from 20 to 22.', 'Talents:']"
7.03,"['Level 10 left talent: +175 health increased to +200.', 'Level 25 left talent: +1.5%  Static Field current health as damage increased to +2%.', 'Reduced  Nimbus cooldown and duration from 40 to 35.', 'Talents:']"
7.02,"['Level 10 left talent: +150 health increased to +175.', 'Reduced strike interval from 2.5 to 2.25.', 'Reduced duration from 50 to 40.', 'Reduced cooldown from 50 to 40.', ' Nimbus\nReduced strike interval from 2.5 to 2.25.\nReduced duration from 50 to 40.\nReduced cooldown from 50 to 40.', 'Talents:']"
7.01,"['Level 20 left talent: -35s respawn time increased to -40s.', 'Level 20 right talent: +30 movement speed increased to +35.', 'Talents:']"
7.00,"[""No longer increases  Thundergod's Wrath damage from 225/325/425 to 440/540/640."", 'Now grants Zeus a new ability,  Nimbus', "" Aghanim's Scepter\nNo longer increases  Thundergod's Wrath damage from 225/325/425 to 440/540/640.\nNow grants Zeus a new ability,  Nimbus""]"
6.88b,['Increased  Lightning Bolt stun duration from 0.1 to 0.2.']
6.88,['Reduced  Arc Lightning cooldown from 1.75 to 1.6.']
6.87,"[""Static Field's damage is now flagged as HP Removal. [?]"", 'Reduced current health as damage from 5%/7%/9%/11% to 4%/6%/8%/10%.', "" Static Field\nStatic Field's damage is now flagged as HP Removal. [?]\nReduced current health as damage from 5%/7%/9%/11% to 4%/6%/8%/10%."", ""Reduced  Thundergod's Wrath damage from 225/350/475 to 225/325/425.""]"
6.84,"['Reduced vision radius from 1000 to 500.', 'Fixed sometimes hitting invisible units depending on the order of player slots.', "" Thundergod's Wrath\nReduced vision radius from 1000 to 500.\nFixed sometimes hitting invisible units depending on the order of player slots.""]"
6.82,['Increased  Static Field radius from 1000 to 1200.']
6.81b,"['Increased vision and True Sight duration from 3 to 4.5.', 'Increased hero search radius from 250 to 325.', ' Lightning Bolt\nIncreased vision and True Sight duration from 3 to 4.5.\nIncreased hero search radius from 250 to 325.']"
6.81,"['Reduced  Arc Lightning cast point from 0.4 to 0.2.', ' Lightning Bolt\nCan now be cast on the ground, affecting the closest enemy hero in a 250 range.\nReduced True Sight radius from 900 to 750.\nReduced flying vision radius from 900 to 750.', 'Can now be cast on the ground, affecting the closest enemy hero in a 250 range.', 'Reduced True Sight radius from 900 to 750.', 'Reduced flying vision radius from 900 to 750.']"
6.80,['Increased  Arc Lightning cast range from 700 to 850.']
