,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,23,23,18,3.0,1.5,2,200,0.0,325.0
1,7.25,23,23,18,3.0,1.5,2,200,0.0,325.0
2,7.24,23,23,18,3.0,1.5,2,200,0.0,325.0
3,7.23e,23,23,18,3.0,1.5,2,200,0.0,325.0
4,7.23c,23,23,18,3.0,1.5,2,200,0.0,325.0
5,7.23,23,23,18,3.0,1.5,2,200,0.0,325.0
6,7.22f,23,23,18,3.0,1.5,2,200,0.0,325.0
7,7.22e,23,23,18,3.0,1.5,2,200,0.0,325.0
8,7.22,23,23,18,3.0,1.5,2,200,0.0,325.0
9,7.21c,23,23,18,3.0,1.5,2,200,0.0,325.0
10,7.21,23,23,18,3.0,1.5,2,200,0.0,325.0
11,7.20,23,23,18,2.6,1.5,2,200,0.0,325.0
12,7.19,23,23,18,2.6,1.5,2,200,1.5,310.0
13,7.18,23,23,18,2.6,1.5,2,200,1.5,310.0
14,7.17,23,23,18,2.6,1.5,2,200,1.5,305.0
15,7.13b,23,23,18,2.6,1.5,2,200,1.5,305.0
16,7.10,23,23,18,2.6,1.5,2,200,1.5,310.0
17,7.07,23,23,18,2.6,1.5,2,200,1.5,310.0
18,7.06,23,23,18,2.6,1.5,2,200,0.0,310.0
19,7.05,23,23,18,2.3,1.5,2,200,0.25,310.0
20,7.04,23,23,18,2.5,1.5,2,200,0.25,310.0
21,7.03,23,23,18,2.7,1.5,2,200,0.25,310.0
22,7.02,23,23,18,2.7,1.5,2,200,0.25,310.0
23,7.00,23,23,18,2.7,1.5,2,200,0.25,310.0
24,6.88,23,23,18,2.7,1.5,2,200,0.25,310.0
25,6.87,23,23,18,2.7,1.5,2,200,0.25,310.0
26,6.85,23,23,18,2.7,1.5,2,200,0.25,310.0
27,6.84,23,23,18,2.7,1.5,2,200,0.25,310.0
28,6.83,23,23,18,2.7,1.5,2,200,0.25,310.0
29,6.82,23,23,18,2.7,1.5,2,200,0.25,310.0
30,6.81,23,23,18,2.7,1.5,2,200,0.25,310.0
31,6.79,23,23,18,2.7,1.5,2,200,0.25,310.0
32,6.78,23,23,18,2.7,1.5,2,200,0.25,310.0
33,6.75,23,23,18,2.7,1.5,2,200,0.25,300.0
34,6.73,23,23,18,2.7,1.5,2,200,0.25,300.0
35,6.72d,23,23,18,2.7,1.5,2,200,0.25,300.0
36,6.72c,23,23,18,2.7,1.5,2,200,0.25,300.0
37,6.72,23,23,18,2.7,1.5,2,200,0.25,300.0
38,6.71,23,23,18,2.7,1.5,2,200,0.25,300.0
39,6.70,23,23,18,2.7,1.5,2,200,0.25,300.0
40,6.64,23,23,18,2.7,1.5,2,200,0.25,300.0
41,6.63,23,23,18,2.7,1.5,2,200,0.25,300.0
42,6.60,23,23,18,2.7,1.5,2,200,0.25,300.0
43,6.57,23,23,18,2.7,1.5,2,200,0.25,300.0
44,6.54,23,23,18,2.7,1.5,2,200,0.25,300.0
45,6.52,23,23,18,2.7,1.5,2,200,0.25,300.0
46,6.50,23,23,18,2.7,1.5,2,200,0.25,295.0
47,6.49,23,23,18,2.7,1.5,2,200,0.25,295.0
48,6.42,23,23,18,2.7,1.5,2,200,0.25,295.0
49,6.39,23,23,18,2.7,1.5,2,200,0.25,300.0
50,6.35,23,23,18,2.7,1.5,2,200,0.25,300.0
51,6.34,23,23,18,2.7,1.5,2,200,0.25,300.0
52,6.33,23,23,18,2.7,1.5,2,200,0.25,300.0
53,6.29,23,23,18,2.7,1.5,2,200,0.25,295.0
54,6.28,23,23,18,2.7,1.5,2,200,0.25,295.0
55,6.24,23,23,18,2.7,1.5,2,200,0.25,295.0
56,6.23,23,23,18,2.7,1.5,2,200,0.25,295.0
57,6.20,23,23,18,2.7,1.5,2,200,0.25,295.0
