,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,20,20,23,1.9,2.2,3.4,200,0.0,285.0
1,7.24,20,20,23,1.9,2.2,3.4,200,0.0,285.0
2,7.23,20,20,23,1.9,2.2,3.4,200,0.0,285.0
3,7.22f,20,20,23,1.9,2.2,3.4,200,0.0,285.0
4,7.22e,20,20,23,1.9,2.2,3.4,200,0.0,285.0
5,7.22,20,20,23,1.9,2.2,3.4,200,0.0,290.0
6,7.21c,20,20,23,1.9,2.2,3.4,200,0.0,290.0
7,7.21,20,20,23,1.9,2.2,3.0,200,0.0,290.0
8,7.20,20,20,23,1.9,2.2,2.6,200,0.0,295.0
9,7.19,20,20,23,1.7,2.2,2.6,200,1.5,295.0
10,7.18,20,20,23,1.7,2.2,2.6,200,1.5,295.0
11,7.17,20,20,23,1.7,2.2,2.6,200,1.5,295.0
12,7.15,20,20,23,1.7,2.2,2.6,200,1.5,295.0
13,7.14,20,20,23,1.7,2.2,2.6,200,1.5,295.0
14,7.13b,20,20,23,1.7,2.2,2.6,200,1.5,295.0
15,7.10,20,20,23,1.7,2.2,2.6,200,1.5,295.0
16,7.07,20,20,23,1.7,2.2,2.6,200,1.5,295.0
17,7.06f,20,20,23,1.7,2.2,2.6,200,0.0,295.0
18,7.06c,20,20,23,1.7,2.2,2.6,200,0.0,295.0
19,7.06,20,20,23,1.7,2.2,2.6,200,0.0,295.0
20,7.05,20,20,23,1.4,2.2,2.6,200,0.25,295.0
21,7.04,20,20,23,1.4,2.2,2.6,200,0.25,295.0
22,7.03,20,20,23,1.4,2.2,2.6,200,0.25,295.0
23,7.02,20,20,23,1.4,2.2,2.6,200,0.25,295.0
24,7.00,20,20,23,1.4,2.2,2.6,200,0.25,295.0
25,6.87,20,20,23,1.4,2.2,2.6,200,0.25,295.0
26,6.85,20,20,23,1.4,2.2,2.6,200,0.25,295.0
27,6.84,20,20,23,1.4,2.2,2.6,200,0.25,295.0
28,6.81b,20,20,23,1.4,2.2,2.6,200,0.25,295.0
29,6.81,20,20,23,1.4,2.2,2.6,200,0.25,295.0
30,6.80,20,20,23,1.4,2.2,2.6,200,0.25,295.0
31,6.79,20,20,23,1.4,2.2,2.6,200,0.25,295.0
32,6.78,20,20,23,1.4,2.2,2.6,200,0.25,295.0
33,6.77,20,20,23,1.4,2.2,2.6,200,0.25,295.0
34,6.76,20,20,23,1.4,2.2,2.6,200,0.25,295.0
35,6.75,20,20,23,1.4,2.2,2.6,200,0.25,295.0
36,6.72,20,20,23,1.4,2.2,2.6,200,0.25,295.0
37,6.70,20,20,23,1.4,2.2,2.6,200,0.25,295.0
38,6.68,20,20,23,1.4,2.2,2.6,200,0.25,295.0
39,6.67,20,20,23,1.4,2.2,2.6,200,0.25,295.0
40,6.66,20,20,23,1.4,2.2,2.6,200,0.25,295.0
41,6.65,20,20,23,1.4,2.2,2.6,200,0.25,295.0
