,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,23,24,12,1.3,3.0,1.8,200,0.25,310.0
1,7.26b,23,24,12,1.3,3.0,1.8,200,0.25,310.0
2,7.23a,23,24,12,1.3,3.0,1.8,200,0.25,310.0
3,7.23,23,24,12,1.3,3.2,1.8,200,0.25,310.0
4,7.22,23,24,12,1.3,3.2,1.8,200,0.25,310.0
5,7.21b,23,24,12,1.3,3.2,1.8,200,0.25,310.0
6,7.21,23,24,12,1.3,3.2,1.8,200,0.25,310.0
7,7.20e,23,24,12,1.3,2.8,1.8,200,0.25,310.0
8,7.20,23,24,12,1.3,2.8,1.8,200,0.25,310.0
9,7.17,23,24,12,1.3,2.8,1.8,200,1.75,310.0
10,7.16,23,24,12,1.3,2.8,1.8,200,1.75,310.0
11,7.15,23,24,12,1.3,2.8,1.8,200,1.5,310.0
12,7.12,23,24,12,1.3,2.8,1.8,200,1.5,310.0
13,7.10,23,24,12,1.3,2.8,1.8,200,1.5,310.0
14,7.07c,23,24,12,1.3,2.8,1.8,200,1.5,310.0
15,7.07b,23,24,12,1.3,2.8,1.8,200,1.5,310.0
16,7.07,23,24,12,1.5,2.8,1.8,200,1.5,310.0
17,7.06,23,24,12,1.5,2.8,1.8,200,0.0,315.0
18,7.02,23,24,12,1.2,2.8,1.8,200,0.25,315.0
19,7.00,23,24,12,1.2,2.8,1.8,200,0.25,315.0
20,6.88,23,24,12,1.2,2.8,1.8,200,0.25,315.0
21,6.87,23,24,12,1.2,2.8,1.8,200,0.25,315.0
22,6.85,23,24,12,1.2,2.8,1.8,200,0.25,315.0
23,6.84,23,24,12,1.2,2.8,1.8,200,0.25,315.0
24,6.82,23,24,12,1.2,2.8,1.8,200,0.25,315.0
25,6.81,23,24,12,1.2,2.8,1.8,200,0.25,315.0
26,6.80,23,24,12,1.2,2.8,1.8,200,0.25,315.0
27,6.75,23,24,12,1.2,2.8,1.8,200,0.25,315.0
28,6.73,23,24,12,1.2,2.8,1.8,200,0.25,320.0
29,6.72d,23,24,12,1.2,2.8,1.8,200,0.25,320.0
30,6.72c,23,24,12,1.2,2.8,1.8,200,0.25,320.0
31,6.72,23,24,12,1.2,2.8,1.8,200,0.25,320.0
32,6.70,23,24,12,1.2,2.8,1.8,200,0.25,320.0
33,6.68,23,24,12,1.2,2.8,1.8,200,0.25,320.0
34,6.65,23,24,12,1.2,2.8,1.8,200,0.25,320.0
35,6.63,23,24,12,1.2,2.8,1.8,200,0.25,320.0
36,6.60,23,24,12,1.2,2.8,1.8,200,0.25,320.0
37,6.59,23,24,12,1.2,2.8,1.8,200,0.25,320.0
38,6.55,23,24,12,1.2,2.8,1.8,200,0.25,320.0
39,6.53,23,24,12,1.2,2.8,1.5,200,0.25,320.0
40,6.52,23,24,12,1.2,2.8,1.5,200,0.25,320.0
41,6.50,23,24,12,1.2,2.8,1.5,200,0.25,320.0
42,6.35,23,24,12,1.2,2.8,1.5,200,0.25,320.0
43,6.10,23,24,12,1.2,2.8,1.5,200,0.25,320.0
44,6.07,23,24,12,1.2,2.8,1.5,200,0.25,320.0
45,6.04,23,24,12,1.2,2.8,1.5,200,0.25,320.0
46,6.02,23,24,12,1.2,2.8,1.5,200,0.25,320.0
47,6.00,23,24,12,1.2,2.8,1.5,200,0.25,320.0
48,5.74,23,24,12,1.2,2.8,1.5,200,0.25,310.0
49,5.72,23,24,12,1.2,2.8,1.5,200,0.25,310.0
50,5.68,23,24,12,1.2,2.8,1.5,200,0.25,310.0
51,5.65,23,24,12,1.2,2.8,1.5,200,0.25,310.0
52,5.62,23,24,12,1.2,2.8,1.5,200,0.25,310.0
53,5.60,23,24,12,1.2,2.8,1.5,200,0.25,310.0
54,5.58,23,24,12,1.2,2.8,1.5,200,0.25,310.0
55,5.57,23,24,12,1.2,2.8,1.5,200,0.25,310.0
56,5.56,23,24,12,1.2,2.8,1.5,200,0.25,310.0
57,5.55,23,24,12,1.2,2.8,1.5,200,0.25,310.0
58,5.51,23,24,12,1.2,2.8,1.5,200,0.25,310.0
59,5.50,23,24,12,1.2,2.8,1.5,200,0.25,310.0
60,5.40,23,24,12,1.2,2.8,1.5,200,0.25,310.0
61,5.35,23,24,12,1.2,2.8,1.5,200,0.25,310.0
62,5.31,23,24,12,1.2,2.8,1.5,200,0.25,310.0
63,5.10,23,24,12,1.2,2.8,1.5,200,0.25,310.0
64,4.10,23,24,12,1.2,2.25,0.8,200,0.25,310.0
65,4.0beta10,23,24,12,1.2,2.25,0.8,200,0.25,310.0
66,4.0beta6,23,24,12,1.2,2.25,0.8,200,0.25,310.0
67,4.0beta5,23,24,12,1.2,2.25,0.8,200,0.25,310.0
68,4.0beta2,23,24,12,1.2,2.25,0.8,200,0.25,310.0
69,3.2j,23,24,12,1.2,2.25,0.8,200,0.25,310.0
70,3.00d,23,24,12,1.2,2.25,0.8,200,0.25,310.0
71,2.60,23,24,12,1.2,2.25,0.8,200,0.25,310.0
