,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,23,23,23,2.6,2.6,2.6,200,0.0,305.0
1,7.26b,23,23,23,2.6,2.6,2.6,200,0.0,305.0
2,7.23e,23,23,23,2.6,2.6,2.6,200,0.0,305.0
3,7.23c,23,23,23,2.6,2.6,2.6,200,0.0,305.0
4,7.23,23,23,23,2.6,2.6,2.6,200,0.0,305.0
5,7.22,23,23,23,2.6,2.6,2.6,200,0.0,305.0
6,7.21b,23,23,23,2.6,2.6,2.6,200,0.0,305.0
7,7.21,23,23,23,2.4,2.4,2.8,200,0.0,305.0
8,7.20,23,23,23,2.4,2.4,2.4,200,0.0,310.0
9,7.18,23,23,23,2.4,2.4,2.4,200,1.5,310.0
10,7.17,23,23,23,2.4,2.4,2.4,200,1.5,310.0
11,7.16,23,23,23,2.4,2.4,2.4,200,1.5,310.0
12,7.07d,23,23,23,2.4,2.4,2.4,200,1.5,310.0
13,7.07c,23,23,23,2.4,2.4,2.4,200,1.5,310.0
14,7.07b,23,23,23,2.4,2.4,2.4,200,1.5,310.0
15,7.07,23,23,23,2.4,2.4,2.4,200,1.5,310.0
16,7.06f,23,23,23,2.4,2.4,2.4,200,0.0,310.0
17,7.06,23,23,23,2.4,2.4,2.4,200,0.0,310.0
18,7.05,23,23,23,2.1,2.1,2.1,200,0.25,310.0
19,7.03,23,23,23,2.1,2.1,2.1,200,0.25,310.0
20,7.02,23,23,23,2.1,2.1,2.1,200,0.25,310.0
21,7.00,23,23,23,2.1,2.1,2.1,200,0.25,310.0
22,6.88,23,23,23,2.1,2.1,2.1,200,0.25,310.0
23,6.87,23,23,23,2.1,2.1,2.1,200,0.25,310.0
24,6.86c,23,23,23,2.1,2.1,2.1,200,0.25,310.0
25,6.86,23,23,23,2.1,2.1,2.1,200,0.25,310.0
26,6.85,23,23,23,2.1,2.1,2.1,200,0.25,315.0
27,6.84,23,23,23,2.1,2.1,2.1,200,0.25,315.0
28,6.83,23,23,23,2.1,2.1,2.1,200,0.25,315.0
29,6.82,23,23,23,2.1,2.1,2.1,200,0.25,315.0
30,6.76,23,23,23,2.1,2.1,2.1,200,0.25,315.0
31,6.75,23,23,23,2.1,2.1,2.1,200,0.25,315.0
32,6.73,23,23,23,2.1,2.1,2.1,200,0.25,315.0
33,6.72d,23,23,23,2.1,2.1,2.1,200,0.25,305.0
34,6.72,23,23,23,2.1,2.1,2.1,200,0.25,305.0
35,6.71,23,23,23,2.1,2.1,2.1,200,0.25,305.0
36,6.70,23,23,23,2.1,2.1,2.1,200,0.25,305.0
37,6.69,23,23,23,2.1,2.1,2.1,200,0.25,305.0
38,6.68,23,23,23,2.1,2.1,2.1,200,0.25,305.0
39,6.63,23,23,23,2.1,2.1,2.1,200,0.25,305.0
40,6.60,23,23,23,2.1,2.1,2.1,200,0.25,305.0
41,6.58,23,23,23,2.1,2.1,2.1,200,0.25,305.0
42,6.50,23,23,23,2.1,2.1,2.1,200,0.25,305.0
43,6.36,23,23,23,2.1,2.1,2.1,200,0.25,305.0
44,6.30,23,23,23,2.1,2.1,2.1,200,0.25,305.0
45,6.29b,23,23,23,2.1,2.1,2.1,200,0.25,305.0
46,6.29,23,23,23,2.1,2.1,2.1,200,0.25,297.0
47,6.21,23,23,23,2.1,2.1,2.1,200,0.25,297.0
48,6.20,23,23,23,2.1,2.1,2.1,200,0.25,297.0
49,6.16,23,23,23,2.1,2.1,2.1,200,0.25,297.0
50,6.10,23,23,23,2.1,2.1,2.1,200,0.25,297.0
51,6.07,23,23,23,2.1,2.1,2.1,200,0.25,297.0
52,6.00,23,23,23,2.1,2.1,2.1,200,0.25,297.0
53,5.76,23,23,23,2.1,2.1,2.1,200,0.25,297.0
54,5.75,23,23,23,2.1,2.1,2.1,200,0.25,297.0
