,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,28,15,22,2.9,1.5,2.9,200,1.75,1.75
1,7.26b,28,15,22,2.9,1.5,2.9,200,1.75,1.75
2,7.26a,28,15,22,2.9,1.5,2.9,200,1.75,1.75
3,7.25,28,15,22,2.9,1.5,2.9,200,1.75,1.75
4,7.24b,28,15,22,2.9,1.5,2.9,200,1.75,1.75
5,7.23,28,15,22,2.9,1.5,2.9,200,1.75,1.75
6,7.22d,28,15,22,2.9,1.5,2.9,200,1.75,1.75
7,7.22c,28,15,22,2.9,1.5,2.9,200,1.75,1.75
8,7.22,28,15,22,2.9,1.5,2.9,200,1.75,1.75
9,7.21,28,15,22,2.9,1.5,2.9,200,1.75,1.75
10,7.20,28,15,22,2.9,1.5,2.5,200,1.75,1.75
11,7.15,28,15,22,2.7,1.5,2.5,200,3.25,1.75
12,7.14,28,15,22,2.7,1.5,2.5,200,3.25,1.75
13,7.13b,28,15,22,2.7,1.5,2.5,200,3.25,1.75
14,7.07,28,15,22,2.7,1.5,2.5,200,3.25,1.75
15,7.06f,28,15,22,2.7,1.5,2.5,200,1.75,1.75
16,7.06e,28,15,22,2.7,1.5,2.5,200,1.75,1.75
17,7.06,28,15,22,2.7,1.5,2.5,200,1.75,1.75
18,7.03,28,15,22,2.4,1.5,2.5,200,2.0,1.75
19,7.02,28,15,22,2.4,1.5,2.5,200,2.0,1.75
20,7.00,28,15,22,2.4,1.5,2.5,200,2.0,1.75
21,6.88f,28,15,22,2.4,1.5,2.5,200,2.0,1.75
22,6.88e,28,15,22,2.4,1.5,2.5,200,2.0,1.75
23,6.86,28,15,22,2.4,1.5,2.5,200,2.0,1.75
24,6.85,28,15,22,2.4,1.5,2.5,200,0.25,1.75
25,6.84,28,15,22,2.4,1.5,2.5,200,0.25,1.75
26,6.82,28,15,22,2.4,1.5,2.5,200,0.25,1.75
27,6.81b,28,15,22,2.4,1.5,2.5,200,0.25,1.75
28,6.81,28,15,22,2.4,1.5,2.5,200,0.25,1.75
29,6.80,28,15,22,2.4,1.5,2.5,200,0.25,1.75
30,6.79,28,15,22,2.4,1.5,2.5,200,0.25,1.75
31,6.78c,28,15,22,2.4,1.5,2.5,200,0.25,1.75
32,6.78,28,15,22,2.4,1.5,2.5,200,0.25,1.75
33,6.77,28,15,22,2.4,1.5,2.5,200,0.25,1.75
34,6.76,28,15,22,2.4,1.5,2.5,200,0.25,1.75
35,6.75,28,15,22,2.7,1.5,2.5,200,0.25,1.75
36,6.74,28,15,22,2.0,1.5,2.5,200,0.25,1.75
37,6.72,28,15,22,2.0,1.5,2.5,200,0.25,1.75
38,6.69,28,15,22,2.0,1.5,2.5,200,0.25,1.75
39,6.66,28,15,22,2.0,1.5,2.5,200,0.25,1.75
40,6.63,28,15,22,2.0,1.5,2.5,200,0.25,1.75
41,6.61,28,15,22,2.0,1.5,2.5,200,0.25,1.75
42,6.60,28,15,22,2.5,1.5,2.5,200,0.25,1.75
