,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,24,22,18,2.7,3.1,1.7,200,0.0,300.0
1,7.26a,24,22,18,2.7,3.1,1.7,200,0.0,300.0
2,7.25,24,22,18,2.7,3.1,1.7,200,0.0,300.0
3,7.23d,24,22,18,2.7,3.1,1.7,200,0.0,300.0
4,7.23c,24,22,18,2.7,3.1,1.7,200,0.0,300.0
5,7.23,24,22,18,2.7,3.1,1.7,200,0.0,300.0
6,7.22f,24,22,18,2.7,3.1,1.7,200,0.0,300.0
7,7.22e,24,22,18,2.7,3.1,1.7,200,0.0,295.0
8,7.22d,24,22,18,2.7,3.1,1.7,200,0.0,295.0
9,7.22c,24,22,18,2.7,3.1,1.7,200,0.0,295.0
10,7.22,24,22,18,2.7,3.1,1.7,200,0.0,295.0
11,7.21,24,22,18,2.7,3.5,1.7,200,0.0,295.0
12,7.20d,24,22,18,2.7,3.0,1.7,200,0.0,290.0
13,7.20,24,22,18,2.7,3.0,1.7,200,0.0,285.0
14,7.19b,24,22,18,2.7,3.0,1.7,200,1.5,285.0
15,7.19,24,22,18,2.7,3.0,1.7,200,1.5,285.0
16,7.18,24,22,18,2.7,3.0,1.7,200,1.5,285.0
17,7.16,24,22,18,2.7,3.0,1.7,200,1.5,285.0
18,7.15,24,22,18,2.7,3.0,1.7,200,1.5,285.0
19,7.14,24,22,18,2.7,3.0,1.7,200,1.5,285.0
20,7.12,24,22,18,2.7,3.0,1.7,200,1.5,285.0
21,7.10,24,22,18,2.7,3.0,1.7,200,1.5,285.0
22,7.07,24,22,18,2.7,3.0,1.7,200,1.5,285.0
23,7.06f,24,22,18,2.7,3.0,1.7,200,0.0,290.0
24,7.06c,24,22,18,2.7,3.0,1.7,200,0.0,290.0
25,7.06,24,22,18,2.7,3.0,1.7,200,0.0,290.0
26,7.03,24,22,18,2.4,3.0,1.7,200,0.25,290.0
27,7.02,24,22,18,2.4,3.0,1.7,200,0.25,290.0
28,7.00,24,22,18,2.4,3.0,1.7,200,0.25,290.0
29,6.88c,24,22,18,2.4,3.0,1.7,200,0.25,290.0
30,6.88b,24,22,18,2.4,3.0,1.7,200,0.25,290.0
31,6.88,24,22,18,2.4,3.0,1.7,200,0.25,290.0
32,6.87,24,22,18,2.4,3.0,1.7,200,0.25,290.0
33,6.86,24,22,18,2.0,3.0,1.7,200,0.25,290.0
34,6.85,24,22,18,2.0,3.0,1.7,200,0.25,290.0
35,6.84,24,22,18,2.0,3.0,1.7,200,0.25,290.0
36,6.83,24,22,18,2.0,3.0,1.7,200,0.25,290.0
37,6.82c,24,22,18,2.0,3.0,1.7,200,0.25,290.0
38,6.82,24,22,18,2.0,3.0,1.7,200,0.25,290.0
39,6.81,24,22,18,2.0,3.0,1.7,200,0.25,300.0
40,6.80,24,22,18,2.0,3.0,1.7,200,0.25,300.0
41,6.79,24,22,18,2.0,3.0,1.7,200,0.25,300.0
42,6.78,24,22,18,2.0,3.0,1.7,200,0.25,305.0
43,6.75,24,22,18,2.0,3.0,1.7,200,0.25,305.0
44,6.73,24,22,18,2.0,3.0,1.7,200,0.25,305.0
45,6.72d,24,22,18,2.0,3.0,1.7,200,0.25,305.0
46,6.72c,24,22,18,2.0,3.0,1.7,200,0.25,305.0
47,6.72,24,22,18,2.0,3.0,1.7,200,0.25,305.0
48,6.71,24,22,18,2.0,3.0,1.7,200,0.25,305.0
49,6.69,24,22,18,2.0,3.0,1.7,200,0.25,305.0
50,6.68,24,22,18,2.0,3.0,1.7,200,0.25,305.0
51,6.65,24,22,18,2.0,2.6,1.7,200,0.25,305.0
52,6.63,24,22,18,2.0,2.6,1.7,200,0.25,305.0
53,6.61,24,22,18,2.0,2.6,1.7,200,0.25,305.0
54,6.58,24,22,18,2.0,2.6,1.7,200,0.25,305.0
55,6.55,24,22,18,2.0,2.6,1.7,200,0.25,305.0
56,6.54,24,22,18,2.0,2.6,1.7,200,0.25,305.0
57,6.50,24,22,18,2.0,2.6,1.7,200,0.25,305.0
58,6.39,24,22,18,2.0,2.6,1.7,200,0.25,305.0
59,6.35,24,22,18,2.0,2.6,1.7,200,0.25,305.0
60,6.28,24,22,18,2.0,2.6,1.7,200,0.25,305.0
61,6.21,24,22,18,2.0,2.6,1.7,200,0.25,305.0
62,6.20,24,22,18,2.0,2.6,1.7,200,0.25,305.0
63,6.14,24,22,18,2.0,2.6,1.7,200,0.25,305.0
64,6.13,24,22,18,2.0,2.6,1.7,200,0.25,305.0
65,6.04,24,22,18,2.0,2.6,1.7,200,0.25,305.0
66,6.03,24,22,18,2.0,2.6,1.7,200,0.25,305.0
67,6.02,24,22,18,2.0,2.6,1.7,200,0.25,305.0
68,6.01,24,22,18,2.0,2.6,1.7,200,0.25,305.0
69,6.00,24,22,18,2.0,2.6,1.7,200,0.25,305.0
