,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,23,22,15,3.7,2.0,1.6,200,0.5,305.0
1,7.26b,23,22,15,3.7,2.0,1.6,200,0.5,305.0
2,7.26a,23,22,15,3.7,2.0,1.6,200,0.5,305.0
3,7.25,23,22,15,3.7,2.0,1.6,200,0.5,305.0
4,7.24,23,22,15,3.7,2.0,1.6,200,0.5,305.0
5,7.23,23,22,15,3.7,2.0,1.6,200,0.5,305.0
6,7.22g,23,22,15,3.7,2.0,1.6,200,0.5,305.0
7,7.22f,23,22,15,3.7,2.0,1.6,200,0.5,305.0
8,7.22e,23,22,15,3.7,2.0,1.6,200,0.5,305.0
9,7.22,23,22,15,3.7,2.0,1.6,200,0.5,305.0
10,7.21,23,22,15,3.7,2.0,1.6,200,0.5,305.0
11,7.20e,23,22,15,3.2,2.0,1.6,200,0.5,305.0
12,7.20d,23,22,15,3.2,2.0,1.6,200,0.5,305.0
13,7.20c,23,22,15,3.2,2.0,1.6,200,0.5,305.0
14,7.20,23,22,15,3.2,2.0,1.6,200,0.5,305.0
15,7.14,23,22,15,3.2,1.95,1.25,200,2.0,295.0
16,7.13b,23,22,15,3.2,1.95,1.25,200,2.0,295.0
17,7.07d,23,22,15,3.2,1.95,1.25,200,2.0,550.0
18,7.07c,23,22,15,3.2,1.95,1.25,200,2.0,550.0
19,7.07,23,22,15,3.2,1.95,1.25,200,2.0,550.0
20,7.06e,23,22,15,3.2,1.95,1.25,200,0.5,550.0
21,7.06,23,22,15,3.2,1.95,1.25,200,0.5,550.0
22,7.05,23,22,15,2.9,1.95,1.25,200,0.75,550.0
23,7.04,23,22,15,2.9,1.95,1.25,200,0.75,550.0
24,7.03,23,22,15,2.9,1.95,1.25,200,0.75,550.0
25,7.02,23,22,15,2.9,1.95,1.25,200,0.75,550.0
26,7.00,23,22,15,2.9,1.95,1.25,200,0.75,550.0
27,6.88b,23,22,15,2.9,1.95,1.25,200,0.75,325.0
28,6.88,23,22,15,2.9,1.95,1.25,200,0.75,325.0
29,6.87,23,22,15,2.9,1.95,1.25,200,0.75,325.0
30,6.86,23,22,15,2.9,1.95,1.25,200,0.75,325.0
31,6.85,23,22,15,2.9,1.95,1.25,200,0.75,325.0
32,6.84,23,22,15,2.9,1.95,1.25,200,0.75,325.0
33,6.83b,23,22,15,2.9,1.95,1.25,200,0.75,325.0
34,6.83,23,22,15,2.9,1.95,1.25,200,0.75,325.0
35,6.82c,23,22,15,2.9,1.95,1.25,200,0.75,325.0
36,6.82,23,22,15,2.9,1.95,1.25,200,0.75,325.0
37,6.81,23,22,15,2.9,1.95,1.25,200,0.75,325.0
38,6.80,23,22,15,2.9,1.95,1.25,200,0.75,325.0
39,6.79,23,22,15,2.9,1.95,1.25,200,0.75,325.0
40,6.78,23,22,15,2.9,1.95,1.25,200,0.75,325.0
41,6.75,23,22,15,2.9,1.95,1.25,200,0.75,325.0
42,6.73,23,22,15,2.9,1.95,1.25,200,0.75,325.0
43,6.72d,23,22,15,2.9,1.95,1.25,200,0.75,325.0
44,6.72c,23,22,15,2.9,1.95,1.25,200,0.75,325.0
45,6.72,23,22,15,2.9,1.95,1.25,200,0.25,325.0
46,6.70,23,22,15,2.9,1.95,1.25,200,0.25,325.0
47,6.68,23,22,15,2.9,1.95,1.25,200,0.25,325.0
48,6.65,23,22,15,2.9,1.95,1.25,200,0.25,325.0
49,6.64,23,22,15,2.9,1.95,1.25,200,0.25,325.0
50,6.63,23,22,15,2.9,1.95,1.25,200,0.25,325.0
51,6.61,23,22,15,2.9,1.95,1.25,200,0.25,325.0
52,6.60,23,22,15,2.9,1.95,1.25,200,0.25,325.0
53,6.57,23,22,15,2.9,1.95,1.25,200,0.25,325.0
54,6.53,23,22,15,2.9,1.95,1.25,200,0.25,325.0
55,6.52,23,22,15,2.9,1.95,1.25,200,0.25,325.0
56,6.50,23,22,15,2.9,1.95,1.25,200,0.25,325.0
57,6.46,23,22,15,2.9,1.95,1.25,200,0.25,325.0
58,6.45,23,22,15,2.9,1.95,1.25,200,0.25,325.0
59,6.36,23,22,15,2.9,1.95,1.25,200,0.25,325.0
60,6.35,23,22,15,2.9,1.95,1.25,200,0.25,325.0
61,6.20,23,22,15,2.9,1.95,1.25,200,0.25,325.0
62,6.04,23,22,15,2.9,1.95,1.25,200,0.25,325.0
63,6.00,23,22,15,2.9,1.95,1.25,200,0.25,325.0
64,5.84,23,22,15,3.1,1.95,1.25,200,0.25,325.0
65,5.65,23,22,15,3.1,1.95,1.25,200,0.25,325.0
66,5.58,23,22,15,3.0,2.15,1.15,200,0.25,325.0
67,5.57,23,22,15,3.0,2.15,1.5,200,0.25,325.0
68,5.55,23,22,15,3.0,2.15,1.5,200,0.25,325.0
69,5.54,23,22,15,3.0,2.15,1.5,200,0.25,325.0
70,5.50,23,22,15,3.0,2.25,1.5,200,0.25,325.0
71,5.40,23,22,15,3.0,2.25,1.5,200,0.25,350.0
72,5.36,23,22,15,3.0,2.25,1.5,200,0.25,300.0
73,5.35,23,22,15,3.0,2.25,1.5,200,0.25,300.0
74,5.31,23,22,15,3.0,2.25,1.5,200,0.25,300.0
75,5.10,23,22,15,3.0,2.25,1.5,200,0.25,300.0
