,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,14,18,3.4,1.4,1.2,200,0.0,320.0
1,7.26b,22,14,18,3.4,1.4,1.2,200,0.0,320.0
2,7.26a,22,14,18,3.4,1.4,1.2,200,0.0,320.0
3,7.25,22,14,18,3.4,1.4,1.2,200,0.0,320.0
4,7.24,22,14,18,3.4,1.4,1.2,200,0.0,320.0
5,7.23b,22,14,18,3.4,1.4,1.2,200,0.0,320.0
6,7.23,22,14,18,3.4,1.4,1.2,200,0.0,320.0
7,7.22g,22,14,18,3.4,2.1,1.2,200,0.0,320.0
8,7.22f,22,14,18,3.4,2.1,1.2,200,0.0,320.0
9,7.22c,22,14,18,3.4,2.1,1.2,200,0.0,320.0
10,7.22,22,14,18,3.4,2.1,1.2,200,0.0,320.0
11,7.21b,22,14,18,3.7,2.1,1.2,200,0.0,320.0
12,7.21,22,14,18,3.7,2.1,1.2,200,0.0,320.0
13,7.20e,22,14,18,3.2,2.1,1.2,200,0.0,320.0
14,7.20c,22,14,18,3.2,2.1,1.2,200,0.0,320.0
15,7.20b,22,14,18,3.2,2.1,1.2,200,0.0,320.0
16,7.20,22,14,18,3.2,2.1,1.2,200,0.0,320.0
17,7.16,22,14,18,3.2,2.1,1.2,200,1.5,320.0
18,7.13b,22,14,18,3.2,2.1,1.2,200,1.5,320.0
19,7.07c,22,14,18,3.2,2.1,1.2,200,1.5,325.0
20,7.07,22,14,18,3.2,2.1,1.2,200,1.5,325.0
21,7.06d,22,14,18,3.2,2.1,1.2,200,0.0,325.0
22,7.06,22,14,18,3.2,2.1,1.2,200,0.0,325.0
23,7.02,22,14,18,2.9,2.1,1.2,200,0.25,325.0
24,7.01,22,14,18,2.9,2.1,1.2,200,0.25,325.0
25,7.00,22,14,18,2.9,2.1,1.2,200,0.25,325.0
26,6.88,22,14,18,2.9,2.1,1.2,200,0.25,325.0
27,6.87,22,14,18,2.9,2.1,1.2,200,0.25,325.0
28,6.86,22,14,18,2.9,2.1,1.2,200,0.25,325.0
29,6.85,22,14,18,2.9,2.1,1.2,200,0.25,325.0
30,6.84,22,14,18,2.9,2.1,1.2,200,0.25,325.0
31,6.83,22,14,18,2.9,2.1,1.2,200,0.25,325.0
32,6.82,22,14,18,2.9,2.1,1.2,200,0.25,325.0
33,6.81,22,14,18,2.9,2.1,1.2,200,0.25,325.0
34,6.79,22,14,18,2.9,2.1,1.2,200,0.25,325.0
35,6.75,22,14,18,2.9,2.1,1.2,200,0.25,325.0
36,6.72d,22,14,18,2.9,2.1,1.2,200,0.25,325.0
37,6.72c,22,14,18,2.9,2.1,1.2,200,0.25,325.0
38,6.72,22,14,18,2.9,2.1,1.2,200,0.25,325.0
39,6.71,22,14,18,2.9,2.1,1.2,200,0.25,325.0
40,6.69,22,14,18,2.9,2.1,1.2,200,0.25,325.0
41,6.68,22,14,18,2.9,2.1,1.2,200,0.25,325.0
42,6.65,22,14,18,2.9,2.1,1.2,200,0.25,325.0
43,6.63,22,14,18,2.9,2.1,1.2,200,0.25,325.0
44,6.59,22,14,18,2.9,2.1,1.2,200,0.25,325.0
45,6.44,22,14,18,2.9,2.1,1.2,200,0.25,325.0
46,6.36,22,14,18,2.9,2.1,1.2,200,0.25,325.0
47,6.35,22,14,18,2.9,2.1,1.2,200,0.25,325.0
48,6.34,22,14,18,2.9,2.1,1.2,200,0.25,325.0
49,6.29,22,14,18,2.9,2.1,1.2,200,0.25,325.0
50,6.28,22,14,18,2.9,2.1,1.2,200,0.25,325.0
51,6.20,22,14,18,2.9,2.1,1.2,200,0.25,325.0
52,6.17,22,14,18,2.9,2.1,1.2,200,0.25,325.0
53,6.11,22,14,18,2.9,2.1,1.2,200,0.25,325.0
54,6.10,22,14,18,2.9,2.1,1.2,200,0.25,325.0
55,6.07,22,14,18,2.9,2.1,1.2,200,0.25,325.0
56,6.06,22,14,18,2.9,2.1,1.2,200,0.25,325.0
57,6.05,22,14,18,2.9,2.1,1.2,200,0.25,325.0
58,6.04,22,14,18,2.9,2.1,1.2,200,0.25,325.0
59,6.02,22,14,18,2.9,2.1,1.2,200,0.25,325.0
60,6.00,22,14,18,2.9,2.1,1.2,200,0.25,325.0
61,5.83,22,14,18,2.9,2.1,1.2,200,0.25,325.0
62,5.82,22,14,18,2.9,2.1,1.2,200,0.25,325.0
63,5.78,22,14,18,2.9,2.1,1.2,200,0.25,325.0
64,5.76,22,14,18,2.9,2.1,1.2,200,0.25,325.0
