,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,25,15,19,2.0,2.05,3.2,200,0.0,300.0
1,7.26a,25,15,19,2.0,2.05,3.2,200,0.0,300.0
2,7.24,25,15,19,2.0,2.05,3.2,200,0.0,300.0
3,7.23,25,15,19,2.0,2.05,3.2,200,0.0,300.0
4,7.22g,25,15,19,2.0,2.05,3.2,200,0.0,300.0
5,7.22f,25,15,19,2.0,2.05,3.2,200,0.0,300.0
6,7.22e,25,15,19,2.0,2.05,3.2,200,0.0,305.0
7,7.22d,25,15,19,2.0,2.05,3.2,200,0.0,305.0
8,7.22c,25,15,19,2.0,2.05,3.2,200,0.0,305.0
9,7.22,25,15,19,2.0,2.05,3.2,200,0.0,305.0
10,7.21d,25,15,19,2.0,2.05,3.2,200,0.0,305.0
11,7.21c,25,15,19,2.0,2.05,3.2,200,0.0,305.0
12,7.21,25,15,19,2.0,2.05,3.2,200,0.0,305.0
13,7.20,25,15,19,2.0,2.05,2.65,200,0.0,310.0
14,7.19b,25,15,19,1.8,2.05,2.65,200,1.5,310.0
15,7.18,25,15,19,1.8,2.05,2.65,200,1.5,310.0
16,7.15,25,15,19,1.8,2.05,2.65,200,1.5,310.0
17,7.14,25,15,19,1.8,2.05,2.65,200,1.5,310.0
18,7.13b,25,15,19,1.8,2.05,2.65,200,1.5,310.0
19,7.12,25,15,19,1.8,2.05,2.65,200,1.5,310.0
20,7.07d,25,15,19,1.8,2.05,2.65,200,1.5,310.0
21,7.07c,25,15,19,1.8,2.05,2.65,200,1.5,300.0
22,7.07,25,15,19,1.8,2.05,2.65,200,1.5,300.0
23,7.06f,25,15,19,1.8,2.05,2.65,200,0.0,300.0
24,7.06e,25,15,19,1.8,2.05,2.65,200,0.0,300.0
25,7.06d,25,15,19,1.8,2.05,2.65,200,0.0,300.0
26,7.06,25,15,19,1.8,2.05,2.65,200,0.0,300.0
27,7.05,25,15,19,1.5,2.05,2.65,200,0.25,300.0
28,7.02,25,15,19,1.5,2.05,2.65,200,0.25,300.0
29,7.00,25,15,19,1.5,2.05,2.65,200,0.25,300.0
30,6.87,25,15,19,1.5,2.05,2.65,200,0.25,300.0
31,6.86d,25,15,19,1.5,2.05,2.65,200,0.25,300.0
32,6.86,25,15,19,1.5,2.05,2.65,200,0.25,300.0
33,6.85,25,15,19,1.5,2.05,2.65,200,0.25,300.0
34,6.84c,25,15,19,1.5,2.05,2.65,200,0.25,300.0
35,6.83,25,15,19,1.5,2.05,2.65,200,0.25,300.0
36,6.82,25,15,19,1.5,2.05,2.65,200,0.25,300.0
37,6.81,25,15,19,1.5,2.05,2.65,200,0.25,300.0
38,6.79,25,15,19,1.5,2.05,2.65,200,0.25,300.0
39,6.76,25,15,19,1.5,2.05,2.65,200,0.25,300.0
40,6.75,25,15,19,1.5,2.05,2.65,200,0.25,300.0
