,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,18,16,14,2.2,1.6,3.3,200,0.0,275.0
1,7.26b,18,16,14,2.2,1.6,3.3,200,0.0,275.0
2,7.25,18,16,14,2.2,1.6,3.3,200,0.0,275.0
3,7.24,18,16,14,2.2,1.6,3.3,200,0.0,275.0
4,7.23d,18,16,14,2.2,1.6,3.3,200,0.0,275.0
5,7.23c,18,16,14,2.2,1.6,3.3,200,0.0,275.0
6,7.23b,18,16,14,2.2,1.6,3.3,200,0.0,275.0
7,7.23a,18,16,14,2.2,1.6,3.3,200,0.0,275.0
8,7.23,18,16,14,2.2,1.6,3.3,200,0.0,275.0
9,7.22f,18,16,14,2.2,1.6,3.3,200,0.0,275.0
10,7.22,18,16,14,2.2,1.6,3.3,200,0.0,275.0
11,7.21b,18,16,14,2.2,1.6,3.3,200,0.0,275.0
12,7.21,18,16,14,2.2,1.6,3.3,200,0.0,275.0
13,7.20,18,16,14,2.2,1.6,2.9,200,0.0,275.0
14,7.19c,18,16,14,2.0,1.6,2.9,200,1.5,275.0
15,7.19b,18,16,14,2.0,1.6,2.9,200,1.5,275.0
16,7.19,18,16,14,2.0,1.6,2.9,200,1.5,275.0
17,7.18,18,16,14,2.0,1.6,2.9,200,1.5,275.0
18,7.17,18,16,14,2.0,1.6,2.9,200,1.5,275.0
19,7.16,18,16,14,2.0,1.6,2.9,200,1.5,275.0
20,7.15,18,16,14,2.0,1.6,2.9,200,1.5,275.0
21,7.14,18,16,14,2.0,1.6,2.9,200,1.5,275.0
22,7.13b,18,16,14,2.0,1.6,2.9,200,1.5,275.0
23,7.12,18,16,14,2.0,1.6,2.9,200,1.5,275.0
24,7.10,18,16,14,2.0,1.6,2.9,200,1.5,275.0
25,7.07,18,16,14,2.0,1.6,2.9,200,1.5,275.0
26,7.06d,18,16,14,2.0,1.6,2.9,200,0.0,275.0
27,7.06c,18,16,14,2.0,1.6,2.9,200,0.0,275.0
28,7.06,18,16,14,2.0,1.6,2.9,200,0.0,280.0
29,7.03,18,16,14,1.7,1.6,2.9,200,0.25,280.0
30,7.02,18,16,14,1.7,1.6,2.9,200,0.25,280.0
31,7.00,18,16,14,1.7,1.6,2.9,200,0.25,280.0
32,6.88,18,16,14,1.7,1.6,2.9,200,0.25,280.0
33,6.87,18,16,14,1.7,1.6,2.9,200,0.25,280.0
34,6.86,18,16,14,1.7,1.6,2.9,200,0.25,280.0
35,6.85,18,16,14,1.7,1.6,2.9,200,0.25,280.0
36,6.84,18,16,14,1.7,1.6,2.9,200,0.25,280.0
37,6.83,18,16,14,1.7,1.6,2.9,200,0.25,280.0
38,6.82,18,16,14,1.7,1.6,2.9,200,0.25,280.0
39,6.80,18,16,14,1.7,1.6,2.9,200,0.25,280.0
40,6.79c,18,16,14,1.7,1.6,2.9,200,0.25,280.0
41,6.79,18,16,14,1.7,1.6,2.9,200,0.25,280.0
42,6.78,18,16,14,1.7,1.6,2.9,200,0.25,280.0
43,6.76,18,16,14,1.7,1.6,2.9,200,0.25,280.0
44,6.75,18,16,14,1.7,1.6,2.9,200,0.25,280.0
45,6.74,18,16,14,1.7,1.6,2.9,200,0.25,280.0
46,6.72c,18,16,14,1.7,1.6,2.9,200,0.25,280.0
47,6.72,18,16,14,1.7,1.6,2.9,200,0.25,280.0
48,6.69,18,16,14,1.7,1.6,2.9,200,0.25,280.0
49,6.60,18,16,14,1.7,1.6,2.9,200,0.25,280.0
50,6.55,18,16,14,1.7,1.6,2.9,200,0.25,280.0
51,6.54,18,16,14,1.7,1.6,2.9,200,0.25,280.0
52,6.49,18,16,14,1.7,1.6,2.9,200,0.25,280.0
53,6.42,18,16,14,1.7,1.6,2.9,200,0.25,280.0
54,6.35,18,16,14,1.7,1.6,2.9,200,0.25,280.0
55,6.29,18,16,14,1.7,1.6,2.9,200,0.25,280.0
56,6.20,18,16,14,1.7,1.6,2.9,200,0.25,280.0
57,6.19b,18,16,14,1.7,1.6,2.9,200,0.25,280.0
