,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,18,21,25,2.5,1.7,3.7,200,0.0,305.0
1,7.25,18,21,25,2.5,1.7,3.7,200,0.0,305.0
2,7.23e,18,21,25,2.5,1.7,3.7,200,0.0,305.0
3,7.23c,18,21,25,2.5,1.7,3.7,200,0.0,305.0
4,7.23,18,21,25,2.5,1.7,3.7,200,0.0,305.0
5,7.22d,18,21,25,2.5,1.7,3.7,200,0.0,305.0
6,7.22c,18,21,25,2.5,1.7,3.7,200,0.0,305.0
7,7.22,18,21,25,2.5,1.7,3.7,200,0.0,305.0
8,7.21,18,21,25,2.5,1.7,3.7,200,0.0,305.0
9,7.20e,18,21,25,2.5,1.7,3.2,200,0.0,310.0
10,7.20d,18,21,25,2.5,1.7,3.2,200,0.0,310.0
11,7.20c,18,21,25,2.5,1.7,3.4,200,0.0,310.0
12,7.20b,18,21,25,2.5,1.7,3.4,200,0.0,310.0
13,7.20,18,21,25,2.5,1.7,3.4,200,0.0,310.0
14,7.18,18,21,25,2.3,1.7,3.4,200,1.5,310.0
15,7.16,18,21,25,2.3,1.7,3.4,200,1.5,310.0
16,7.15,18,21,25,2.15,1.7,3.4,200,1.5,310.0
17,7.14,18,21,25,2.15,1.7,3.4,200,1.5,310.0
18,7.13b,18,21,25,2.15,1.7,3.4,200,1.5,310.0
19,7.12,18,21,25,2.15,1.7,3.4,200,1.5,310.0
20,7.10,18,21,25,2.15,1.7,3.4,200,1.5,310.0
21,7.07d,18,21,25,2.15,1.7,3.4,200,1.5,305.0
22,7.07,18,21,25,2.15,1.7,3.4,200,1.5,305.0
23,7.06,18,21,25,2.15,1.7,3.4,200,0.0,305.0
24,7.02,18,21,25,15.0,1.7,3.4,200,0.25,305.0
25,7.00,18,21,25,15.0,1.7,3.4,200,0.25,305.0
26,6.87,18,21,25,15.0,1.7,3.4,200,0.25,305.0
27,6.86c,18,21,25,15.0,1.7,3.4,200,0.25,305.0
28,6.86,18,21,25,15.0,1.7,3.4,200,0.25,305.0
29,6.85,18,21,25,15.0,1.7,3.4,200,0.25,305.0
30,6.84,18,21,25,15.0,1.7,3.4,200,0.25,305.0
31,6.83,18,21,25,15.0,1.7,3.4,200,0.25,305.0
32,6.82,18,21,25,15.0,1.7,3.4,200,0.25,305.0
33,6.81,18,21,25,15.0,1.7,3.4,200,0.25,305.0
34,6.80,18,21,25,15.0,1.7,3.4,200,0.25,305.0
35,6.79,18,21,25,15.0,1.7,3.4,200,0.25,305.0
36,6.78,18,21,25,15.0,1.7,3.4,200,0.25,305.0
37,6.77,18,21,25,15.0,1.7,3.4,200,0.25,305.0
38,6.75,18,21,25,15.0,1.7,3.4,200,0.25,305.0
39,6.72d,18,21,25,15.0,1.7,3.4,200,0.25,305.0
40,6.72c,18,21,25,15.0,1.7,3.4,200,0.25,305.0
41,6.72,18,21,25,15.0,1.7,3.4,200,0.25,305.0
42,6.71,18,21,25,15.0,1.7,3.4,200,0.25,305.0
43,6.70,18,21,25,15.0,1.7,3.4,200,0.25,305.0
44,6.69,18,21,25,15.0,1.7,3.4,200,0.25,305.0
45,6.66,18,21,25,15.0,1.7,3.4,200,0.25,305.0
46,6.65,18,21,25,15.0,1.7,3.4,200,0.25,305.0
47,6.60,18,21,25,15.0,1.7,3.4,200,0.25,305.0
48,6.58,18,21,25,15.0,1.7,3.4,200,0.25,305.0
49,6.57,18,21,25,15.0,1.7,3.4,200,0.25,305.0
50,6.54,18,21,25,15.0,1.7,3.4,200,0.25,305.0
51,6.52,18,21,25,15.0,1.7,3.4,200,0.25,305.0
52,6.48b,18,21,25,15.0,1.7,3.4,200,0.25,305.0
53,6.47,18,21,25,15.0,1.7,3.4,200,0.25,305.0
54,6.45,18,21,25,15.0,1.7,3.4,200,0.25,305.0
55,6.44,18,21,25,15.0,1.7,3.4,200,0.25,305.0
56,6.40,18,21,25,15.0,1.7,3.4,200,0.25,305.0
57,6.39b,18,21,25,15.0,1.7,3.4,200,0.25,305.0
58,6.39,18,21,25,15.0,1.7,3.4,200,0.25,305.0
