,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,19,14,24,3.1,1.4,3.5,200,0.0,310.0
1,7.26a,19,14,24,3.1,1.4,3.5,200,0.0,310.0
2,7.25c,19,14,24,3.1,1.4,3.5,200,0.0,315.0
3,7.25,19,14,24,3.1,1.4,3.5,200,0.0,315.0
4,7.24,19,14,24,3.1,1.4,3.5,200,0.0,315.0
5,7.23,19,14,24,3.1,1.4,3.5,200,0.0,310.0
6,7.22e,19,14,24,3.1,1.4,3.5,200,0.0,310.0
7,7.22,19,14,24,3.1,1.4,3.5,200,0.0,310.0
8,7.21c,19,14,24,3.1,1.4,3.5,200,0.0,310.0
9,7.21,19,14,24,3.1,1.4,3.5,200,0.0,310.0
10,7.20e,19,14,24,3.1,1.4,3.0,200,0.0,315.0
11,7.20c,19,14,24,3.1,1.4,3.0,200,0.0,315.0
12,7.20,19,14,24,3.1,1.4,3.0,200,0.0,310.0
13,7.18,19,14,24,2.6,1.4,3.0,200,1.5,305.0
14,7.17,19,14,24,2.6,1.4,3.0,200,1.5,305.0
15,7.16,19,14,24,2.6,1.4,3.0,200,1.5,305.0
16,7.15,19,14,24,2.6,1.4,3.0,200,1.5,310.0
17,7.14,19,14,24,2.6,1.4,3.0,200,1.5,310.0
18,7.13b,19,14,24,2.6,1.4,3.0,200,2.0,310.0
19,7.12,19,14,24,2.6,1.4,3.0,200,2.0,310.0
20,7.07,19,14,24,2.6,1.4,3.0,200,2.0,310.0
21,7.06,19,14,24,2.6,1.4,3.0,200,0.5,310.0
22,7.05,19,14,24,2.3,1.4,3.0,200,0.75,310.0
23,7.04,19,14,24,1.9,1.4,3.0,200,0.75,310.0
24,7.03,19,14,24,1.9,1.4,3.0,200,0.75,310.0
25,7.02,19,14,24,1.9,1.4,3.0,200,0.75,310.0
26,7.01,19,14,24,1.9,1.4,3.0,200,0.75,310.0
27,7.00,19,14,24,1.9,1.4,3.0,200,0.75,310.0
28,6.88b,19,14,24,1.9,1.4,3.0,200,0.75,310.0
29,6.88,19,14,24,1.9,1.4,3.0,200,0.75,310.0
30,6.87,19,14,24,1.9,1.4,3.0,200,0.75,310.0
31,6.86c,19,14,24,1.9,1.4,3.0,200,0.75,310.0
32,6.86b,19,14,24,1.9,1.4,3.0,200,0.75,310.0
33,6.86,19,14,24,1.9,1.4,3.0,200,0.75,310.0
34,6.85,19,14,24,1.9,1.4,3.0,200,0.75,280.0
35,6.84,19,14,24,1.9,1.4,3.0,200,0.75,280.0
36,6.83,19,14,24,1.9,1.4,3.0,200,0.75,280.0
37,6.82c,19,14,24,2.2,1.4,3.0,200,0.75,280.0
38,6.82,19,14,24,2.2,1.4,3.0,200,0.75,280.0
39,6.80,19,14,24,2.2,1.4,3.0,200,0.75,280.0
40,6.79,19,14,24,2.2,1.4,3.0,200,0.75,280.0
41,6.78,19,14,24,2.2,1.4,3.0,200,0.75,280.0
42,6.76,19,14,24,2.2,1.4,3.0,200,0.75,285.0
43,6.75,19,14,24,2.2,1.4,3.0,200,0.75,285.0
44,6.73,19,14,24,2.2,1.4,3.0,200,0.75,285.0
45,6.72d,19,14,24,2.2,1.4,3.0,200,0.75,285.0
46,6.72,19,14,24,2.2,1.4,3.0,200,0.75,285.0
47,6.70,19,14,24,2.2,1.4,3.0,200,0.25,285.0
48,6.68,19,14,24,1.8,1.4,3.0,200,0.25,285.0
49,6.65,19,14,24,1.8,1.4,3.0,200,0.25,285.0
50,6.60,19,14,24,1.8,1.4,3.0,200,0.25,285.0
51,6.56,19,14,24,1.8,1.4,3.0,200,0.25,285.0
52,6.55,19,14,24,1.8,1.4,3.0,200,0.25,280.0
53,6.51,19,14,24,1.8,1.4,3.0,200,0.25,280.0
54,6.50,19,14,24,1.8,1.4,3.0,200,0.25,280.0
55,6.48b,19,14,24,1.8,1.4,3.0,200,0.25,280.0
56,6.41,19,14,24,1.8,1.4,3.0,200,0.25,280.0
57,6.39,19,14,24,1.8,1.4,3.0,200,0.25,280.0
58,6.00,19,14,24,1.8,1.4,3.0,200,0.25,280.0
59,5.78,19,14,24,1.8,1.4,3.0,200,0.25,280.0
60,5.72,19,14,24,1.8,1.4,3.0,200,0.25,280.0
61,5.71,19,14,24,1.8,1.4,3.0,200,0.25,280.0
62,5.62,19,14,24,1.8,1.4,3.0,200,0.25,280.0
63,5.58,19,14,24,1.8,1.4,3.0,200,0.25,280.0
64,5.55,19,14,24,1.75,1.0,3.5,200,0.25,280.0
65,5.54,19,14,24,1.6,1.0,3.5,200,0.25,280.0
66,5.50,19,14,24,1.6,1.0,3.5,200,0.25,280.0
67,5.40,19,14,24,1.6,1.0,3.5,200,0.25,280.0
68,5.35,19,14,24,1.6,1.0,3.5,200,0.25,280.0
69,5.31,19,14,24,1.6,1.0,3.5,200,0.25,280.0
70,5.10,19,14,24,1.6,1.0,3.5,200,0.25,280.0
71,4.0beta10,19,14,24,1.6,1.0,3.5,200,0.25,280.0
72,4.0beta6,19,14,24,1.6,1.0,3.5,200,0.25,280.0
73,4.0beta5,19,14,24,1.6,1.0,3.5,200,0.25,280.0
74,4.0beta3,19,14,24,1.6,1.0,3.5,200,0.25,280.0
75,4.0beta2,19,14,24,1.6,1.0,3.5,200,0.25,280.0
76,2.60,19,14,24,1.6,1.0,3.0,200,0.25,280.0
77,0.96b,19,14,24,1.6,1.0,3.0,200,0.25,300.0
78,0.60,19,14,24,1.6,1.0,3.0,200,0.25,300.0
