,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,24,14,23,3.0,1.8,1.6,200,0.0,310.0
1,7.26b,24,14,23,3.0,1.8,1.6,200,0.0,310.0
2,7.25,24,14,23,3.0,1.8,1.6,200,0.0,310.0
3,7.23,24,14,23,3.0,1.8,1.6,200,0.0,310.0
4,7.22g,24,14,23,3.0,1.8,1.6,200,0.0,310.0
5,7.22f,24,14,23,3.0,1.8,1.6,200,0.0,310.0
6,7.22c,24,14,23,3.0,1.8,1.6,200,0.0,310.0
7,7.22,24,14,23,3.0,1.8,1.6,200,0.0,310.0
8,7.21c,24,14,23,3.0,1.8,1.6,200,0.0,310.0
9,7.21,24,14,23,3.0,1.8,1.6,200,0.0,310.0
10,7.20d,24,14,23,2.6,1.8,1.6,200,0.0,310.0
11,7.20c,24,14,23,2.6,1.8,1.6,200,0.0,310.0
12,7.20,24,14,23,2.6,1.8,1.6,200,0.0,310.0
13,7.13b,24,14,23,2.6,1.8,1.6,200,1.5,310.0
14,7.12,24,14,23,2.6,1.8,1.6,200,1.5,315.0
15,7.07,24,14,23,2.6,1.8,1.6,200,1.5,315.0
16,7.06,24,14,23,2.6,1.8,1.6,200,0.0,315.0
17,7.03,24,14,23,2.3,1.8,1.6,200,0.25,315.0
18,7.02,24,14,23,2.3,1.5,1.6,200,0.25,315.0
19,7.00,24,14,23,2.3,1.5,1.6,200,0.25,315.0
20,6.88e,24,14,23,2.3,1.5,1.6,200,0.25,315.0
21,6.88c,24,14,23,2.3,1.5,1.6,200,0.25,315.0
22,6.88b,24,14,23,2.3,1.5,1.6,200,0.25,315.0
23,6.87,24,14,23,2.3,1.5,1.6,200,0.25,315.0
24,6.86,24,14,23,2.3,1.5,1.6,200,0.25,315.0
25,6.85,24,14,23,2.3,1.5,1.6,200,0.25,315.0
26,6.84,24,14,23,2.3,1.5,1.6,200,0.25,315.0
27,6.83,24,14,23,2.3,1.5,1.6,200,0.25,315.0
28,6.82,24,14,23,2.3,1.5,1.6,200,0.25,315.0
29,6.81b,24,14,23,2.3,1.5,1.6,200,0.25,315.0
30,6.81,24,14,23,2.3,1.5,1.6,200,0.25,315.0
31,6.79c,24,14,23,2.3,1.5,1.6,200,0.25,315.0
32,6.79,24,14,23,2.3,1.5,1.6,200,0.25,315.0
33,6.78,24,14,23,2.3,1.5,1.6,200,0.25,315.0
34,6.75,24,14,23,2.3,1.5,1.6,200,0.25,315.0
35,6.72d,24,14,23,2.3,1.5,1.6,200,0.25,315.0
36,6.72c,24,14,23,2.3,1.5,1.6,200,0.25,315.0
37,6.72,24,14,23,2.3,1.5,1.6,200,0.25,315.0
38,6.71,24,14,23,2.3,1.5,1.6,200,0.25,315.0
39,6.68,24,14,23,2.3,1.5,1.6,200,0.25,310.0
40,6.63,24,14,23,2.3,1.5,1.6,200,0.25,310.0
41,6.61,24,14,23,2.3,1.5,1.6,200,0.25,310.0
42,6.60,24,14,23,2.7,1.5,1.6,200,0.25,310.0
