,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,17,19,22,1.7,1.8,3.6,200,0.0,320.0
1,7.25,17,19,22,1.7,1.8,3.6,200,0.0,320.0
2,7.24b,17,19,22,1.7,1.8,3.6,200,0.0,320.0
3,7.23c,17,19,22,1.7,1.8,3.6,200,0.0,320.0
4,7.23,17,19,22,1.7,1.8,3.6,200,0.0,315.0
5,7.22g,17,19,22,1.7,1.8,3.6,200,0.0,315.0
6,7.22d,17,19,22,1.7,1.8,3.6,200,0.0,315.0
7,7.22c,17,19,22,1.7,1.8,3.6,200,0.0,315.0
8,7.22,17,19,22,1.7,1.8,3.6,200,0.0,315.0
9,7.21d,17,19,22,1.7,1.8,3.6,200,0.0,315.0
10,7.21c,17,19,22,1.7,1.8,3.6,200,0.0,315.0
11,7.21,17,19,22,1.7,1.8,3.6,200,0.0,315.0
12,7.20c,17,19,22,1.7,1.8,3.1,200,0.0,320.0
13,7.20,17,19,22,1.7,1.8,3.1,200,0.0,320.0
14,7.19c,17,19,22,1.3,1.8,3.1,200,1.5,320.0
15,7.19b,17,19,22,1.3,1.8,3.1,200,1.5,325.0
16,7.19,17,19,22,1.3,1.8,3.1,200,1.5,340.0
17,7.18,17,19,22,1.3,1.8,3.1,200,1.5,340.0
18,7.17,17,19,22,1.3,1.8,3.1,200,1.5,340.0
19,7.16,17,19,22,1.3,1.8,3.1,200,1.5,340.0
20,7.15,17,19,22,1.3,1.8,3.1,200,1.5,340.0
21,7.13b,17,19,22,1.3,1.8,3.1,200,1.5,340.0
22,7.12,17,19,22,1.3,1.8,3.1,200,1.5,340.0
23,7.10,17,19,22,1.3,1.8,3.1,200,1.5,340.0
24,7.08,17,19,22,1.3,1.8,3.1,200,1.5,340.0
25,7.07,17,19,22,1.3,1.8,3.1,200,1.5,340.0
26,7.06e,17,19,22,1.3,1.8,3.1,200,0.0,340.0
27,7.06,17,19,22,1.3,1.8,3.1,200,0.0,340.0
28,7.05,17,19,22,1.0,1.8,3.1,200,0.25,340.0
29,7.03,17,19,22,1.0,1.8,2.8,200,0.25,340.0
30,7.02,17,19,22,1.0,1.8,2.8,200,0.25,335.0
31,7.01,17,19,22,1.0,1.8,2.8,200,0.25,335.0
32,7.00,17,19,22,1.0,1.8,2.8,200,0.25,335.0
33,6.87,17,19,22,1.0,1.8,2.8,200,0.25,335.0
34,6.86,17,19,22,1.0,1.8,2.8,200,0.25,335.0
35,6.85,17,19,22,1.0,1.8,2.8,200,0.25,335.0
36,6.84,17,19,22,1.0,1.8,2.8,200,0.25,335.0
37,6.83,17,19,22,1.0,1.8,2.8,200,0.25,335.0
38,6.82,17,19,22,1.0,1.8,2.8,200,0.25,315.0
39,6.81,17,19,22,1.0,1.8,2.8,200,0.25,310.0
40,6.80,17,19,22,1.0,1.8,2.8,200,0.25,310.0
41,6.79,17,19,22,1.0,1.8,2.8,200,0.25,310.0
42,6.78,17,19,22,1.0,1.8,2.8,200,0.25,310.0
43,6.77,17,19,22,1.0,1.8,2.8,200,0.25,310.0
44,6.73,17,19,22,1.0,1.8,2.8,200,0.25,310.0
45,6.72,17,19,22,1.0,1.8,2.8,200,0.25,305.0
46,6.69,17,19,22,1.0,1.8,2.8,200,0.25,305.0
47,6.66,17,19,22,1.0,1.8,2.8,200,0.25,305.0
48,6.64,17,19,22,1.0,1.8,2.8,200,0.25,295.0
49,6.63,17,19,22,1.0,1.8,2.8,200,0.25,295.0
50,6.58,17,19,22,2.0,1.8,2.8,200,0.25,295.0
51,6.56,17,19,22,2.0,1.8,2.8,200,0.25,295.0
52,6.55,17,19,22,2.0,1.8,2.8,200,0.25,295.0
53,6.54,17,19,22,2.0,1.8,2.8,200,0.25,295.0
54,6.46b,17,19,22,2.0,1.8,2.8,200,0.25,295.0
55,6.46,17,19,22,2.0,1.8,2.8,200,0.25,295.0
56,6.37,17,19,22,2.0,1.8,2.8,200,0.25,295.0
57,6.33b,17,19,22,2.0,1.8,2.0,200,0.25,295.0
58,6.33,17,19,22,2.0,1.8,2.0,200,0.25,295.0
59,6.26,17,19,22,1.8,1.8,2.0,200,0.25,285.0
60,6.25,17,19,22,1.8,1.8,2.0,200,0.25,285.0
61,6.24,17,19,22,1.8,1.8,2.6,200,0.25,285.0
62,6.20,17,19,22,1.8,1.8,2.6,200,0.25,285.0
63,6.19,17,19,22,1.8,1.8,2.6,200,0.25,300.0
64,6.17,17,19,22,1.8,1.8,2.6,200,0.25,300.0
65,6.16,17,19,22,1.8,1.8,2.6,200,0.25,292.0
66,6.14,17,19,22,1.8,1.8,2.6,200,0.25,292.0
67,6.13,17,19,22,2.4,1.8,2.6,200,0.25,292.0
68,6.12,17,19,22,2.4,1.8,2.6,200,0.25,292.0
69,6.10,17,19,22,2.4,1.8,2.6,200,0.25,292.0
70,6.09,17,19,22,2.4,1.8,2.6,200,0.25,292.0
71,6.07,17,19,22,2.4,1.8,2.6,200,0.25,292.0
72,6.06,17,19,22,2.4,1.8,2.6,200,0.25,292.0
73,6.04,17,19,22,2.4,1.8,2.6,200,0.25,292.0
74,6.03,17,19,22,2.4,1.8,2.6,200,0.25,292.0
75,6.02,17,19,22,2.4,1.8,2.6,200,0.25,292.0
76,6.00,17,19,22,2.4,1.8,2.6,200,0.25,292.0
