,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,18,25,2.4,1.9,3.8,200,0.0,290.0
1,7.26b,21,18,25,2.4,1.9,3.8,200,0.0,290.0
2,7.25,21,18,25,2.4,1.9,3.8,200,0.0,290.0
3,7.24,21,18,25,2.4,1.9,3.8,200,0.0,290.0
4,7.23,21,18,25,2.4,1.9,3.8,200,0.0,290.0
5,7.22f,21,18,25,2.4,1.9,3.8,200,0.0,290.0
6,7.22e,21,18,25,2.4,1.9,3.8,200,0.0,290.0
7,7.22d,21,18,25,2.4,1.9,3.8,200,0.0,290.0
8,7.22b,21,18,25,2.4,1.9,3.8,200,0.0,290.0
9,7.22,21,18,25,2.4,1.9,3.8,200,0.0,290.0
10,7.21b,21,18,25,2.4,1.9,3.8,200,0.0,290.0
11,7.21,21,18,25,2.4,1.9,3.8,200,0.0,290.0
12,7.20e,21,18,25,2.4,1.9,3.3,200,0.0,295.0
13,7.20d,21,18,25,2.4,1.9,3.3,200,0.0,295.0
14,7.20,21,18,25,2.4,1.9,3.3,200,0.0,295.0
15,7.19d,21,18,25,2.2,1.9,3.3,200,1.5,295.0
16,7.19c,21,18,25,2.2,1.9,3.3,200,1.5,295.0
