,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,19,19,2.5,3.6,2.1,200,0.0,315.0
1,7.26b,22,19,19,2.5,3.6,2.1,200,0.0,315.0
2,7.25,22,19,19,2.5,3.6,2.1,200,0.0,315.0
3,7.23,22,19,19,2.3,3.6,2.1,200,0.0,315.0
4,7.22g,22,19,19,2.3,3.6,2.1,200,0.0,315.0
5,7.22,22,19,19,2.3,3.6,2.1,200,0.0,315.0
6,7.21d,22,19,19,2.3,3.6,2.1,200,0.0,315.0
7,7.21,22,19,19,2.3,3.6,2.1,200,0.0,315.0
8,7.20e,22,19,19,2.3,3.1,2.1,200,0.0,320.0
9,7.20c,22,19,19,2.3,2.8,2.1,200,0.0,320.0
10,7.20,22,19,19,2.1,2.8,2.1,200,0.0,320.0
11,7.19b,22,19,19,2.1,2.8,2.1,200,1.5,320.0
12,7.17,22,19,19,2.1,2.8,2.1,200,1.5,320.0
13,7.16,22,19,19,2.1,2.8,2.1,200,1.5,320.0
14,7.15,22,19,19,2.1,2.8,2.1,200,1.5,320.0
15,7.12,22,19,19,2.1,2.8,2.1,200,1.5,320.0
16,7.10,22,19,19,2.1,2.8,2.1,200,1.5,320.0
17,7.07,22,19,19,2.1,2.8,2.1,200,1.5,320.0
18,7.06d,22,19,19,2.1,2.8,2.1,200,0.0,325.0
19,7.06c,22,19,19,2.1,2.8,2.1,200,0.0,320.0
20,7.06,22,19,19,2.1,2.8,2.1,200,0.0,320.0
21,7.03,22,19,19,1.8,2.8,2.1,200,0.25,315.0
22,7.02,22,19,19,1.8,2.8,2.1,200,0.25,315.0
23,7.00,22,19,19,1.8,2.8,2.1,200,0.25,315.0
24,6.88,22,19,19,1.8,2.8,2.1,200,0.25,315.0
25,6.87,22,19,19,1.8,2.8,2.1,200,0.25,315.0
26,6.86c,22,19,19,1.8,2.8,2.1,200,0.25,315.0
27,6.86,22,19,19,1.8,2.8,2.1,200,0.25,315.0
28,6.85,22,19,19,1.8,2.8,2.1,200,0.25,315.0
29,6.84c,22,19,19,1.8,2.8,2.1,200,0.25,315.0
30,6.84b,22,19,19,1.8,2.8,2.1,200,0.25,315.0
31,6.84,22,19,19,1.8,2.8,2.1,200,0.25,315.0
32,6.83,22,19,19,1.8,2.8,2.1,200,0.25,315.0
33,6.82,22,19,19,1.8,2.8,2.1,200,0.25,315.0
34,6.81,22,19,19,1.8,2.8,2.1,200,0.25,315.0
35,6.78c,22,19,19,1.8,2.8,2.1,200,0.25,315.0
36,6.78,22,19,19,1.8,2.8,2.1,200,0.25,315.0
37,6.76,22,19,19,1.8,2.8,2.1,200,0.25,315.0
38,6.75,22,19,19,1.8,2.8,2.1,200,0.25,315.0
39,6.74,22,19,19,1.8,2.8,2.1,200,0.25,305.0
40,6.73,22,19,19,1.8,2.8,2.1,200,0.25,305.0
41,6.72,22,19,19,1.8,2.8,2.1,200,0.25,305.0
42,6.70,22,19,19,1.8,2.4,2.1,200,0.25,305.0
43,6.69,22,19,19,1.8,2.4,2.1,200,0.25,305.0
44,6.68,22,19,19,1.8,2.4,2.1,200,0.25,305.0
