,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,15,18,3.2,1.4,1.5,200,0.0,290.0
1,7.26b,21,15,18,3.2,1.4,1.5,200,0.0,290.0
2,7.25c,21,15,18,3.2,1.4,1.5,200,0.0,290.0
3,7.25,21,15,18,3.2,1.4,1.5,200,0.0,290.0
4,7.24b,21,15,18,3.2,1.4,1.5,200,0.0,290.0
5,7.23b,21,15,18,3.4,1.4,1.5,200,0.0,290.0
6,7.23,21,15,18,3.1,1.4,1.5,200,0.0,290.0
7,7.22d,21,15,18,3.1,1.4,1.5,200,0.0,290.0
8,7.22c,21,15,18,3.1,1.4,1.5,200,0.0,290.0
9,7.22,21,15,18,3.1,1.4,1.5,200,0.0,290.0
10,7.21,21,15,18,3.1,1.4,1.5,200,0.0,290.0
11,7.20e,21,15,18,2.7,1.4,1.5,200,0.0,290.0
12,7.20,21,15,18,2.7,1.4,1.5,200,0.0,290.0
13,7.19b,21,15,18,2.7,1.4,1.5,200,1.5,290.0
14,7.17,21,15,18,2.7,1.4,1.5,200,1.5,290.0
15,7.16,21,15,18,2.7,1.4,1.5,200,1.5,290.0
16,7.13b,21,15,18,2.7,1.4,1.5,200,1.5,290.0
17,7.07c,21,15,18,2.7,1.4,1.5,200,1.5,295.0
18,7.07,21,15,18,2.7,1.4,1.5,200,1.5,300.0
19,7.06,21,15,18,2.7,1.4,1.5,200,0.0,300.0
20,7.03,21,15,18,2.4,1.4,1.5,200,0.25,300.0
21,7.02,21,15,18,2.4,1.4,1.5,200,0.25,300.0
22,7.00,21,15,18,2.4,1.4,1.5,200,0.25,300.0
23,6.88e,21,15,18,2.4,1.4,1.5,200,0.25,300.0
24,6.87,21,15,18,2.4,1.4,1.5,200,0.25,300.0
25,6.86,21,15,18,2.4,1.4,1.5,200,0.25,300.0
26,6.85,21,15,18,2.4,1.4,1.5,200,0.25,300.0
27,6.84,21,15,18,2.4,1.4,1.5,200,0.25,300.0
28,6.83,21,15,18,2.4,1.4,1.5,200,0.25,300.0
29,6.82,21,15,18,2.4,1.4,1.5,200,0.25,300.0
30,6.81,21,15,18,2.4,1.4,1.5,200,0.25,300.0
31,6.80,21,15,18,2.4,1.4,1.5,200,0.25,300.0
32,6.79c,21,15,18,2.4,1.4,1.5,200,0.25,300.0
33,6.79,21,15,18,2.4,1.4,1.5,200,0.25,300.0
34,6.78,21,15,18,2.4,1.4,1.5,200,0.25,300.0
35,6.75,21,15,18,2.4,1.4,1.5,200,0.25,300.0
36,6.72c,21,15,18,2.4,1.4,1.5,200,0.25,300.0
37,6.72,21,15,18,2.4,1.4,1.5,200,0.25,300.0
38,6.71,21,15,18,2.4,1.4,1.5,200,0.25,300.0
39,6.69,21,15,18,2.4,1.4,1.5,200,0.25,300.0
40,6.67,21,15,18,2.4,1.4,1.5,200,0.25,300.0
41,6.64,21,15,18,2.4,1.4,1.5,200,0.25,300.0
42,6.63,21,15,18,2.4,1.4,1.5,200,0.25,300.0
43,6.60,21,15,18,2.4,1.4,1.5,200,0.25,300.0
44,6.58,21,15,18,2.4,1.4,1.5,200,0.25,300.0
45,6.57,21,15,18,2.4,1.4,1.5,200,0.25,300.0
46,6.54,21,15,18,2.4,1.4,1.5,200,0.25,300.0
47,6.52,21,15,18,2.4,1.4,1.5,200,0.25,300.0
48,6.44b,21,15,18,2.4,1.4,1.5,200,0.25,300.0
49,6.44,21,15,18,2.4,1.4,1.5,200,0.25,300.0
