,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,18,20,13,2.7,2.8,1.4,200,0.25,325.0
1,7.26b,18,20,13,2.7,2.8,1.4,200,0.25,325.0
2,7.26a,18,20,13,2.7,2.8,1.4,200,0.25,325.0
3,7.25,18,20,13,2.7,2.8,1.4,200,0.25,325.0
4,7.23f,18,20,13,2.7,2.8,1.4,200,0.25,325.0
5,7.23c,18,20,13,2.7,2.8,1.4,200,0.25,325.0
6,7.23b,18,20,13,2.7,2.8,1.4,200,0.25,325.0
7,7.23a,18,20,13,2.7,2.8,1.4,200,0.25,325.0
8,7.23,18,20,13,2.7,2.8,1.4,200,0.25,325.0
9,7.22,18,20,13,2.7,2.8,1.4,200,0.25,325.0
10,7.21,18,20,13,2.4,2.8,1.4,200,0.25,325.0
11,7.20e,18,20,13,2.4,2.4,1.4,200,0.25,330.0
12,7.20c,18,20,13,2.4,2.4,1.4,200,0.25,340.0
13,7.20b,18,20,13,2.4,2.4,1.4,200,0.25,340.0
14,7.20,18,20,13,2.4,2.4,1.4,200,0.25,340.0
15,7.15,18,20,13,2.4,2.4,1.4,200,1.75,320.0
16,7.10,18,20,13,2.4,2.4,1.4,200,1.75,320.0
17,7.07c,18,20,13,2.4,2.4,1.4,200,1.75,320.0
18,7.07b,18,20,13,2.4,2.4,1.4,200,1.75,320.0
19,7.07,18,20,13,2.4,2.4,1.4,200,1.75,320.0
20,7.06c,18,20,13,2.4,2.4,1.4,200,0.25,325.0
21,7.06,18,20,13,2.4,2.4,1.4,200,0.25,325.0
22,7.04,18,20,13,2.1,2.4,1.4,200,0.5,325.0
23,7.03,18,20,13,2.1,2.4,1.4,200,0.5,325.0
24,7.02,18,20,13,2.1,2.4,1.4,200,0.5,325.0
25,7.00,18,20,13,2.1,2.4,1.4,200,0.5,325.0
26,6.87,18,20,13,2.1,2.4,1.4,200,0.5,325.0
27,6.86e,18,20,13,2.1,2.4,1.4,200,0.5,325.0
28,6.86c,18,20,13,2.1,2.4,1.4,200,0.5,325.0
29,6.86b,18,20,13,2.1,2.4,1.4,200,0.5,325.0
30,6.86,18,20,13,2.1,2.4,1.4,200,0.5,325.0
31,6.85,18,20,13,2.1,2.4,1.4,200,0.5,325.0
32,6.84,18,20,13,2.1,2.4,1.4,200,0.5,325.0
33,6.83,18,20,13,2.1,2.4,1.4,200,0.5,325.0
34,6.82,18,20,13,2.1,2.4,1.4,200,0.5,325.0
35,6.81,18,20,13,2.1,2.4,1.4,200,0.5,325.0
36,6.80,18,20,13,2.1,2.4,1.4,200,0.5,325.0
37,6.79,18,20,13,2.1,2.4,1.4,200,0.5,325.0
38,6.78,18,20,13,2.1,2.4,1.4,200,0.5,315.0
39,6.75,18,20,13,2.1,2.4,1.4,200,0.5,315.0
40,6.72d,18,20,13,2.1,2.4,1.4,200,0.5,315.0
41,6.72c,18,20,13,2.1,2.4,1.4,200,0.5,315.0
42,6.72,18,20,13,2.1,2.4,1.4,200,0.5,315.0
43,6.69,18,20,13,2.1,2.4,1.4,200,0.5,315.0
44,6.64,18,20,13,2.1,2.4,1.4,200,0.5,315.0
45,6.63,18,20,13,2.1,2.4,1.4,200,0.5,305.0
46,6.60,18,20,13,2.1,2.4,1.4,200,0.5,305.0
47,6.58,18,20,13,2.1,2.4,1.4,200,0.5,305.0
48,6.54,18,20,13,2.1,2.4,1.4,200,0.5,305.0
49,6.52,18,20,13,2.1,2.4,1.4,200,0.5,305.0
50,6.51,18,20,13,2.1,2.4,1.4,200,0.5,305.0
51,6.50,18,20,13,2.1,2.4,1.4,200,0.5,305.0
52,6.44,18,20,13,2.1,2.4,1.4,200,0.5,305.0
53,6.42,18,20,13,2.1,2.4,1.4,200,0.5,305.0
54,6.40,18,20,13,2.1,2.4,1.4,200,0.5,305.0
55,6.39,18,20,13,2.1,2.4,1.4,200,0.5,305.0
56,6.30,18,20,13,2.1,2.4,1.4,200,0.5,305.0
57,6.29b,18,20,13,2.1,2.4,1.4,200,0.5,305.0
58,6.27,18,20,13,2.1,2.4,1.4,200,0.5,305.0
59,6.20,18,20,13,2.1,2.4,1.4,200,0.5,305.0
60,6.17,18,20,13,2.1,2.4,1.4,200,0.5,305.0
61,6.09b,18,20,13,2.1,2.4,1.4,200,0.5,305.0
62,6.04,18,20,13,2.1,2.4,1.4,200,0.5,305.0
63,5.72,18,20,13,2.1,2.4,1.4,200,0.5,305.0
64,5.71,18,20,13,2.1,2.4,1.4,200,0.5,305.0
65,5.62,18,20,13,2.1,2.4,1.4,200,0.5,305.0
