,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,15,22,19,1.5,3.6,4.0,200,0.0,275.0
1,7.25,15,22,19,1.5,3.6,4.0,200,0.0,275.0
2,7.24,15,22,19,1.5,3.6,4.0,200,0.0,275.0
3,7.23c,15,22,19,1.5,3.6,3.4,200,0.0,275.0
4,7.23,15,22,19,1.5,3.6,3.4,200,0.0,275.0
5,7.22c,15,22,19,1.5,3.6,2.6,200,0.0,275.0
6,7.22,15,22,19,1.3,3.6,2.6,200,0.0,275.0
7,7.21c,15,22,19,1.3,3.9,2.6,200,0.0,275.0
8,7.21,15,22,19,1.3,3.9,2.1,200,0.0,275.0
9,7.20b,15,22,19,1.3,2.5,2.1,200,0.0,275.0
10,7.20,15,22,19,1.3,2.5,2.1,200,0.0,275.0
11,7.15,15,22,19,1.3,2.5,2.1,200,1.5,275.0
12,7.08,15,22,19,1.3,2.5,2.1,200,1.5,275.0
13,7.07d,15,22,19,1.3,2.5,2.1,200,1.5,275.0
14,7.07b,15,22,19,1.95,2.5,2.1,200,1.5,285.0
15,7.07,15,22,19,1.95,2.5,2.1,200,1.5,285.0
16,7.06d,15,22,19,1.95,2.5,2.1,200,0.0,290.0
17,7.06,15,22,19,1.95,2.5,2.1,200,0.0,290.0
18,7.03,15,22,19,1.65,2.5,2.1,200,0.25,290.0
19,7.02,15,22,19,1.65,2.5,2.1,200,0.25,290.0
20,7.00,15,22,19,1.65,2.5,2.1,200,0.25,290.0
21,6.88,15,22,19,1.65,2.5,2.1,200,0.25,290.0
22,6.87,15,22,19,1.65,2.5,1.85,200,0.25,290.0
23,6.86,15,22,19,1.65,2.5,1.85,200,0.25,290.0
24,6.85,15,22,19,1.65,2.5,1.85,200,0.25,290.0
25,6.84,15,22,19,1.65,2.5,1.85,200,0.25,290.0
26,6.82,15,22,19,1.65,2.5,1.85,200,0.25,290.0
27,6.81,15,22,19,1.65,2.5,1.85,200,0.25,290.0
28,6.80,15,22,19,1.65,2.5,1.85,200,0.25,290.0
29,6.79,15,22,19,1.65,2.5,1.85,200,0.25,290.0
30,6.78,15,22,19,1.65,2.5,1.85,200,0.25,290.0
31,6.77,15,22,19,1.65,2.5,1.85,200,0.25,290.0
32,6.75,15,22,19,1.65,2.5,1.85,200,0.25,290.0
