,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,18,12,21,2.6,1.2,2.7,200,0.0,280.0
1,7.26b,18,12,21,2.8,1.2,2.9,200,0.0,280.0
2,7.23,18,12,21,2.8,1.2,2.9,200,0.0,280.0
3,7.22f,18,12,21,2.8,1.2,2.9,200,0.0,280.0
4,7.22e,18,12,21,2.8,1.2,2.9,200,0.0,280.0
5,7.22c,18,12,21,2.8,1.2,2.9,200,0.0,280.0
6,7.22b,18,12,21,2.8,1.2,2.9,200,0.0,280.0
7,7.22,18,12,21,2.8,1.2,2.9,200,0.0,280.0
8,7.21,18,12,21,2.8,1.2,2.9,200,0.0,280.0
9,7.20,18,12,21,2.8,1.2,2.5,200,0.0,280.0
10,7.19d,18,12,21,2.3,1.2,2.5,200,1.5,280.0
11,7.19b,18,12,21,2.3,1.2,2.5,200,1.5,280.0
12,7.19,18,12,21,2.3,1.2,2.5,200,1.5,285.0
13,7.18,18,12,21,2.3,1.2,2.5,200,1.5,285.0
14,7.17,18,12,21,2.3,1.2,2.5,200,1.5,285.0
15,7.16,18,12,21,2.3,1.2,2.5,200,1.5,285.0
16,7.15,18,12,21,2.3,1.2,2.5,200,1.5,285.0
17,7.14,18,12,21,2.3,1.2,2.5,200,1.5,285.0
18,7.13b,18,12,21,2.3,1.2,2.5,200,1.5,285.0
19,7.12,18,12,21,2.3,1.2,2.5,200,1.5,285.0
20,7.10,18,12,21,2.3,1.2,2.5,200,1.5,285.0
21,7.07,18,12,21,2.3,1.2,2.5,200,1.5,285.0
22,7.06f,18,12,21,2.3,1.2,2.5,200,0.0,285.0
23,7.06d,18,12,21,2.3,1.2,2.5,200,0.0,285.0
24,7.06c,18,12,21,2.3,1.2,2.5,200,0.0,285.0
25,7.06,18,12,21,2.3,1.2,2.5,200,0.0,285.0
26,7.02,18,12,21,2.0,1.2,2.5,200,0.25,285.0
27,7.01,18,12,21,2.0,1.7,2.5,200,0.25,290.0
28,7.00,18,12,21,2.0,1.7,2.5,200,0.25,290.0
29,6.88,18,12,21,2.0,1.7,2.5,200,0.25,290.0
30,6.87,18,12,21,2.0,1.7,2.5,200,0.25,290.0
31,6.86,18,12,21,2.0,1.7,2.5,200,0.25,290.0
32,6.85,18,12,21,2.0,1.7,2.5,200,0.25,290.0
33,6.84,18,12,21,2.0,1.7,2.5,200,0.25,290.0
34,6.82,18,12,21,2.0,1.7,2.5,200,0.25,290.0
35,6.81,18,12,21,2.0,1.7,2.5,200,0.25,290.0
36,6.80,18,12,21,2.0,1.7,2.5,200,0.25,290.0
37,6.79,18,12,21,2.0,1.7,2.5,200,0.25,290.0
38,6.78,18,12,21,2.0,1.7,2.5,200,0.25,290.0
39,6.77,18,12,21,2.0,1.7,2.5,200,0.25,290.0
40,6.76,18,12,21,2.0,1.7,2.5,200,0.25,290.0
41,6.75,18,12,21,2.0,1.7,2.5,200,0.25,290.0
42,6.74,18,12,21,2.0,1.7,2.5,200,0.25,290.0
43,6.73,18,12,21,2.0,1.7,2.5,200,0.25,290.0
44,6.72,18,12,21,2.0,1.7,2.5,200,0.25,290.0
45,6.69,18,12,21,2.0,1.7,2.5,200,0.25,290.0
46,6.64,18,12,21,2.0,1.7,2.5,200,0.25,290.0
47,6.60,18,12,21,1.5,1.7,2.5,200,0.25,290.0
48,6.59,18,12,21,2.0,1.7,2.5,200,0.25,290.0
49,6.58b,18,12,21,2.0,1.7,2.5,200,0.25,290.0
50,6.58,18,12,21,2.0,1.7,2.5,200,0.25,290.0
51,6.52,18,12,21,2.0,1.7,2.5,200,0.25,290.0
52,6.50,18,12,21,2.0,1.7,2.5,200,0.25,290.0
53,6.47,18,12,21,2.0,1.7,2.5,200,0.25,290.0
54,6.46,18,12,21,2.0,1.7,2.5,200,0.25,290.0
55,6.45,18,12,21,2.0,1.7,2.5,200,0.25,290.0
56,6.35,18,12,21,2.0,1.7,2.5,200,0.25,290.0
57,6.29b,18,12,21,2.0,1.7,2.5,200,0.25,290.0
58,6.28,18,12,21,2.0,1.7,2.5,200,0.25,290.0
59,6.20,18,12,21,2.0,1.7,2.5,200,0.25,290.0
60,6.07,18,12,21,2.0,1.7,2.5,200,0.25,300.0
61,6.02,18,12,21,2.0,1.7,2.5,200,0.25,300.0
62,6.00,18,12,21,2.0,1.7,2.5,200,0.25,300.0
63,5.80,18,12,21,2.0,1.7,2.5,200,0.25,300.0
64,5.79,18,12,21,2.0,1.7,2.5,200,0.25,300.0
65,5.78,18,12,21,2.0,1.7,2.5,200,0.25,300.0
66,5.77,18,12,21,2.0,1.7,2.5,200,0.25,300.0
67,5.76,18,12,21,2.0,1.7,2.5,200,0.25,300.0
