,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,23,18,15,3.0,2.3,1.6,200,2.25,295.0
1,7.26b,23,18,15,3.0,2.3,1.6,200,2.25,295.0
2,7.26a,23,18,15,3.0,2.3,1.6,200,2.25,295.0
3,7.25a,23,18,15,3.0,2.3,1.6,200,2.25,300.0
4,7.25,23,18,15,3.2,2.3,1.6,200,2.25,300.0
5,7.23,23,18,15,3.2,2.3,1.6,200,1.75,295.0
6,7.22h,23,18,15,3.2,2.3,1.6,200,1.75,295.0
7,7.22g,23,18,15,3.2,2.3,1.6,200,1.75,295.0
8,7.22f,23,18,15,3.2,2.3,1.6,200,1.75,295.0
9,7.22,23,18,15,3.2,2.3,1.6,200,1.75,290.0
10,7.21b,23,18,15,3.2,2.3,1.6,200,1.75,290.0
11,7.21,23,18,15,3.6,2.3,1.6,200,1.75,290.0
12,7.20e,23,18,15,3.1,2.3,1.6,200,1.75,290.0
13,7.20d,23,18,15,3.1,2.3,1.6,200,1.75,290.0
14,7.20,23,18,15,3.1,2.3,1.6,200,1.75,285.0
15,7.18,23,18,15,3.1,2.25,1.6,200,3.25,285.0
16,7.17,23,18,15,3.1,2.25,1.6,200,3.25,290.0
17,7.16,23,18,15,3.1,2.25,1.6,200,3.25,290.0
18,7.13b,23,18,15,3.1,2.25,1.6,200,3.25,290.0
19,7.07d,23,18,15,3.1,2.25,1.6,200,3.25,295.0
20,7.07c,23,18,15,3.1,2.25,1.6,200,3.25,295.0
21,7.07,23,18,15,3.1,2.25,1.6,200,3.25,295.0
22,7.06f,23,18,15,3.1,2.25,1.6,200,1.75,295.0
23,7.06e,23,18,15,3.1,2.25,1.6,200,1.75,295.0
24,7.06d,23,18,15,3.1,2.25,1.6,200,1.75,295.0
25,7.06,23,18,15,3.1,2.25,1.6,200,1.75,295.0
26,7.02,23,18,15,2.8,2.25,1.6,200,2.0,295.0
27,7.00,23,18,15,2.8,2.25,1.6,200,2.0,295.0
28,6.87,23,18,15,2.8,2.25,1.6,200,2.0,295.0
29,6.86,23,18,15,2.8,2.25,1.6,200,2.0,295.0
30,6.85,23,18,15,2.8,2.25,1.6,200,2.0,295.0
31,6.84,23,18,15,2.8,2.25,1.6,200,0.25,295.0
32,6.83,23,18,15,2.8,2.25,1.6,200,0.25,295.0
33,6.82,23,18,15,2.8,2.25,1.6,200,0.25,295.0
34,6.81,23,18,15,2.8,2.25,1.6,200,0.25,295.0
35,6.80,23,18,15,2.8,2.25,1.6,200,0.25,295.0
36,6.79,23,18,15,2.8,2.25,1.6,200,0.25,295.0
37,6.78,23,18,15,2.8,2.25,1.6,200,0.25,295.0
38,6.72d,23,18,15,2.8,2.25,1.6,200,0.25,295.0
39,6.72c,23,18,15,2.8,2.25,1.6,200,0.25,295.0
40,6.72,23,18,15,2.8,2.25,1.6,200,0.25,295.0
41,6.68,23,18,15,2.8,2.25,1.6,200,0.25,295.0
42,6.65,23,18,15,2.8,2.25,1.6,200,0.25,295.0
43,6.64,23,18,15,2.8,2.25,1.6,200,0.25,295.0
44,6.63,23,18,15,2.8,2.25,1.6,200,0.25,295.0
45,6.61,23,18,15,2.8,2.25,1.6,200,0.25,295.0
46,6.60,23,18,15,2.8,2.25,1.25,200,0.25,295.0
47,6.55,23,18,15,2.8,2.25,1.25,200,0.25,295.0
48,6.54,23,18,15,2.8,2.25,1.25,200,0.25,295.0
49,6.45,23,18,15,2.8,2.25,1.25,200,0.25,295.0
50,6.41,23,18,15,2.8,2.25,1.25,200,0.25,295.0
51,6.35,23,18,15,2.8,2.25,1.25,200,0.25,295.0
52,6.31,23,18,15,2.8,2.25,1.25,200,0.25,295.0
53,6.29,23,18,15,2.8,2.25,1.25,200,0.25,295.0
54,6.19,23,18,15,2.8,2.25,1.25,200,0.25,295.0
55,6.02,23,18,15,2.8,2.25,1.25,200,0.25,295.0
56,6.00,23,18,15,2.8,2.25,1.25,200,0.25,295.0
57,5.78,23,18,15,2.8,2.25,1.25,200,0.25,295.0
58,5.71,23,18,15,2.8,2.25,1.25,200,0.25,295.0
59,5.65,23,18,15,2.8,2.25,1.25,200,0.25,300.0
60,5.61,23,18,15,2.8,2.25,1.25,200,0.25,300.0
61,5.60,23,18,15,2.7,2.25,1.25,200,0.25,300.0
62,5.59,23,18,15,2.7,2.25,1.25,200,0.25,300.0
63,5.58,23,18,15,2.7,2.25,1.25,200,0.25,300.0
64,5.57,23,18,15,2.8,2.25,1.25,200,0.25,300.0
65,5.55,23,18,15,2.8,2.25,1.25,200,0.25,300.0
66,5.54,23,18,15,2.8,2.0,1.25,200,0.25,300.0
67,5.50,23,18,15,2.75,2.0,1.25,200,0.25,300.0
68,5.40,23,18,15,3.0,2.5,1.7,200,0.25,300.0
69,5.36,23,18,15,3.0,2.5,1.7,200,0.25,300.0
70,5.35,23,18,15,3.0,2.5,1.7,200,0.25,300.0
71,5.31,23,18,15,3.0,2.5,1.7,200,0.25,300.0
72,5.10,23,18,15,3.0,2.5,1.7,200,0.25,300.0
