,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,23,14,15,3.5,1.9,2.5,200,3.25,290.0
1,7.26b,23,14,15,3.5,1.9,2.5,200,3.25,290.0
2,7.26a,23,14,15,3.5,1.9,2.5,200,3.25,290.0
3,7.25,23,14,15,3.5,1.9,2.5,200,3.25,290.0
4,7.24,23,14,15,3.5,1.9,2.5,200,3.25,290.0
5,7.23,23,14,15,3.5,1.9,2.5,200,3.25,290.0
6,7.22g,23,14,15,3.5,1.9,2.5,200,3.25,290.0
7,7.22e,23,14,15,3.5,1.9,2.5,200,3.25,290.0
8,7.22d,23,14,15,3.5,1.6,2.3,200,3.25,290.0
9,7.22,23,14,15,3.5,1.6,2.3,200,3.25,290.0
10,7.21,23,14,15,3.5,1.6,2.3,200,3.25,290.0
11,7.20d,23,14,15,3.5,1.6,2.0,200,3.25,290.0
12,7.20,23,14,15,3.5,1.6,2.0,200,3.25,285.0
13,7.19,23,14,15,3.5,1.55,2.0,200,4.75,285.0
14,7.16,23,14,15,3.5,1.55,2.0,200,4.75,285.0
15,7.15,23,14,15,3.5,1.55,2.0,200,4.75,285.0
16,7.14,23,14,15,3.5,1.55,2.0,200,4.75,285.0
17,7.13b,23,14,15,3.5,1.55,2.0,200,4.75,285.0
18,7.12,23,14,15,3.5,1.55,2.0,200,4.75,285.0
19,7.10,23,14,15,3.5,1.55,2.0,200,4.75,285.0
20,7.07,23,14,15,3.5,1.55,2.0,200,4.75,285.0
21,7.06e,23,14,15,3.5,1.55,2.0,200,3.25,285.0
22,7.06,23,14,15,3.5,1.55,2.0,200,3.25,285.0
23,7.03,23,14,15,3.2,1.55,2.0,200,3.5,285.0
24,7.02,23,14,15,3.2,1.55,2.0,200,3.5,290.0
25,7.01,23,14,15,3.2,1.55,2.4,200,3.5,290.0
26,7.00,23,14,15,3.2,1.55,2.4,200,3.5,295.0
27,6.88b,23,14,15,3.2,1.55,2.4,200,3.5,295.0
28,6.88,23,14,15,3.2,1.55,2.4,200,3.5,295.0
29,6.87,23,14,15,3.2,1.55,2.4,200,3.5,295.0
30,6.86,23,14,15,3.2,1.55,2.4,200,3.5,295.0
31,6.85,23,14,15,3.2,1.55,2.4,200,2.5,295.0
32,6.83,23,14,15,3.2,1.55,2.4,200,2.5,295.0
33,6.82,23,14,15,3.2,1.55,2.4,200,2.5,295.0
34,6.81b,23,14,15,3.2,1.55,2.4,200,0.25,295.0
35,6.81,23,14,15,3.2,1.55,2.4,200,0.25,295.0
36,6.80,23,14,15,3.2,1.55,2.4,200,0.25,295.0
37,6.79,23,14,15,3.2,1.55,2.4,200,0.25,295.0
38,6.78,23,14,15,3.2,1.55,2.4,200,0.25,295.0
39,6.76,23,14,15,3.2,1.55,2.4,200,0.25,295.0
40,6.75,23,14,15,3.2,1.55,2.4,200,0.25,295.0
41,6.74,23,14,15,3.2,1.55,2.4,200,0.25,295.0
42,6.72d,23,14,15,3.2,1.55,2.4,200,0.25,295.0
43,6.72c,23,14,15,3.2,1.55,2.4,200,0.25,295.0
44,6.71,23,14,15,3.2,1.55,2.4,200,0.25,295.0
45,6.68,23,14,15,3.2,1.55,2.4,200,0.25,295.0
46,6.66,23,14,15,3.2,1.55,1.9,200,0.25,295.0
47,6.61,23,14,15,3.2,1.55,1.9,200,0.25,295.0
48,6.60,23,14,15,3.2,1.55,1.9,200,0.25,295.0
49,6.48b,23,14,15,3.2,1.55,1.9,200,0.25,295.0
50,6.38,23,14,15,3.2,1.55,1.9,200,0.25,295.0
51,6.36,23,14,15,3.2,1.55,1.9,200,0.25,295.0
52,6.35,23,14,15,3.2,1.55,1.9,200,0.25,295.0
53,6.34,23,14,15,3.2,1.55,1.9,200,0.25,295.0
54,6.28,23,14,15,3.2,1.55,1.9,200,0.25,295.0
55,6.21,23,14,15,3.2,1.55,1.9,200,0.25,295.0
56,6.20,23,14,15,3.2,1.55,1.9,200,0.25,295.0
57,6.13,23,14,15,3.2,1.55,1.9,200,0.25,295.0
58,6.10,23,14,15,3.2,1.55,1.9,200,0.25,295.0
59,6.09,23,14,15,3.2,1.55,1.9,200,0.25,295.0
60,6.02,23,14,15,3.2,1.55,1.9,200,0.25,295.0
61,6.00,23,14,15,3.2,1.55,1.9,200,0.25,295.0
62,5.84,23,14,15,3.2,1.55,1.9,200,0.25,295.0
63,5.82,23,14,15,3.2,1.55,1.9,200,0.25,295.0
64,5.80,23,14,15,3.2,1.55,1.9,200,0.25,295.0
65,5.79,23,14,15,3.2,1.55,1.9,200,0.25,295.0
66,5.78,23,14,15,3.2,1.55,1.9,200,0.25,295.0
67,5.77,23,14,15,3.2,1.55,1.9,200,0.25,295.0
68,5.76,23,14,15,3.2,1.55,1.9,200,0.25,295.0
