,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,20,15,26,2.4,1.7,4.0,200,0.0,295.0
1,7.26b,20,15,26,2.4,1.7,4.0,200,0.0,295.0
2,7.24,20,15,26,2.4,1.7,4.0,200,0.0,295.0
3,7.23e,20,15,26,2.4,1.7,4.0,200,0.0,295.0
4,7.23c,20,15,26,2.4,1.7,4.0,200,0.0,295.0
5,7.23,20,15,26,2.4,1.7,4.0,200,0.0,295.0
6,7.22e,20,15,26,2.4,1.7,4.0,200,0.0,295.0
7,7.22d,20,15,26,2.4,1.7,4.0,200,0.0,300.0
8,7.22,20,15,26,2.4,1.7,4.0,200,0.0,300.0
9,7.21d,20,15,26,2.4,1.7,4.0,200,0.0,300.0
10,7.21,20,15,26,2.4,1.7,4.0,200,0.0,300.0
11,7.20,20,15,26,2.4,1.7,3.5,200,0.0,305.0
12,7.18,20,15,26,2.2,1.7,3.5,200,1.5,305.0
13,7.17,20,15,26,2.2,1.7,3.2,200,1.5,305.0
14,7.16,20,15,26,2.2,1.7,3.2,200,1.5,305.0
15,7.15,20,15,26,2.2,1.7,3.2,200,1.5,305.0
16,7.13b,20,15,26,2.2,1.7,3.2,200,1.5,305.0
17,7.10,20,15,26,2.2,1.7,3.2,200,1.5,305.0
18,7.08,20,15,26,2.2,1.7,2.9,200,1.5,305.0
19,7.07,20,15,26,2.2,1.7,2.9,200,1.5,305.0
20,7.06c,20,15,26,2.2,1.7,2.9,200,0.0,305.0
21,7.06,20,15,26,2.2,1.7,2.9,200,0.0,305.0
22,7.02,20,15,26,1.9,1.7,2.9,200,0.25,305.0
23,7.00,20,15,26,1.9,1.7,2.9,200,0.25,305.0
24,6.88f,20,15,26,1.9,1.7,2.9,200,0.25,305.0
25,6.88e,20,15,26,1.9,1.7,2.9,200,0.25,305.0
26,6.88c,20,15,26,1.9,1.7,2.9,200,0.25,305.0
27,6.88,20,15,26,1.9,1.7,2.9,200,0.25,305.0
28,6.87,20,15,26,1.9,1.7,2.9,200,0.25,305.0
29,6.86,20,15,26,1.9,1.7,2.9,200,0.25,305.0
30,6.85,20,15,26,1.9,1.7,2.9,200,0.25,305.0
31,6.84,20,15,26,1.9,1.7,2.9,200,0.25,305.0
32,6.79c,20,15,26,1.9,1.7,2.9,200,0.25,305.0
33,6.79,20,15,26,1.9,1.7,2.9,200,0.25,305.0
34,6.78,20,15,26,1.9,1.7,2.9,200,0.25,305.0
