,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,24,30,2.6,2,3.5,200,0.0,310.0
1,7.26b,21,24,30,2.6,2,3.5,200,0.0,310.0
2,7.26a,21,24,30,2.6,2,3.5,200,0.0,310.0
3,7.23f,21,24,30,2.6,2,3.5,200,0.0,310.0
4,7.23d,21,24,30,2.6,2,3.5,200,0.0,310.0
5,7.23a,21,24,30,2.6,2,3.5,200,0.0,310.0
6,7.23,21,24,30,2.6,2,3.5,200,0.0,310.0
7,7.22f,21,24,30,2.6,2,3.5,200,0.0,310.0
8,7.22e,21,24,30,2.6,2,3.5,200,0.0,310.0
9,7.22,21,24,30,2.6,2,3.5,200,0.0,310.0
10,7.21,21,24,30,2.6,2,3.5,200,0.0,310.0
11,7.20e,21,24,30,2.6,2,3.0,200,0.0,315.0
12,7.20c,21,24,30,2.6,2,3.0,200,0.0,315.0
13,7.20b,21,24,30,2.6,2,2.7,200,0.0,315.0
14,7.20,21,24,30,2.6,2,2.7,200,0.0,315.0
15,7.19,21,24,30,2.6,2,2.7,200,1.5,315.0
16,7.16,21,24,30,2.6,2,2.7,200,1.5,315.0
17,7.15,21,24,30,2.6,2,2.7,200,1.5,315.0
18,7.14,21,24,30,2.6,2,2.7,200,1.5,315.0
19,7.10,21,24,30,2.6,2,2.7,200,1.5,315.0
20,7.07,21,24,30,2.6,2,2.7,200,1.5,315.0
21,7.06,21,24,30,2.6,2,2.7,200,2.0,315.0
22,7.02,21,24,30,2.3,2,2.7,200,0.25,315.0
23,7.00,21,24,30,2.3,2,2.7,200,0.25,315.0
24,6.88f,21,24,30,2.3,2,2.7,200,0.25,315.0
25,6.88e,21,24,30,2.3,2,2.7,200,0.25,315.0
26,6.88b,21,24,30,2.3,2,2.7,200,0.25,315.0
27,6.88,21,24,30,2.3,2,2.7,200,0.25,315.0
28,6.87c,21,24,30,2.3,2,2.7,200,0.25,315.0
29,6.87,21,24,30,2.3,2,2.7,200,0.25,315.0
30,6.86c,21,24,30,2.3,2,2.7,200,0.25,315.0
31,6.86b,21,24,30,2.3,2,2.7,200,0.25,315.0
32,6.86,21,24,30,2.3,2,2.7,200,0.25,315.0
33,6.85,21,24,30,2.3,2,3.3,200,0.25,315.0
34,6.84,21,24,30,1.85,2,3.3,200,0.25,315.0
35,6.83,21,24,30,1.85,2,3.3,200,0.25,315.0
36,6.82,21,24,30,1.85,2,3.3,200,0.25,315.0
37,6.80,21,24,30,1.85,2,3.3,200,0.25,315.0
38,6.79,21,24,30,1.85,2,3.3,200,0.25,315.0
39,6.78,21,24,30,1.85,2,3.3,200,0.25,315.0
40,6.76,21,24,30,1.85,2,3.3,200,0.25,310.0
41,6.75,21,24,30,1.85,2,3.3,200,0.25,300.0
42,6.73,21,24,30,1.85,2,3.3,200,0.25,300.0
43,6.72,21,24,30,1.85,2,3.3,200,0.25,300.0
44,6.71,21,24,30,1.85,2,2.8,200,0.25,300.0
45,6.68,21,24,30,1.85,2,2.8,200,0.25,300.0
46,6.66b,21,24,30,1.85,2,2.8,200,0.25,300.0
47,6.66,21,24,30,1.85,2,2.8,200,0.25,300.0
48,6.64,21,24,30,1.85,2,2.8,200,0.25,300.0
49,6.60,21,24,30,1.85,2,2.8,200,0.25,300.0
50,6.58,21,24,30,1.85,2,2.8,200,0.25,300.0
51,6.57,21,24,30,1.85,2,2.8,200,0.25,300.0
52,6.51,21,24,30,1.85,2,2.8,200,0.25,300.0
53,6.50,21,24,30,1.85,2,2.8,200,0.25,300.0
54,6.47,21,24,30,1.85,2,2.8,200,0.25,300.0
55,6.46,21,24,30,1.85,2,2.8,200,0.25,300.0
56,6.44b,21,24,30,1.85,2,2.8,200,0.25,300.0
57,6.44,21,24,30,1.85,2,2.8,200,0.25,300.0
58,6.43,21,24,30,1.85,2,2.8,200,0.25,300.0
59,6.42,21,24,30,1.85,2,2.8,200,0.25,300.0
60,6.40,21,24,30,1.85,2,2.8,200,0.25,300.0
61,6.38,21,24,30,1.85,2,2.8,200,0.25,300.0
62,6.36,21,24,30,1.85,2,2.8,200,0.25,300.0
63,6.35,21,24,30,1.85,2,2.8,200,0.25,300.0
64,6.34,21,24,30,1.85,2,2.8,200,0.25,300.0
65,6.33b,21,24,30,1.85,2,2.8,200,0.25,300.0
66,6.32,21,24,30,1.85,2,2.8,200,0.25,300.0
67,6.31,21,24,30,1.85,2,2.8,200,0.25,300.0
68,6.30,21,24,30,1.85,2,2.8,200,0.25,300.0
