,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,23,15,2.2,3.4,1.0,200,0.25,305.0
1,7.26b,21,23,15,2.2,3.4,1.0,200,0.25,305.0
2,7.24,21,23,15,2.2,3.4,1.0,200,0.25,305.0
3,7.23,21,23,15,2.2,3.4,1.0,200,0.25,305.0
4,7.22f,21,23,15,2.2,3.4,1.0,200,0.25,305.0
5,7.22d,21,23,15,2.2,3.4,1.0,200,0.25,305.0
6,7.22,21,23,15,2.2,3.4,1.0,200,0.25,305.0
7,7.21c,21,23,15,2.2,3.4,1.0,200,0.25,305.0
8,7.21,21,23,15,2.2,3.7,1.0,200,0.25,305.0
9,7.20e,21,23,15,2.2,3.2,1.0,200,0.25,305.0
10,7.20d,21,23,15,2.2,3.2,1.0,200,0.25,305.0
11,7.20c,21,23,15,2.2,3.2,1.0,200,0.25,305.0
12,7.20,21,23,15,2.2,3.2,1.0,200,0.25,305.0
13,7.17,21,23,15,2.15,3.15,1.0,200,1.75,305.0
14,7.16,21,23,15,2.15,3.15,1.0,200,1.75,305.0
15,7.15,21,23,15,2.15,3.15,1.0,200,1.5,305.0
16,7.12,21,23,15,2.15,3.15,1.0,200,1.5,305.0
17,7.10,21,23,15,2.15,3.15,1.0,200,1.5,305.0
18,7.07,21,23,15,2.15,3.15,1.0,200,1.5,305.0
19,7.06,21,23,15,2.15,3.15,1.0,200,0.0,310.0
20,7.02,21,23,15,2.05,3.15,1.0,200,0.25,310.0
21,7.01,21,23,15,2.05,3.15,1.0,200,0.25,310.0
22,7.00,21,23,15,2.05,3.15,1.0,200,0.25,310.0
23,6.88f,21,23,15,2.05,3.15,1.0,200,0.25,310.0
24,6.88e,21,23,15,2.05,3.15,1.0,200,0.25,310.0
25,6.88,21,23,15,2.05,3.15,1.0,200,0.25,310.0
26,6.87c,21,23,15,2.05,3.15,1.0,200,0.25,310.0
27,6.87,21,23,15,2.05,3.15,1.0,200,0.25,310.0
28,6.86,21,23,15,2.05,3.15,1.0,200,0.25,310.0
29,6.85,21,23,15,2.05,3.15,1.0,200,0.25,310.0
30,6.83,21,23,15,2.05,3.15,1.0,200,0.25,310.0
31,6.82,21,23,15,2.05,3.15,1.0,200,0.25,310.0
32,6.81b,21,23,15,2.05,3.15,1.0,200,0.25,310.0
33,6.81,21,23,15,2.05,3.15,1.0,200,0.25,310.0
34,6.80,21,23,15,2.05,3.15,1.0,200,0.25,310.0
35,6.79,21,23,15,2.05,3.15,1.0,200,0.25,310.0
36,6.78,21,23,15,2.05,3.15,1.0,200,0.25,310.0
37,6.75,21,23,15,2.05,3.15,1.0,200,0.25,310.0
38,6.74,21,23,15,2.05,3.15,1.0,200,0.25,310.0
39,6.73,21,23,15,2.05,3.15,1.0,200,0.25,310.0
40,6.72d,21,23,15,2.05,3.15,1.0,200,0.25,310.0
41,6.72c,21,23,15,2.05,3.15,1.0,200,0.25,310.0
42,6.72,21,23,15,2.05,3.15,1.0,200,0.25,310.0
43,6.71,21,23,15,2.05,3.15,1.0,200,0.25,310.0
44,6.70,21,23,15,2.05,3.15,1.0,200,0.25,310.0
45,6.69,21,23,15,2.05,3.15,1.0,200,0.25,310.0
46,6.63,21,23,15,2.05,3.15,1.0,200,0.25,310.0
47,6.60,21,23,15,2.05,3.15,1.0,200,0.25,310.0
48,6.55,21,23,15,2.05,3.15,1.0,200,0.25,310.0
49,6.54,21,23,15,2.05,3.15,1.0,200,0.25,310.0
50,6.53,21,23,15,2.05,3.15,1.0,200,0.25,310.0
51,6.51,21,23,15,2.05,3.15,1.0,200,0.25,310.0
52,6.43,21,23,15,2.05,3.15,1.0,200,0.25,310.0
53,6.35,21,23,15,2.05,3.15,1.0,200,0.25,310.0
54,6.10,21,23,15,2.05,3.15,1.0,200,0.25,310.0
55,6.07,21,23,15,2.05,3.15,1.0,200,0.25,310.0
