,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,25,14,16,4.0,1.5,1.5,200,1.0,280.0
1,7.25,25,14,16,4.0,1.5,1.5,200,1.0,280.0
2,7.24,25,14,16,4.0,1.5,1.5,200,0.0,280.0
3,7.23e,25,14,16,4.0,1.5,1.5,200,0.0,280.0
4,7.23c,25,14,16,4.0,1.5,1.5,200,0.0,280.0
5,7.23,25,14,16,4.0,1.5,1.5,200,0.0,280.0
6,7.22f,25,14,16,4.0,1.5,1.5,200,0.0,280.0
7,7.22d,25,14,16,4.0,1.5,1.5,200,0.0,280.0
8,7.22,25,14,16,4.0,1.5,1.5,200,0.0,280.0
9,7.21d,25,14,16,4.0,1.5,1.5,200,0.0,280.0
10,7.21,25,14,16,4.0,1.5,1.5,200,0.0,280.0
11,7.20d,25,14,16,3.5,1.5,1.5,200,0.0,280.0
12,7.20,25,14,16,3.5,1.5,1.5,200,0.0,275.0
13,7.19,25,14,16,3.5,1.5,1.5,200,1.5,275.0
14,7.18,25,14,16,3.5,1.5,1.5,200,1.5,275.0
15,7.17,25,14,16,3.5,1.5,1.5,200,1.5,275.0
16,7.16,25,14,16,3.5,1.5,1.5,200,1.5,275.0
17,7.14,25,14,16,3.5,1.5,1.5,200,1.5,275.0
18,7.13b,25,14,16,3.5,1.5,1.5,200,1.5,275.0
19,7.10,25,14,16,3.5,1.5,1.5,200,1.5,280.0
20,7.08,25,14,16,3.5,1.5,1.5,200,1.5,280.0
21,7.07d,25,14,16,3.5,1.5,1.5,200,1.5,280.0
22,7.07,25,14,16,3.5,1.5,1.5,200,1.5,280.0
23,7.06,25,14,16,3.5,1.5,1.5,200,0.0,280.0
24,7.03,25,14,16,3.2,1.5,1.5,200,0.25,280.0
25,7.02,25,14,16,3.2,1.5,1.5,200,0.25,280.0
26,7.00,25,14,16,3.2,1.5,1.5,200,0.25,285.0
27,6.88b,25,14,16,3.2,1.5,1.5,200,0.25,285.0
28,6.88,25,14,16,3.2,1.5,1.5,200,0.25,285.0
29,6.87,25,14,16,3.2,1.5,1.5,200,0.25,285.0
30,6.86b,25,14,16,3.2,1.5,1.5,200,0.25,285.0
31,6.86,25,14,16,3.2,1.5,1.5,200,0.25,285.0
32,6.85,25,14,16,3.2,1.5,1.5,200,0.25,285.0
33,6.84,25,14,16,3.2,1.5,1.5,200,0.25,285.0
34,6.83,25,14,16,3.2,1.5,1.5,200,0.25,285.0
35,6.82,25,14,16,3.2,1.5,1.5,200,0.25,285.0
36,6.79,25,14,16,3.2,1.5,1.5,200,0.25,285.0
37,6.78,25,14,16,3.2,1.5,1.5,200,0.25,285.0
38,6.72d,25,14,16,3.2,1.5,1.5,200,0.25,285.0
39,6.72c,25,14,16,3.2,1.5,1.5,200,0.25,285.0
40,6.72,25,14,16,3.2,1.5,1.5,200,0.25,285.0
41,6.68,25,14,16,3.2,1.5,1.5,200,0.25,285.0
42,6.67,25,14,16,3.2,1.5,1.5,200,0.25,285.0
43,6.65,25,14,16,3.2,1.5,1.5,200,0.25,285.0
44,6.64,25,14,16,3.2,1.5,1.5,200,0.25,285.0
45,6.60,25,14,16,3.2,1.5,1.5,200,0.25,285.0
46,6.58,25,14,16,3.2,1.5,1.5,200,0.25,285.0
47,6.52,25,14,16,3.2,1.5,1.5,200,0.25,285.0
48,6.42,25,14,16,3.2,1.5,1.5,200,0.25,285.0
49,6.35,25,14,16,3.2,1.5,1.5,200,0.25,285.0
50,6.04,25,14,16,3.2,1.5,1.5,200,0.25,285.0
51,6.00,25,14,16,3.2,1.5,1.5,200,0.25,285.0
52,5.83,25,14,16,3.2,1.5,1.5,200,0.25,285.0
53,5.82,25,14,16,3.2,1.5,1.5,200,0.25,285.0
54,5.80,25,14,16,3.2,1.5,1.5,200,0.25,285.0
55,5.79,25,14,16,3.2,1.5,1.5,200,0.25,285.0
56,5.76,25,14,16,3.2,1.5,1.5,200,0.25,285.0
